Segment,EDA Values
11,"[14.881671905517578, 14.881671905517578, 14.977643013000488, 14.9456205368042, 15.010117530822754, 15.010117530822754, 15.042417526245117, 15.042417526245117, 15.042417526245117, 15.042417526245117, 15.042417526245117, 15.042417526245117, 15.042417526245117, 15.107759475708008, 15.042417526245117, 15.20667552947998, 15.20667552947998, 15.20667552947998, 15.20667552947998, 15.140480995178223, 15.173666954040527, 15.173666954040527, 15.173666954040527, 15.042417526245117, 15.074857711791992, 15.20667552947998, 15.20667552947998, 15.042417526245117, 15.173666954040527, 15.173666954040527, 15.173666954040527, 15.042417526245117, 15.042417526245117, 15.042417526245117, 15.042417526245117, 15.042417526245117, 15.010117530822754, 15.042417526245117, 15.042417526245117, 15.042417526245117, 15.074857711791992, 15.173666954040527, 15.20667552947998, 15.20667552947998, 15.239828109741211, 15.273452758789062, 15.273452758789062, 15.306897163391113, 15.340818405151367, 15.340818405151367, 15.37455940246582, 15.37455940246582, 15.408448219299316, 15.546191215515137, 15.546191215515137, 15.615989685058594, 15.721698760986328, 15.757137298583984, 15.865124702453613, 15.937467575073242, 16.047948837280273, 16.084875106811523, 16.15960693359375, 16.235036849975586, 16.272830963134766, 16.349321365356445, 16.465229034423828, 16.465229034423828, 16.54354476928711, 16.58279037475586, 16.6622314453125, 16.6622314453125, 16.82341957092285, 16.78263282775879, 16.86400604248047]"
12,"[16.86400604248047, 16.86400604248047, 16.946170806884766, 16.904787063598633, 16.98735237121582, 16.98735237121582, 17.07072639465332, 17.07072639465332, 17.07072639465332, 17.07072639465332, 17.07072639465332, 17.07072639465332, 17.07072639465332, 17.112516403198242, 17.07072639465332, 17.07072639465332, 17.07072639465332, 17.07072639465332, 17.07072639465332, 17.07072639465332, 17.07072639465332, 17.07072639465332, 17.07072639465332, 17.07072639465332, 17.07072639465332, 17.07072639465332, 17.07072639465332, 17.07072639465332, 17.07072639465332, 17.07072639465332, 17.07072639465332, 17.07072639465332, 17.02914047241211, 17.07072639465332, 16.98735237121582, 16.946170806884766, 16.946170806884766, 16.86400604248047, 16.904787063598633, 16.86400604248047, 16.86400604248047, 16.82341957092285, 16.7424373626709, 16.7424373626709, 16.6622314453125, 16.6622314453125, 16.6622314453125, 16.6622314453125, 16.6622314453125, 16.58279037475586, 16.465229034423828, 16.465229034423828, 16.465229034423828, 16.465229034423828, 16.465229034423828, 16.465229034423828, 16.465229034423828, 16.465229034423828, 16.465229034423828, 16.387649536132812, 16.426536560058594, 16.387649536132812, 16.349321365356445, 16.272830963134766, 16.272830963134766, 16.272830963134766, 16.15960693359375, 16.121973037719727, 16.084875106811523, 16.084875106811523, 16.084875106811523, 16.047948837280273, 15.974244117736816, 15.901213645935059, 15.901213645935059]"
13,"[15.901213645935059, 15.901213645935059, 15.901213645935059, 15.901213645935059, 15.901213645935059, 15.901213645935059, 15.901213645935059, 15.901213645935059, 15.937467575073242, 15.974244117736816, 15.974244117736816, 15.937467575073242, 16.047948837280273, 16.010831832885742, 16.084875106811523, 16.084875106811523, 16.084875106811523, 16.084875106811523, 16.084875106811523, 16.084875106811523, 16.121973037719727, 16.15960693359375, 16.235036849975586, 16.272830963134766, 16.235036849975586, 16.272830963134766, 16.272830963134766, 16.272830963134766, 16.272830963134766, 16.272830963134766, 16.272830963134766, 16.272830963134766, 16.272830963134766, 16.349321365356445, 16.31079864501953, 16.387649536132812, 16.426536560058594, 16.426536560058594, 16.465229034423828, 16.426536560058594, 16.465229034423828, 16.465229034423828, 16.465229034423828, 16.426536560058594, 16.272830963134766, 16.272830963134766, 16.31079864501953, 16.272830963134766, 16.272830963134766, 16.272830963134766, 16.272830963134766, 16.272830963134766, 16.272830963134766, 16.272830963134766, 16.272830963134766, 16.272830963134766, 16.272830963134766, 16.31079864501953, 16.31079864501953, 16.31079864501953, 16.349321365356445, 16.426536560058594, 16.426536560058594, 16.465229034423828, 16.465229034423828, 16.465229034423828, 16.465229034423828, 16.465229034423828, 16.465229034423828, 16.465229034423828, 16.465229034423828, 16.50410270690918, 16.465229034423828, 16.465229034423828, 16.465229034423828]"
14,"[16.465229034423828, 16.50410270690918, 16.465229034423828, 16.54354476928711, 16.465229034423828, 16.465229034423828, 16.50410270690918, 16.58279037475586, 16.54354476928711, 16.58279037475586, 16.50410270690918, 16.465229034423828, 16.54354476928711, 16.54354476928711, 16.54354476928711, 16.50410270690918, 16.465229034423828, 16.465229034423828, 16.465229034423828, 16.465229034423828, 16.465229034423828, 16.465229034423828, 16.465229034423828, 16.465229034423828, 16.465229034423828, 16.465229034423828, 16.465229034423828, 16.465229034423828, 16.465229034423828, 16.465229034423828, 16.465229034423828, 16.387649536132812, 16.465229034423828, 16.387649536132812, 16.465229034423828, 16.465229034423828, 16.349321365356445, 16.31079864501953, 16.272830963134766, 16.272830963134766, 16.15960693359375, 16.272830963134766, 16.235036849975586, 16.272830963134766, 16.121973037719727, 16.084875106811523, 16.084875106811523, 16.084875106811523, 16.084875106811523, 16.121973037719727, 16.084875106811523, 16.084875106811523, 16.047948837280273, 16.084875106811523, 16.084875106811523, 16.084875106811523, 16.084875106811523, 16.047948837280273, 16.010831832885742, 16.010831832885742, 15.937467575073242, 15.901213645935059, 15.974244117736816, 15.937467575073242, 15.901213645935059, 15.901213645935059, 15.901213645935059, 15.937467575073242, 15.974244117736816, 16.047948837280273, 16.084875106811523, 16.084875106811523, 16.15960693359375, 16.272830963134766, 16.31079864501953]"
15,"[16.426536560058594, 16.465229034423828, 16.465229034423828, 16.465229034423828, 16.465229034423828, 16.465229034423828, 16.465229034423828, 16.426536560058594, 16.387649536132812, 16.465229034423828, 16.426536560058594, 16.465229034423828, 16.465229034423828, 16.465229034423828, 16.465229034423828, 16.465229034423828, 16.50410270690918, 16.58279037475586, 16.6622314453125, 16.6622314453125, 16.6622314453125, 16.6622314453125, 16.702041625976562, 16.82341957092285, 16.86400604248047, 16.86400604248047, 16.82341957092285, 16.904787063598633, 16.86400604248047, 16.86400604248047, 16.86400604248047, 16.86400604248047, 16.86400604248047, 16.86400604248047, 16.86400604248047, 16.86400604248047, 16.86400604248047, 16.98735237121582, 17.07072639465332, 16.98735237121582, 17.07072639465332, 17.07072639465332, 17.07072639465332, 17.07072639465332, 17.07072639465332, 17.07072639465332, 17.07072639465332, 17.07072639465332, 17.07072639465332, 17.07072639465332, 17.112516403198242, 17.07072639465332, 17.07072639465332, 17.07072639465332, 17.07072639465332, 17.112516403198242, 17.197126388549805, 17.154922485351562, 17.282577514648438, 17.282577514648438, 17.282577514648438, 17.32541275024414, 17.412147521972656, 17.412147521972656, 17.36888313293457, 17.4560546875, 17.4560546875, 17.412147521972656, 17.282577514648438, 17.32541275024414, 17.282577514648438, 17.197126388549805, 17.07072639465332, 17.07072639465332, 17.07072639465332]"
16,"[16.904787063598633, 16.86400604248047, 16.86400604248047, 16.86400604248047, 16.86400604248047, 16.82341957092285, 16.78263282775879, 16.702041625976562, 16.82341957092285, 16.82341957092285, 16.702041625976562, 16.7424373626709, 16.702041625976562, 16.702041625976562, 16.7424373626709, 16.702041625976562, 16.82341957092285, 16.86400604248047, 16.78263282775879, 16.82341957092285, 16.78263282775879, 16.82341957092285, 16.86400604248047, 16.86400604248047, 16.86400604248047, 16.86400604248047, 16.86400604248047, 16.904787063598633, 16.98735237121582, 16.946170806884766, 16.98735237121582, 17.07072639465332, 17.02914047241211, 17.07072639465332, 17.07072639465332, 17.07072639465332, 17.07072639465332, 17.112516403198242, 17.112516403198242, 17.239953994750977, 17.197126388549805, 17.282577514648438, 17.282577514648438, 17.282577514648438, 17.282577514648438, 17.412147521972656, 17.32541275024414, 17.282577514648438, 17.282577514648438, 17.282577514648438, 17.282577514648438, 17.282577514648438, 17.239953994750977, 17.112516403198242, 17.07072639465332, 16.904787063598633, 16.86400604248047, 16.7424373626709, 16.6622314453125, 16.50410270690918, 16.426536560058594, 16.387649536132812, 16.272830963134766, 16.235036849975586, 16.197050094604492, 16.084875106811523, 16.084875106811523, 16.084875106811523, 16.047948837280273, 16.047948837280273, 16.047948837280273, 16.047948837280273, 16.084875106811523, 16.084875106811523, 16.084875106811523]"
17,"[16.084875106811523, 16.121973037719727, 16.15960693359375, 16.197050094604492, 16.272830963134766, 16.235036849975586, 16.272830963134766, 16.272830963134766, 16.31079864501953, 16.272830963134766, 16.197050094604492, 16.197050094604492, 16.084875106811523, 16.084875106811523, 15.901213645935059, 15.901213645935059, 15.793086051940918, 15.721698760986328, 15.686418533325195, 15.546191215515137, 15.546191215515137, 15.546191215515137, 15.546191215515137, 15.546191215515137, 15.580842018127441, 15.686418533325195, 15.721698760986328, 15.757137298583984, 15.901213645935059, 15.901213645935059, 15.937467575073242, 15.974244117736816, 16.010831832885742, 16.084875106811523, 16.084875106811523, 16.15960693359375, 16.272830963134766, 16.349321365356445, 16.426536560058594, 16.465229034423828, 16.50410270690918, 16.6622314453125, 16.622610092163086, 16.6622314453125, 16.702041625976562, 16.6622314453125, 16.7424373626709, 16.702041625976562, 16.702041625976562, 16.78263282775879, 16.86400604248047, 16.86400604248047, 16.86400604248047, 16.86400604248047, 16.946170806884766, 17.07072639465332, 17.07072639465332, 17.112516403198242, 17.282577514648438, 17.282577514648438, 17.282577514648438, 17.282577514648438, 17.412147521972656, 17.4560546875, 17.499753952026367, 17.499753952026367, 17.588247299194336, 17.588247299194336, 17.722457885742188, 17.722457885742188, 17.722457885742188, 17.76750373840332, 17.813222885131836, 17.950902938842773, 17.950902938842773]"
18,"[17.99711799621582, 17.99711799621582, 18.044029235839844, 18.13812828063965, 18.13812828063965, 18.185314178466797, 18.185314178466797, 18.185314178466797, 18.185314178466797, 18.232746124267578, 18.185314178466797, 18.185314178466797, 18.280895233154297, 18.328826904296875, 18.232746124267578, 18.425928115844727, 18.280895233154297, 18.425928115844727, 18.377485275268555, 18.377485275268555, 18.425928115844727, 18.377485275268555, 18.425928115844727, 18.425928115844727, 18.425928115844727, 18.425928115844727, 18.377485275268555, 18.425928115844727, 18.425928115844727, 18.425928115844727, 18.425928115844727, 18.474624633789062, 18.474624633789062, 18.573280334472656, 18.623247146606445, 18.67299461364746, 18.67299461364746, 18.623247146606445, 18.573280334472656, 18.67299461364746, 18.67299461364746, 18.67299461364746, 18.623247146606445, 18.67299461364746, 18.67299461364746, 18.72300910949707, 18.67299461364746, 18.773786544799805, 18.72300910949707, 18.67299461364746, 18.67299461364746, 18.67299461364746, 18.72300910949707, 18.824342727661133, 18.824342727661133, 18.824342727661133, 18.824342727661133, 18.773786544799805, 18.87567138671875, 18.926776885986328, 18.926776885986328, 18.926776885986328, 18.926776885986328, 18.926776885986328, 18.926776885986328, 18.926776885986328, 18.926776885986328, 18.926776885986328, 18.926776885986328, 18.926776885986328, 18.87567138671875, 18.926776885986328, 18.926776885986328, 18.926776885986328, 18.97816276550293]"
19,"[18.97816276550293, 19.08228302001953, 19.08228302001953, 19.08228302001953, 18.926776885986328, 19.03033447265625, 19.08228302001953, 19.03033447265625, 18.97816276550293, 19.18755340576172, 19.18755340576172, 19.18755340576172, 19.18755340576172, 19.240365982055664, 19.455615997314453, 19.455615997314453, 19.455615997314453, 19.455615997314453, 19.5650577545166, 19.509916305541992, 19.455615997314453, 19.455615997314453, 19.18755340576172, 19.08228302001953, 18.926776885986328, 18.67299461364746, 18.52406120300293, 18.232746124267578, 17.950902938842773, 17.632612228393555, 17.282577514648438, 16.98735237121582, 16.78263282775879, 16.54354476928711, 16.426536560058594, 16.235036849975586, 16.084875106811523, 16.047948837280273, 15.974244117736816, 16.010831832885742, 15.901213645935059, 15.901213645935059, 15.901213645935059, 15.901213645935059, 15.901213645935059, 15.937467575073242, 15.937467575073242, 16.010831832885742, 15.974244117736816, 16.084875106811523, 16.047948837280273, 16.084875106811523, 16.047948837280273, 16.047948837280273, 16.084875106811523, 16.010831832885742, 16.047948837280273, 16.084875106811523, 16.047948837280273, 16.047948837280273, 15.974244117736816, 16.047948837280273, 16.084875106811523, 16.084875106811523, 16.084875106811523, 16.084875106811523, 16.121973037719727, 16.084875106811523, 16.121973037719727, 16.15960693359375, 16.197050094604492, 16.235036849975586, 16.197050094604492, 16.272830963134766, 16.272830963134766]"
20,"[16.272830963134766, 16.272830963134766, 16.272830963134766, 16.272830963134766, 16.272830963134766, 16.272830963134766, 16.272830963134766, 16.272830963134766, 16.272830963134766, 16.272830963134766, 16.272830963134766, 16.272830963134766, 16.272830963134766, 16.272830963134766, 16.272830963134766, 16.31079864501953, 16.349321365356445, 16.349321365356445, 16.387649536132812, 16.426536560058594, 16.387649536132812, 16.465229034423828, 16.465229034423828, 16.465229034423828, 16.465229034423828, 16.465229034423828, 16.465229034423828, 16.465229034423828, 16.465229034423828, 16.465229034423828, 16.465229034423828, 16.426536560058594, 16.465229034423828, 16.426536560058594, 16.465229034423828, 16.465229034423828, 16.465229034423828, 16.465229034423828, 16.50410270690918, 16.465229034423828, 16.50410270690918, 16.50410270690918, 16.465229034423828, 16.54354476928711, 16.58279037475586, 16.54354476928711, 16.622610092163086, 16.622610092163086, 16.6622314453125, 16.6622314453125, 16.6622314453125, 16.702041625976562, 16.82341957092285, 16.86400604248047, 16.86400604248047, 16.86400604248047, 16.86400604248047, 16.86400604248047, 16.86400604248047, 16.86400604248047, 16.904787063598633, 16.946170806884766, 16.904787063598633, 17.02914047241211, 17.07072639465332, 17.07072639465332, 17.07072639465332, 17.112516403198242, 17.154922485351562, 17.197126388549805, 17.239953994750977, 17.282577514648438, 17.282577514648438, 17.282577514648438, 17.282577514648438]"
