Segment,EDA Values
11,"[61.138572692871094, 61.678016662597656, 61.678016662597656, 61.678016662597656, 61.678016662597656, 62.791507720947266, 64.53630828857422, 64.53630828857422, 64.53630828857422, 63.94594192504883, 64.53630828857422, 64.53630828857422, 64.53630828857422, 64.53630828857422, 64.53630828857422, 64.53630828857422, 64.53630828857422, 64.53630828857422, 64.53630828857422, 65.1376724243164, 64.53630828857422, 64.53630828857422, 64.53630828857422, 64.53630828857422, 63.94594192504883, 64.53630828857422, 64.53630828857422, 64.53630828857422, 64.53630828857422, 64.53630828857422, 64.53630828857422, 64.53630828857422, 63.94594192504883, 64.53630828857422, 64.53630828857422, 64.53630828857422, 64.53630828857422, 64.53630828857422, 64.53630828857422, 64.53630828857422, 63.94594192504883, 63.94594192504883, 64.53630828857422, 64.53630828857422, 63.94594192504883, 64.53630828857422, 64.53630828857422, 63.94594192504883, 64.53630828857422, 64.53630828857422, 64.53630828857422, 64.53630828857422, 64.53630828857422, 64.53630828857422, 64.53630828857422, 64.53630828857422, 64.53630828857422, 64.53630828857422, 64.53630828857422, 64.53630828857422, 64.53630828857422, 64.53630828857422, 64.53630828857422, 64.53630828857422, 64.53630828857422, 65.1376724243164, 64.53630828857422, 64.53630828857422, 64.53630828857422, 64.53630828857422, 63.360652923583984, 63.94594192504883, 63.94594192504883, 63.94594192504883, 63.94594192504883]"
12,"[64.53630828857422, 63.94594192504883, 63.94594192504883, 64.53630828857422, 64.53630828857422, 63.94594192504883, 64.53630828857422, 64.53630828857422, 63.94594192504883, 63.360652923583984, 62.791507720947266, 62.791507720947266, 62.791507720947266, 61.678016662597656, 63.360652923583984, 62.22706604003906, 63.360652923583984, 61.678016662597656, 62.22706604003906, 61.678016662597656, 63.360652923583984, 62.22706604003906, 62.791507720947266, 62.22706604003906, 62.22706604003906, 62.791507720947266, 62.22706604003906, 63.94594192504883, 64.53630828857422, 64.53630828857422, 64.53630828857422, 64.53630828857422, 64.53630828857422, 64.53630828857422, 64.53630828857422, 65.75640869140625, 65.75640869140625, 67.02354431152344, 67.02354431152344, 66.3808364868164, 67.02354431152344, 67.6723861694336, 67.6723861694336, 68.33390808105469, 67.6723861694336, 67.6723861694336, 67.6723861694336, 67.6723861694336, 67.6723861694336, 67.6723861694336, 67.6723861694336, 67.6723861694336, 67.6723861694336, 67.6723861694336, 67.6723861694336, 67.6723861694336, 68.33390808105469, 68.33390808105469, 69.01518249511719, 69.70336151123047, 71.12882232666016, 71.12882232666016, 71.12882232666016, 71.12882232666016, 74.16210174560547, 73.37600708007812, 74.95734405517578, 74.95734405517578, 75.76982116699219, 75.76982116699219, 77.45719909667969, 77.45719909667969, 77.45719909667969, 79.22145080566406, 79.22145080566406]"
13,"[79.22145080566406, 79.22145080566406, 79.22145080566406, 79.22145080566406, 79.22145080566406, 79.22145080566406, 79.22145080566406, 79.22145080566406, 79.22145080566406, 79.22145080566406, 79.22145080566406, 79.22145080566406, 79.22145080566406, 79.22145080566406, 79.22145080566406, 79.22145080566406, 79.22145080566406, 79.22145080566406, 79.22145080566406, 79.22145080566406, 79.22145080566406, 79.22145080566406, 79.22145080566406, 79.22145080566406, 79.22145080566406, 79.22145080566406, 79.22145080566406, 79.22145080566406, 79.22145080566406, 79.22145080566406, 79.22145080566406, 79.22145080566406, 78.33369445800781, 78.33369445800781, 78.33369445800781, 77.45719909667969, 78.33369445800781, 79.22145080566406, 79.22145080566406, 79.22145080566406, 78.33369445800781, 79.22145080566406, 76.60833740234375, 78.33369445800781, 75.76982116699219, 77.45719909667969, 76.60833740234375, 74.95734405517578, 75.76982116699219, 77.45719909667969, 75.76982116699219, 74.95734405517578, 75.76982116699219, 74.95734405517578, 78.33369445800781, 77.45719909667969, 79.22145080566406, 79.22145080566406, 79.22145080566406, 78.33369445800781, 77.45719909667969, 76.60833740234375, 75.76982116699219, 74.16210174560547, 72.61380004882812, 71.12882232666016, 69.70336151123047, 67.6723861694336, 67.6723861694336, 67.02354431152344, 65.1376724243164, 65.1376724243164, 64.53630828857422, 65.1376724243164, 65.1376724243164]"
14,"[65.1376724243164, 64.53630828857422, 64.53630828857422, 64.53630828857422, 64.53630828857422, 64.53630828857422, 64.53630828857422, 65.1376724243164, 64.53630828857422, 64.53630828857422, 64.53630828857422, 63.94594192504883, 64.53630828857422, 64.53630828857422, 64.53630828857422, 64.53630828857422, 64.53630828857422, 64.53630828857422, 64.53630828857422, 64.53630828857422, 64.53630828857422, 64.53630828857422, 64.53630828857422, 64.53630828857422, 64.53630828857422, 65.1376724243164, 65.1376724243164, 64.53630828857422, 64.53630828857422, 65.75640869140625, 67.02354431152344, 65.1376724243164, 66.3808364868164, 65.1376724243164, 64.53630828857422, 64.53630828857422, 64.53630828857422, 64.53630828857422, 64.53630828857422, 63.94594192504883, 64.53630828857422, 63.360652923583984, 63.94594192504883, 62.791507720947266, 61.678016662597656, 62.22706604003906, 62.22706604003906, 61.678016662597656, 61.678016662597656, 61.678016662597656, 61.678016662597656, 61.678016662597656, 61.678016662597656, 61.678016662597656, 61.138572692871094, 61.678016662597656, 60.603328704833984, 59.56544876098633, 59.56544876098633, 59.062171936035156, 59.062171936035156, 59.062171936035156, 59.062171936035156, 59.062171936035156, 59.062171936035156, 59.062171936035156, 59.062171936035156, 59.062171936035156, 58.56733703613281, 59.062171936035156, 57.122188568115234, 57.59746551513672, 58.56733703613281, 58.56733703613281, 57.59746551513672]"
15,"[57.59746551513672, 57.122188568115234, 57.122188568115234, 56.6591911315918, 56.6591911315918, 56.6591911315918, 56.20363998413086, 56.6591911315918, 56.6591911315918, 56.6591911315918, 56.6591911315918, 56.20363998413086, 56.6591911315918, 56.20363998413086, 56.20363998413086, 56.6591911315918, 56.6591911315918, 56.6591911315918, 56.6591911315918, 56.6591911315918, 56.6591911315918, 56.6591911315918, 56.6591911315918, 56.6591911315918, 56.20363998413086, 56.6591911315918, 56.6591911315918, 56.6591911315918, 56.20363998413086, 56.20363998413086, 56.6591911315918, 56.20363998413086, 56.6591911315918, 56.6591911315918, 56.6591911315918, 56.6591911315918, 57.59746551513672, 57.122188568115234, 57.122188568115234, 58.07598876953125, 58.56733703613281, 58.56733703613281, 59.062171936035156, 59.062171936035156, 59.062171936035156, 59.56544876098633, 59.062171936035156, 59.062171936035156, 59.062171936035156, 59.56544876098633, 59.062171936035156, 59.062171936035156, 59.062171936035156, 59.062171936035156, 59.062171936035156, 58.07598876953125, 58.56733703613281, 59.062171936035156, 59.062171936035156, 58.56733703613281, 59.062171936035156, 59.062171936035156, 59.062171936035156, 59.062171936035156, 59.062171936035156, 59.062171936035156, 59.062171936035156, 59.56544876098633, 59.56544876098633, 59.062171936035156, 59.062171936035156, 59.062171936035156, 59.56544876098633, 59.56544876098633, 59.56544876098633]"
16,"[59.062171936035156, 59.062171936035156, 59.062171936035156, 59.062171936035156, 59.062171936035156, 57.122188568115234, 56.6591911315918, 57.122188568115234, 56.6591911315918, 56.20363998413086, 56.6591911315918, 56.6591911315918, 54.444095611572266, 54.444095611572266, 54.8714599609375, 55.309879302978516, 55.309879302978516, 54.8714599609375, 54.444095611572266, 55.309879302978516, 54.8714599609375, 55.309879302978516, 55.750999450683594, 56.20363998413086, 55.309879302978516, 56.20363998413086, 55.750999450683594, 55.750999450683594, 56.20363998413086, 55.309879302978516, 54.8714599609375, 55.750999450683594, 55.750999450683594, 55.750999450683594, 54.8714599609375, 55.309879302978516, 54.444095611572266, 54.02333450317383, 53.60499954223633, 54.444095611572266, 54.02333450317383, 54.02333450317383, 54.02333450317383, 54.02333450317383, 54.02333450317383, 54.02333450317383, 53.60499954223633, 53.60499954223633, 53.60499954223633, 53.60499954223633, 52.79137420654297, 52.79137420654297, 53.60499954223633, 52.79137420654297, 52.79137420654297, 52.39567947387695, 52.39567947387695, 52.39567947387695, 52.39567947387695, 52.39567947387695, 53.197059631347656, 52.79137420654297, 54.02333450317383, 53.60499954223633, 53.60499954223633, 54.444095611572266, 53.197059631347656, 53.197059631347656, 53.60499954223633, 53.60499954223633, 53.60499954223633, 54.444095611572266, 54.444095611572266, 54.444095611572266, 54.444095611572266]"
17,"[54.444095611572266, 54.444095611572266, 54.444095611572266, 54.444095611572266, 54.444095611572266, 54.444095611572266, 54.02333450317383, 53.197059631347656, 53.197059631347656, 52.79137420654297, 52.39567947387695, 52.39567947387695, 51.61808395385742, 52.0058708190918, 50.86323547363281, 50.86323547363281, 50.49581527709961, 50.86323547363281, 50.49581527709961, 50.49581527709961, 50.49581527709961, 50.49581527709961, 50.1336669921875, 50.1336669921875, 49.42130661010742, 49.77320098876953, 50.49581527709961, 50.1336669921875, 50.49581527709961, 50.49581527709961, 50.49581527709961, 50.49581527709961, 50.49581527709961, 50.86323547363281, 50.49581527709961, 50.49581527709961, 50.49581527709961, 50.86323547363281, 50.86323547363281, 51.23971939086914, 51.23971939086914, 51.61808395385742, 50.86323547363281, 51.23971939086914, 51.23971939086914, 50.86323547363281, 50.86323547363281, 52.0058708190918, 52.0058708190918, 52.39567947387695, 52.0058708190918, 51.61808395385742, 52.39567947387695, 52.39567947387695, 52.0058708190918, 52.0058708190918, 51.61808395385742, 52.39567947387695, 52.39567947387695, 52.39567947387695, 51.61808395385742, 50.86323547363281, 50.86323547363281, 51.23971939086914, 51.23971939086914, 50.86323547363281, 50.49581527709961, 50.86323547363281, 52.0058708190918, 50.86323547363281, 50.49581527709961, 50.49581527709961, 50.49581527709961, 49.77320098876953, 49.07097625732422]"
18,"[48.05564880371094, 47.081478118896484, 46.45267105102539, 45.54179382324219, 45.24700927734375, 44.0996208190918, 43.54747772216797, 43.00898742675781, 42.74598693847656, 41.97346878051758, 41.47297668457031, 41.47297668457031, 41.72050094604492, 41.47297668457031, 41.47297668457031, 41.47297668457031, 41.47297668457031, 41.47297668457031, 41.47297668457031, 41.47297668457031, 41.47297668457031, 41.72050094604492, 41.47297668457031, 42.48618698120117, 41.47297668457031, 41.97346878051758, 41.97346878051758, 42.48618698120117, 42.74598693847656, 42.74598693847656, 42.74598693847656, 43.277870178222656, 43.82315444946289, 44.0996208190918, 43.82315444946289, 44.0996208190918, 44.37959671020508, 44.0996208190918, 44.66594696044922, 44.66594696044922, 45.24700927734375, 45.24700927734375, 45.54179382324219, 45.54179382324219, 45.54179382324219, 45.54179382324219, 46.146018981933594, 46.76649475097656, 47.081478118896484, 47.081478118896484, 47.081478118896484, 47.081478118896484, 47.081478118896484, 47.081478118896484, 47.081478118896484, 47.40073013305664, 48.05564880371094, 47.7275390625, 48.391578674316406, 47.7275390625, 48.391578674316406, 47.7275390625, 47.40073013305664, 47.081478118896484, 47.40073013305664, 47.081478118896484, 46.76649475097656, 45.8404426574707, 45.8404426574707, 45.54179382324219, 45.54179382324219, 44.95318603515625, 45.54179382324219, 45.24700927734375, 44.95318603515625]"
19,"[44.37959671020508, 44.66594696044922, 44.0996208190918, 44.95318603515625, 44.37959671020508, 44.95318603515625, 44.66594696044922, 44.37959671020508, 44.66594696044922, 45.54179382324219, 45.54179382324219, 45.54179382324219, 45.54179382324219, 45.54179382324219, 45.54179382324219, 45.54179382324219, 45.8404426574707, 46.76649475097656, 46.76649475097656, 46.76649475097656, 47.081478118896484, 47.081478118896484, 47.081478118896484, 47.081478118896484, 47.7275390625, 48.391578674316406, 48.728912353515625, 48.728912353515625, 48.391578674316406, 48.728912353515625, 48.728912353515625, 49.07097625732422, 48.728912353515625, 48.728912353515625, 48.728912353515625, 48.728912353515625, 48.728912353515625, 49.07097625732422, 48.728912353515625, 49.07097625732422, 49.42130661010742, 49.07097625732422, 49.77320098876953, 49.07097625732422, 49.77320098876953, 49.07097625732422, 49.77320098876953, 50.1336669921875, 50.49581527709961, 50.1336669921875, 50.49581527709961, 50.49581527709961, 50.49581527709961, 50.49581527709961, 50.49581527709961, 50.49581527709961, 50.49581527709961, 50.49581527709961, 50.86323547363281, 50.49581527709961, 50.86323547363281, 50.49581527709961, 50.86323547363281, 50.49581527709961, 51.23971939086914, 51.61808395385742, 50.49581527709961, 50.86323547363281, 50.86323547363281, 50.86323547363281, 51.23971939086914, 50.86323547363281, 50.49581527709961, 51.23971939086914, 50.86323547363281]"
20,"[51.61808395385742, 51.23971939086914, 51.23971939086914, 51.23971939086914, 50.86323547363281, 51.23971939086914, 51.61808395385742, 52.0058708190918, 52.39567947387695, 52.39567947387695, 52.0058708190918, 52.39567947387695, 52.39567947387695, 52.39567947387695, 52.39567947387695, 52.39567947387695, 52.39567947387695, 52.0058708190918, 52.39567947387695, 52.39567947387695, 52.39567947387695, 52.39567947387695, 53.197059631347656, 53.197059631347656, 53.197059631347656, 52.79137420654297, 54.02333450317383, 54.02333450317383, 53.60499954223633, 53.197059631347656, 54.02333450317383, 54.444095611572266, 54.444095611572266, 54.444095611572266, 54.444095611572266, 54.444095611572266, 54.8714599609375, 54.444095611572266, 55.750999450683594, 55.750999450683594, 55.750999450683594, 56.20363998413086, 55.750999450683594, 56.20363998413086, 56.6591911315918, 56.6591911315918, 56.6591911315918, 56.6591911315918, 56.6591911315918, 56.6591911315918, 56.6591911315918, 56.6591911315918, 56.6591911315918, 57.122188568115234, 57.59746551513672, 57.59746551513672, 58.56733703613281, 58.07598876953125, 58.56733703613281, 58.07598876953125, 58.56733703613281, 59.062171936035156, 59.062171936035156, 59.062171936035156, 59.062171936035156, 59.062171936035156, 59.062171936035156, 59.062171936035156, 59.062171936035156, 59.56544876098633, 59.062171936035156, 59.062171936035156, 59.062171936035156, 59.062171936035156, 58.56733703613281]"
