Segment,EDA Values
11,"[15.47701358795166, 15.408448219299316, 15.511693954467773, 15.442822456359863, 15.47701358795166, 15.47701358795166, 15.408448219299316, 15.408448219299316, 15.408448219299316, 15.442822456359863, 15.37455940246582, 15.408448219299316, 15.442822456359863, 15.37455940246582, 15.408448219299316, 15.408448219299316, 15.408448219299316, 15.408448219299316, 15.37455940246582, 15.408448219299316, 15.442822456359863, 15.511693954467773, 15.546191215515137, 15.511693954467773, 15.47701358795166, 15.47701358795166, 15.511693954467773, 15.511693954467773, 15.511693954467773, 15.546191215515137, 15.546191215515137, 15.442822456359863, 15.47701358795166, 15.408448219299316, 15.442822456359863, 15.511693954467773, 15.511693954467773, 15.511693954467773, 15.47701358795166, 15.47701358795166, 15.408448219299316, 15.442822456359863, 15.442822456359863, 15.37455940246582, 15.408448219299316, 15.37455940246582, 15.408448219299316, 15.408448219299316, 15.37455940246582, 15.37455940246582, 15.442822456359863, 15.37455940246582, 15.37455940246582, 15.37455940246582, 15.37455940246582, 15.37455940246582, 15.37455940246582, 15.37455940246582, 15.37455940246582, 15.37455940246582, 15.37455940246582, 15.442822456359863, 15.408448219299316, 15.442822456359863, 15.408448219299316, 15.37455940246582, 15.47701358795166, 15.442822456359863, 15.546191215515137, 15.511693954467773, 15.511693954467773, 15.546191215515137, 15.511693954467773, 15.511693954467773, 15.511693954467773]"
12,"[15.546191215515137, 15.546191215515137, 15.511693954467773, 15.546191215515137, 15.546191215515137, 15.511693954467773, 15.511693954467773, 15.442822456359863, 15.37455940246582, 15.408448219299316, 15.37455940246582, 15.37455940246582, 15.37455940246582, 15.37455940246582, 15.37455940246582, 15.408448219299316, 15.37455940246582, 15.37455940246582, 15.37455940246582, 15.37455940246582, 15.37455940246582, 15.37455940246582, 15.37455940246582, 15.37455940246582, 15.37455940246582, 15.37455940246582, 15.37455940246582, 15.37455940246582, 15.37455940246582, 15.37455940246582, 15.37455940246582, 15.340818405151367, 15.37455940246582, 15.37455940246582, 15.37455940246582, 15.37455940246582, 15.340818405151367, 15.306897163391113, 15.37455940246582, 15.306897163391113, 15.239828109741211, 15.273452758789062, 15.273452758789062, 15.340818405151367, 15.273452758789062, 15.340818405151367, 15.340818405151367, 15.408448219299316, 15.37455940246582, 15.37455940246582, 15.511693954467773, 15.546191215515137, 15.546191215515137, 15.546191215515137, 15.546191215515137, 15.546191215515137, 15.546191215515137, 15.546191215515137, 15.546191215515137, 15.546191215515137, 15.546191215515137, 15.546191215515137, 15.511693954467773, 15.408448219299316, 15.546191215515137, 15.47701358795166, 15.47701358795166, 15.442822456359863, 15.47701358795166, 15.442822456359863, 15.408448219299316, 15.442822456359863, 15.511693954467773, 15.37455940246582, 15.37455940246582]"
13,"[15.37455940246582, 15.37455940246582, 15.37455940246582, 15.408448219299316, 15.37455940246582, 15.37455940246582, 15.37455940246582, 15.340818405151367, 15.306897163391113, 15.239828109741211, 15.273452758789062, 15.306897163391113, 15.239828109741211, 15.20667552947998, 15.20667552947998, 15.273452758789062, 15.20667552947998, 15.20667552947998, 15.239828109741211, 15.239828109741211, 15.20667552947998, 15.20667552947998, 15.20667552947998, 15.20667552947998, 15.20667552947998, 15.20667552947998, 15.20667552947998, 15.20667552947998, 15.20667552947998, 15.20667552947998, 15.173666954040527, 15.20667552947998, 15.20667552947998, 15.20667552947998, 15.20667552947998, 15.20667552947998, 15.173666954040527, 15.173666954040527, 15.173666954040527, 15.20667552947998, 15.20667552947998, 15.20667552947998, 15.20667552947998, 15.173666954040527, 15.20667552947998, 15.20667552947998, 15.173666954040527, 15.20667552947998, 15.20667552947998, 15.20667552947998, 15.20667552947998, 15.20667552947998, 15.20667552947998, 15.140480995178223, 15.140480995178223, 15.173666954040527, 15.107759475708008, 15.140480995178223, 15.074857711791992, 15.042417526245117, 15.042417526245117, 15.042417526245117, 15.074857711791992, 15.042417526245117, 15.042417526245117, 15.042417526245117, 15.042417526245117, 15.010117530822754, 15.010117530822754, 15.042417526245117, 14.977643013000488, 14.9456205368042, 14.9456205368042, 14.9456205368042, 14.913421630859375]"
14,"[14.913421630859375, 14.913421630859375, 14.881671905517578, 14.881671905517578, 14.913421630859375, 14.9456205368042, 14.913421630859375, 14.9456205368042, 14.881671905517578, 14.881671905517578, 14.881671905517578, 14.881671905517578, 14.881671905517578, 14.881671905517578, 14.913421630859375, 14.881671905517578, 14.881671905517578, 14.881671905517578, 14.881671905517578, 14.881671905517578, 14.881671905517578, 14.881671905517578, 14.850057601928711, 14.850057601928711, 14.786925315856934, 14.881671905517578, 14.850057601928711, 14.881671905517578, 14.818270683288574, 14.850057601928711, 14.818270683288574, 14.786925315856934, 14.75540542602539, 14.75540542602539, 14.724325180053711, 14.724325180053711, 14.724325180053711, 14.724325180053711, 14.724325180053711, 14.724325180053711, 14.693374633789062, 14.693374633789062, 14.63156509399414, 14.662254333496094, 14.662254333496094, 14.63156509399414, 14.63156509399414, 14.570270538330078, 14.570270538330078, 14.570270538330078, 14.63156509399414, 14.63156509399414, 14.570270538330078, 14.600703239440918, 14.570270538330078, 14.570270538330078, 14.570270538330078, 14.539963722229004, 14.570270538330078, 14.539963722229004, 14.570270538330078, 14.539963722229004, 14.570270538330078, 14.570270538330078, 14.570270538330078, 14.570270538330078, 14.539963722229004, 14.479434967041016, 14.479434967041016, 14.509489059448242, 14.449211120605469, 14.449211120605469, 14.479434967041016, 14.449211120605469, 14.479434967041016]"
15,"[14.419405937194824, 14.449211120605469, 14.389723777770996, 14.419405937194824, 14.419405937194824, 14.419405937194824, 14.419405937194824, 14.389723777770996, 14.419405937194824, 14.359874725341797, 14.419405937194824, 14.300830841064453, 14.271634101867676, 14.300830841064453, 14.330435752868652, 14.271634101867676, 14.300830841064453, 14.271634101867676, 14.271634101867676, 14.271634101867676, 14.271634101867676, 14.271634101867676, 14.271634101867676, 14.271634101867676, 14.271634101867676, 14.300830841064453, 14.271634101867676, 14.271634101867676, 14.271634101867676, 14.271634101867676, 14.271634101867676, 14.184473037719727, 14.15546703338623, 14.242555618286133, 14.184473037719727, 14.126859664916992, 14.15546703338623, 14.213314056396484, 14.184473037719727, 14.15546703338623, 14.126859664916992, 14.15546703338623, 14.15546703338623, 14.242555618286133, 14.271634101867676, 14.300830841064453, 14.419405937194824, 14.419405937194824, 14.449211120605469, 14.570270538330078, 14.570270538330078, 14.693374633789062, 14.786925315856934, 14.850057601928711, 14.881671905517578, 14.977643013000488, 15.042417526245117, 15.042417526245117, 15.042417526245117, 15.042417526245117, 15.042417526245117, 15.042417526245117, 15.042417526245117, 15.042417526245117, 15.042417526245117, 14.913421630859375, 14.881671905517578, 14.881671905517578, 14.818270683288574, 14.724325180053711, 14.693374633789062, 14.570270538330078, 14.570270538330078, 14.570270538330078, 14.479434967041016]"
16,"[14.419405937194824, 14.419405937194824, 14.330435752868652, 14.271634101867676, 14.271634101867676, 14.184473037719727, 14.126859664916992, 14.126859664916992, 14.126859664916992, 14.126859664916992, 14.041452407836914, 14.041452407836914, 14.098367691040039, 13.984994888305664, 13.984994888305664, 14.013029098510742, 13.984994888305664, 13.984994888305664, 13.984994888305664, 13.984994888305664, 13.984994888305664, 13.957072257995605, 13.957072257995605, 13.984994888305664, 13.984994888305664, 13.984994888305664, 13.984994888305664, 13.984994888305664, 14.041452407836914, 14.126859664916992, 14.126859664916992, 14.126859664916992, 14.126859664916992, 14.126859664916992, 14.013029098510742, 13.984994888305664, 13.845949172973633, 13.818578720092773, 13.709641456604004, 13.655814170837402, 13.5759916305542, 13.497095108032227, 13.367536544799805, 13.265569686889648, 13.215167999267578, 13.190231323242188, 13.190231323242188, 13.066471099853516, 13.066471099853516, 12.96902847290039, 12.945011138916016, 12.921083450317383, 12.825787544250488, 12.825787544250488, 12.825787544250488, 12.755350112915039, 12.755350112915039, 12.755350112915039, 12.731889724731445, 12.708742141723633, 12.731889724731445, 12.708742141723633, 12.755350112915039, 12.708742141723633, 12.708742141723633, 12.708742141723633, 12.708742141723633, 12.708742141723633, 12.708742141723633, 12.708742141723633, 12.68567943572998, 12.708742141723633, 12.68567943572998, 12.708742141723633, 12.708742141723633]"
17,"[12.708742141723633, 12.708742141723633, 12.731889724731445, 12.802298545837402, 12.825787544250488, 12.802298545837402, 12.825787544250488, 12.825787544250488, 12.825787544250488, 12.825787544250488, 12.825787544250488, 12.825787544250488, 12.89700984954834, 12.873259544372559, 12.945011138916016, 12.945011138916016, 12.945011138916016, 12.945011138916016, 12.945011138916016, 12.945011138916016, 13.017566680908203, 13.042092323303223, 12.993370056152344, 13.017566680908203, 13.066471099853516, 12.96902847290039, 13.042092323303223, 13.042092323303223, 13.042092323303223, 13.066471099853516, 13.066471099853516, 13.042092323303223, 13.042092323303223, 13.066471099853516, 13.066471099853516, 13.042092323303223, 13.066471099853516, 13.017566680908203, 12.993370056152344, 13.066471099853516, 13.066471099853516, 13.066471099853516, 13.042092323303223, 13.042092323303223, 13.017566680908203, 13.042092323303223, 13.066471099853516, 12.96902847290039, 12.993370056152344, 12.96902847290039, 12.96902847290039, 12.96902847290039, 12.993370056152344, 13.017566680908203, 12.993370056152344, 13.017566680908203, 13.042092323303223, 13.042092323303223, 13.017566680908203, 12.945011138916016, 12.945011138916016, 12.921083450317383, 12.921083450317383, 12.873259544372559, 12.921083450317383, 12.849364280700684, 12.921083450317383, 12.89700984954834, 12.89700984954834, 12.849364280700684, 12.89700984954834, 12.849364280700684, 12.825787544250488, 12.825787544250488, 12.802298545837402]"
18,"[12.778667449951172, 12.778667449951172, 12.708742141723633, 12.755350112915039, 12.755350112915039, 12.755350112915039, 12.731889724731445, 12.731889724731445, 12.708742141723633, 12.708742141723633, 12.708742141723633, 12.639579772949219, 12.61654281616211, 12.593812942504883, 12.61654281616211, 12.593812942504883, 12.593812942504883, 12.57116413116455, 12.593812942504883, 12.593812942504883, 12.52589225769043, 12.52589225769043, 12.503267288208008, 12.503267288208008, 12.52589225769043, 12.503267288208008, 12.593812942504883, 12.593812942504883, 12.593812942504883, 12.593812942504883, 12.593812942504883, 12.61654281616211, 12.593812942504883, 12.593812942504883, 12.593812942504883, 12.593812942504883, 12.593812942504883, 12.593812942504883, 12.593812942504883, 12.639579772949219, 12.6624755859375, 12.68567943572998, 12.68567943572998, 12.68567943572998, 12.708742141723633, 12.708742141723633, 12.708742141723633, 12.708742141723633, 12.708742141723633, 12.731889724731445, 12.802298545837402, 12.755350112915039, 12.755350112915039, 12.802298545837402, 12.731889724731445, 12.708742141723633, 12.755350112915039, 12.778667449951172, 12.708742141723633, 12.708742141723633, 12.708742141723633, 12.708742141723633, 12.731889724731445, 12.778667449951172, 12.778667449951172, 12.825787544250488, 12.825787544250488, 12.825787544250488, 12.825787544250488, 12.825787544250488, 12.825787544250488, 12.825787544250488, 12.825787544250488, 12.802298545837402, 12.755350112915039]"
19,"[12.755350112915039, 12.755350112915039, 12.731889724731445, 12.731889724731445, 12.755350112915039, 12.731889724731445, 12.802298545837402, 12.802298545837402, 12.825787544250488, 12.755350112915039, 12.802298545837402, 12.778667449951172, 12.755350112915039, 12.708742141723633, 12.778667449951172, 12.778667449951172, 12.825787544250488, 12.825787544250488, 12.849364280700684, 12.825787544250488, 12.825787544250488, 12.873259544372559, 12.89700984954834, 12.873259544372559, 12.873259544372559, 12.89700984954834, 12.945011138916016, 12.945011138916016, 12.945011138916016, 13.042092323303223, 13.017566680908203, 13.042092323303223, 13.042092323303223, 13.042092323303223, 13.066471099853516, 13.042092323303223, 13.042092323303223, 13.066471099853516, 13.066471099853516, 13.066471099853516, 13.066471099853516, 13.066471099853516, 13.066471099853516, 13.066471099853516, 13.066471099853516, 13.066471099853516, 13.066471099853516, 13.066471099853516, 13.066471099853516, 13.066471099853516, 13.042092323303223, 13.066471099853516, 13.066471099853516, 13.066471099853516, 13.066471099853516, 13.090940475463867, 13.115742683410645, 13.165390014648438, 13.165390014648438, 13.190231323242188, 13.190231323242188, 13.215167999267578, 13.240443229675293, 13.265569686889648, 13.291040420532227, 13.291040420532227, 13.316360473632812, 13.341774940490723, 13.367536544799805, 13.367536544799805, 13.341774940490723, 13.316360473632812, 13.341774940490723, 13.316360473632812, 13.316360473632812]"
20,"[13.316360473632812, 13.316360473632812, 13.316360473632812, 13.316360473632812, 13.419112205505371, 13.393149375915527, 13.44492244720459, 13.367536544799805, 13.367536544799805, 13.341774940490723, 13.393149375915527, 13.44492244720459, 13.419112205505371, 13.341774940490723, 13.341774940490723, 13.316360473632812, 13.316360473632812, 13.341774940490723, 13.393149375915527, 13.341774940490723, 13.393149375915527, 13.341774940490723, 13.341774940490723, 13.367536544799805, 13.393149375915527, 13.44492244720459, 13.419112205505371, 13.341774940490723, 13.419112205505371, 13.44492244720459, 13.44492244720459, 13.44492244720459, 13.44492244720459, 13.470830917358398, 13.470830917358398, 13.549676895141602, 13.470830917358398, 13.523205757141113, 13.5759916305542, 13.549676895141602, 13.5759916305542, 13.5759916305542, 13.549676895141602, 13.5759916305542, 13.5759916305542, 13.5759916305542, 13.5759916305542, 13.5759916305542, 13.5759916305542, 13.5759916305542, 13.5759916305542, 13.5759916305542, 13.5759916305542, 13.5759916305542, 13.5759916305542, 13.602408409118652, 13.5759916305542, 13.5759916305542, 13.5759916305542, 13.5759916305542, 13.602408409118652, 13.5759916305542, 13.5759916305542, 13.549676895141602, 13.5759916305542, 13.5759916305542, 13.5759916305542, 13.629188537597656, 13.602408409118652, 13.5759916305542, 13.5759916305542, 13.5759916305542, 13.5759916305542, 13.5759916305542, 13.5759916305542]"
