LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EL
1713787995.522964,121879.000,18009,2,EL,1,100,-10804.799805
1713787995.522964,121879.000,18009,2,EL,1,100,-10803.200195
1713787995.589965,121946.000,18029,1,EL,1,100,-10804.000000
1713787995.656466,122012.500,18044,2,EL,1,100,-10809.400391
1713787995.722966,122079.000,18044,2,EL,1,100,-10816.200195
1713787995.789967,122146.000,18060,2,EL,1,100,-10828.200195
1713787995.856968,122213.000,18060,2,EL,1,100,-10841.000000
1713787995.922969,122279.000,18077,1,EL,1,100,-10861.599609
1713787995.989970,122346.000,18094,2,EL,1,100,-10891.599609
1713787996.056971,122413.000,18094,2,EL,1,100,-10911.000000
1713787996.123471,122479.500,18110,2,EL,1,100,-10918.400391
1713787996.189972,122546.000,18110,2,EL,1,100,-10929.400391
1713787996.256973,122613.000,18128,1,EL,1,100,-10948.400391
1713787996.323474,122679.500,18146,2,EL,1,100,-10955.000000
1713787996.389975,122746.000,18146,2,EL,1,100,-10956.200195
1713787996.456976,122813.000,18163,1,EL,1,100,-10958.200195
1713787996.523477,122879.500,18180,2,EL,1,100,-10955.599609
1713787996.589978,122946.000,18180,2,EL,1,100,-10956.400391
1713787996.656978,123013.000,18197,1,EL,1,100,-10961.400391
1713787996.723479,123079.500,18212,2,EL,1,100,-10960.400391
1713787996.789980,123146.000,18212,2,EL,1,100,-10961.000000
1713787996.856481,123212.500,18231,2,EL,1,100,-10959.599609
1713787996.922982,123279.000,18231,2,EL,1,100,-10950.000000
1713787996.989983,123346.000,18247,1,EL,1,100,-10948.400391
1713787997.056484,123412.500,18264,2,EL,1,100,-10946.200195
1713787997.122984,123479.000,18264,2,EL,1,100,-10950.599609
1713787997.189985,123546.000,18280,1,EL,1,100,-10954.799805
1713787997.256486,123612.500,18296,2,EL,1,100,-10957.200195
1713787997.322987,123679.000,18296,2,EL,1,100,-10960.599609
1713787997.389988,123746.000,18317,1,EL,1,100,-10966.799805
1713787997.456489,123812.500,18336,2,EL,1,100,-10971.000000
1713787997.522990,123879.000,18336,2,EL,1,100,-10972.599609
1713787997.589990,123946.000,18353,1,EL,1,100,-10975.799805
1713787997.656491,124012.500,18369,2,EL,1,100,-10973.400391
1713787997.722992,124079.000,18369,2,EL,1,100,-10973.799805
1713787997.789993,124146.000,18384,1,EL,1,100,-10976.400391
1713787997.856494,124212.500,18402,2,EL,1,100,-10978.799805
1713787997.922995,124279.000,18402,2,EL,1,100,-10983.599609
1713787997.989995,124346.000,18418,1,EL,1,100,-10987.200195
1713787998.056496,124412.500,18436,2,EL,1,100,-10990.400391
1713787998.122997,124479.000,18436,2,EL,1,100,-10989.400391
1713787998.189498,124545.500,18452,2,EL,1,100,-10990.799805
1713787998.255999,124612.000,18452,2,EL,1,100,-10995.400391
1713787998.323000,124679.000,18469,1,EL,1,100,-10996.200195
1713787998.389501,124745.500,18485,2,EL,1,100,-10995.599609
1713787998.456002,124812.000,18485,2,EL,1,100,-10998.400391
1713787998.523002,124879.000,18502,1,EL,1,100,-10999.200195
1713787998.589503,124945.500,18517,2,EL,1,100,-11000.799805
1713787998.656004,125012.000,18517,2,EL,1,100,-10999.799805
1713787998.723005,125079.000,18534,1,EL,1,100,-11002.000000
1713787998.789506,125145.500,18550,2,EL,1,100,-11003.599609
1713787998.856007,125212.000,18550,2,EL,1,100,-11003.799805
1713787998.923007,125279.000,18570,1,EL,1,100,-11004.599609
1713787998.989508,125345.500,18584,2,EL,1,100,-11003.599609
1713787999.056009,125412.000,18584,2,EL,1,100,-11003.799805
1713787999.123010,125479.000,18601,1,EL,1,100,-11009.799805
1713787999.189511,125545.500,18618,2,EL,1,100,-11007.799805
1713787999.256012,125612.000,18618,2,EL,1,100,-11010.400391
1713787999.323013,125679.000,18635,1,EL,1,100,-11011.200195
1713787999.389513,125745.500,18649,2,EL,1,100,-11008.400391
1713787999.456014,125812.000,18649,2,EL,1,100,-11004.799805
1713787999.523015,125879.000,18666,1,EL,1,100,-11003.400391
1713787999.589516,125945.500,18683,2,EL,1,100,-11007.400391
1713787999.656017,126012.000,18683,2,EL,1,100,-11004.400391
1713787999.723018,126079.000,18700,1,EL,1,100,-10999.799805
1713787999.789519,126145.500,18714,2,EL,1,100,-10999.200195
1713787999.856019,126212.000,18714,2,EL,1,100,-10999.000000
1713787999.923020,126279.000,18732,1,EL,1,100,-10999.799805
1713787999.989521,126345.500,18750,2,EL,1,100,-11000.799805
1713788000.056022,126412.000,18750,2,EL,1,100,-11000.400391
1713788000.123023,126479.000,18767,1,EL,1,100,-11000.799805
1713788000.189524,126545.500,18783,2,EL,1,100,-10995.599609
1713788000.256025,126612.000,18783,2,EL,1,100,-10992.000000
1713788000.323025,126679.000,18801,1,EL,1,100,-10989.200195
1713788000.389526,126745.500,18817,2,EL,1,100,-10985.599609
1713788000.456027,126812.000,18817,2,EL,1,100,-10981.400391
1713788000.523028,126879.000,18835,2,EL,1,100,-10980.799805
1713788000.590029,126946.000,18835,2,EL,1,100,-10981.599609
1713788000.656030,127012.000,18851,1,EL,1,100,-10981.799805
1713788000.723031,127079.000,18868,2,EL,1,100,-10987.400391
1713788000.790031,127146.000,18868,2,EL,1,100,-10986.799805
1713788000.856032,127212.000,18884,1,EL,1,100,-10984.599609
1713788000.923033,127279.000,18902,2,EL,1,100,-10985.799805
1713788000.990034,127346.000,18902,2,EL,1,100,-10982.200195
1713788001.056035,127412.000,18918,1,EL,1,100,-10980.599609
1713788001.122536,127478.500,18933,2,EL,1,100,-10981.200195
1713788001.189037,127545.000,18933,2,EL,1,100,-10981.599609
1713788001.256037,127612.000,18950,1,EL,1,100,-10981.599609
1713788001.322538,127678.500,18967,2,EL,1,100,-10983.000000
1713788001.389039,127745.000,18967,2,EL,1,100,-10983.799805
1713788001.456040,127812.000,18983,1,EL,1,100,-10987.599609
1713788001.522541,127878.500,18999,2,EL,1,100,-10989.599609
1713788001.589042,127945.000,18999,2,EL,1,100,-10998.000000
1713788001.656043,128012.000,19015,1,EL,1,100,-11004.000000
1713788001.722543,128078.500,19034,2,EL,1,100,-11008.400391
1713788001.789044,128145.000,19034,2,EL,1,100,-11013.000000
1713788001.856045,128212.000,19050,1,EL,1,100,-11018.400391
1713788001.922546,128278.500,19066,2,EL,1,100,-11031.400391
1713788001.989047,128345.000,19066,2,EL,1,100,-11038.000000
1713788002.056048,128412.000,19082,1,EL,1,100,-11045.000000
1713788002.122549,128478.500,19099,2,EL,1,100,-11054.000000
1713788002.189049,128545.000,19099,2,EL,1,100,-11062.400391
1713788002.256050,128612.000,19116,1,EL,1,100,-11070.000000
1713788002.322551,128678.500,19131,2,EL,1,100,-11077.400391
1713788002.389052,128745.000,19131,2,EL,1,100,-11087.000000
1713788002.456053,128812.000,19147,1,EL,1,100,-11098.200195
1713788002.522554,128878.500,19170,2,EL,1,100,-11109.000000
1713788002.589055,128945.000,19170,2,EL,1,100,-11123.000000
1713788002.656055,129012.000,19186,1,EL,1,100,-11133.200195
1713788002.722556,129078.500,19202,2,EL,1,100,-11146.599609
1713788002.789057,129145.000,19202,2,EL,1,100,-11158.599609
1713788002.856058,129212.000,19217,1,EL,1,100,-11169.400391
1713788002.922559,129278.500,19235,2,EL,1,100,-11185.400391
1713788002.989060,129345.000,19235,2,EL,1,100,-11197.200195
1713788003.056061,129412.000,19251,2,EL,1,100,-11204.400391
1713788003.123061,129479.000,19251,2,EL,1,100,-11213.400391
1713788003.189062,129545.000,19268,1,EL,1,100,-11223.799805
1713788003.256063,129612.000,19283,2,EL,1,100,-11235.200195
1713788003.323064,129679.000,19283,2,EL,1,100,-11247.000000
1713788003.389065,129745.000,19300,1,EL,1,100,-11254.200195
1713788003.456066,129812.000,19318,2,EL,1,100,-11257.599609
1713788003.523067,129879.000,19318,2,EL,1,100,-11265.799805
1713788003.589067,129945.000,19336,1,EL,1,100,-11275.000000
1713788003.656068,130012.000,19350,2,EL,1,100,-11289.400391
1713788003.723069,130079.000,19350,2,EL,1,100,-11300.200195
1713788003.789070,130145.000,19367,1,EL,1,100,-11313.000000
1713788003.856071,130212.000,19384,2,EL,1,100,-11327.000000
1713788003.923072,130279.000,19384,2,EL,1,100,-11345.000000
1713788003.989072,130345.000,19401,1,EL,1,100,-11364.799805
1713788004.056073,130412.000,19415,2,EL,1,100,-11389.200195
1713788004.123074,130479.000,19415,2,EL,1,100,-11420.799805
1713788004.189075,130545.000,19432,1,EL,1,100,-11458.799805
1713788004.256076,130612.000,19449,2,EL,1,100,-11501.200195
1713788004.323077,130679.000,19449,2,EL,1,100,-11574.799805
1713788004.389078,130745.000,19466,1,EL,1,100,-11671.000000
1713788004.455578,130811.500,19480,2,EL,1,100,-11722.799805
1713788004.522079,130878.000,19480,2,EL,1,100,-11746.799805
1713788004.589080,130945.000,19498,1,EL,1,100,-11762.200195
1713788004.655581,131011.500,19516,2,EL,1,100,-11770.000000
