LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,AK
1713793921.860246,424296.000,1087,2,AK,1,100,1085
1713793921.867246,424303.000,1087,2,AK,1,100,RD
1713793924.413784,426849.500,1912,2,AK,1,100,1085
1713793926.960322,429396.000,1912,2,AK,1,100,RD
1713793926.969822,429405.500,1915,2,AK,1,100,1913
1713793926.979322,429415.000,1915,2,AK,1,100,RD
1713793929.531860,431967.500,2762,2,AK,1,100,1913
1713793932.084398,434520.000,2762,2,AK,1,100,RD
1713793932.088898,434524.500,2765,2,AK,1,100,2763
1713793932.093398,434529.000,2765,2,AK,1,100,RD
1713793934.642936,437078.500,3607,2,AK,1,100,2763
1713793937.192473,439628.000,3607,2,AK,1,100,RD
1713793937.202474,439638.000,3610,2,AK,1,100,3608
1713793937.212474,439648.000,3610,2,AK,1,100,RD
1713793939.756511,442192.000,4462,2,AK,1,100,3608
1713793942.300549,444736.000,4462,2,AK,1,100,RD
1713793942.306049,444741.500,4465,2,AK,1,100,4463
1713793942.311549,444747.000,4465,2,AK,1,100,RD
1713793944.868087,447303.500,5316,2,AK,1,100,4463
1713793947.424625,449860.000,5316,2,AK,1,100,RD
1713793947.429125,449864.500,5319,2,AK,1,100,5317
1713793947.433625,449869.000,5319,2,AK,1,100,RD
1713793949.982163,452417.500,6162,2,AK,1,100,5317
1713793952.530701,454966.000,6162,2,AK,1,100,RD
1713793952.537701,454973.000,6165,2,AK,1,100,6163
1713793952.544701,454980.000,6165,2,AK,1,100,RD
1713793955.091738,457527.000,7001,2,AK,1,100,6163
1713793957.638776,460074.000,7001,2,AK,1,100,RD
1713793957.644776,460080.000,7004,2,AK,1,100,7002
1713793957.650776,460086.000,7004,2,AK,1,100,RD
1713793960.210314,462645.500,7857,2,AK,1,100,7002
1713793962.769852,465205.000,7857,2,AK,1,100,RD
1713793962.777352,465212.500,7860,2,AK,1,100,7858
1713793962.784853,465220.000,7860,2,AK,1,100,RD
1713793965.330890,467766.000,8704,2,AK,1,100,7858
1713793967.876928,470312.000,8704,2,AK,1,100,RD
1713793967.882928,470318.000,8707,2,AK,1,100,8705
1713793967.888928,470324.000,8707,2,AK,1,100,RD
1713793970.437466,472872.500,9547,2,AK,1,100,8705
1713793972.986004,475421.000,9547,2,AK,1,100,RD
1713793972.991004,475426.000,9550,2,AK,1,100,9548
1713793972.996004,475431.000,9550,2,AK,1,100,RD
1713793975.549042,477984.000,10415,2,AK,1,100,9548
1713793978.102079,480537.000,10415,2,AK,1,100,RD
1713793978.106080,480541.000,10418,2,AK,1,100,10416
1713793978.110080,480545.000,10418,2,AK,1,100,RD
1713793980.659617,483094.500,11255,2,AK,1,100,10416
1713793983.209155,485644.000,11255,2,AK,1,100,RD
1713793983.215655,485650.500,11258,2,AK,1,100,11256
1713793983.222155,485657.000,11258,2,AK,1,100,RD
1713793985.785693,488220.500,12121,2,AK,1,100,11256
1713793988.349231,490784.000,12121,2,AK,1,100,RD
1713793988.355731,490790.500,12124,2,AK,1,100,12122
1713793988.362231,490797.000,12124,2,AK,1,100,RD
1713793990.913269,493348.000,12966,2,AK,1,100,12122
1713793993.464307,495899.000,12966,2,AK,1,100,RD
1713793993.469307,495904.000,12969,2,AK,1,100,12967
1713793993.474307,495909.000,12969,2,AK,1,100,RD
