LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,AY
1713793798.154414,300592.000,46883,3,AY,1,100,-0.452
1713793798.154414,300592.000,46883,3,AY,1,100,-0.455
1713793798.154414,300592.000,46883,3,AY,1,100,-0.453
1713793798.194414,300632.000,46898,2,AY,1,100,-0.451
1713793798.234415,300672.000,46898,2,AY,1,100,-0.455
1713793798.274415,300712.000,46915,3,AY,1,100,-0.453
1713793798.314416,300752.000,46915,3,AY,1,100,-0.455
1713793798.354417,300792.000,46915,3,AY,1,100,-0.454
1713793798.394417,300832.000,46932,2,AY,1,100,-0.454
1713793798.434418,300872.000,46932,2,AY,1,100,-0.454
1713793798.474418,300912.000,46948,3,AY,1,100,-0.452
1713793798.514419,300952.000,46948,3,AY,1,100,-0.452
1713793798.554420,300992.000,46948,3,AY,1,100,-0.455
1713793798.594420,301032.000,46964,2,AY,1,100,-0.451
1713793798.634421,301072.000,46964,2,AY,1,100,-0.453
1713793798.674421,301112.000,46980,3,AY,1,100,-0.455
1713793798.714422,301152.000,46980,3,AY,1,100,-0.452
1713793798.754423,301192.000,46980,3,AY,1,100,-0.453
1713793798.794423,301232.000,46997,2,AY,1,100,-0.453
1713793798.834424,301272.000,46997,2,AY,1,100,-0.456
1713793798.874424,301312.000,47014,3,AY,1,100,-0.452
1713793798.914425,301352.000,47014,3,AY,1,100,-0.453
1713793798.954426,301392.000,47014,3,AY,1,100,-0.456
1713793798.994426,301432.000,47031,2,AY,1,100,-0.453
1713793799.034427,301472.000,47031,2,AY,1,100,-0.453
1713793799.077927,301515.500,47052,4,AY,1,100,-0.455
1713793799.121428,301559.000,47052,4,AY,1,100,-0.452
1713793799.164929,301602.500,47052,4,AY,1,100,-0.456
1713793799.208429,301646.000,47052,4,AY,1,100,-0.454
1713793799.248430,301686.000,47069,2,AY,1,100,-0.457
1713793799.288430,301726.000,47069,2,AY,1,100,-0.455
1713793799.328431,301766.000,47085,3,AY,1,100,-0.453
1713793799.368432,301806.000,47085,3,AY,1,100,-0.453
1713793799.408432,301846.000,47085,3,AY,1,100,-0.454
1713793799.448433,301886.000,47102,2,AY,1,100,-0.454
1713793799.488433,301926.000,47102,2,AY,1,100,-0.454
1713793799.528434,301966.000,47119,3,AY,1,100,-0.455
1713793799.568435,302006.000,47119,3,AY,1,100,-0.454
1713793799.608435,302046.000,47119,3,AY,1,100,-0.454
1713793799.648436,302086.000,47134,2,AY,1,100,-0.455
