LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,BI
1713793801.061457,303499,47355,1,BI,1,100,3960
1713793801.875469,304313,47487,1,BI,1,100,800
1713793802.275475,304713,47554,1,BI,1,100,400
1713793802.715481,305153,47622,1,BI,1,100,440
1713793803.115487,305553,47689,1,BI,1,100,400
1713793803.675495,306113,47772,1,BI,1,100,560
1713793804.834513,307272,47963,1,BI,1,100,1160
1713793805.034516,307472,47996,1,BI,1,100,200
1713793805.914529,308352,48146,1,BI,1,100,880
1713793806.354535,308792,48213,1,BI,1,100,440
1713793814.860661,317298,49555,1,BI,1,100,8480
1713793816.420684,318858,49819,1,BI,1,100,1560
1713793818.220711,320658,50100,1,BI,1,100,1800
1713793822.833779,325271,50829,1,BI,1,100,4600
1713793824.872809,327310,51150,1,BI,1,100,2040
1713793832.045916,334483,52272,1,BI,1,100,7160
1713793852.044212,354481,55459,1,BI,1,100,19960
1713793860.470337,362907,56800,1,BI,1,100,8400
1713793861.390351,363827,56935,1,BI,1,100,920
1713793873.455529,375892,58831,1,BI,1,100,12040
1713793875.775563,378212,59195,1,BI,1,100,2320
1713793902.719963,405156,63519,1,BI,1,100,26880
1713793904.679992,407116,63849,1,BI,1,100,1960
1713793920.025219,422461,786,1,BI,1,100,15320
1713793921.518241,423954,1033,1,BI,1,100,1480
1713793922.678258,425114,1220,1,BI,1,100,1160
1713793924.038279,426474,1435,1,BI,1,100,1360
1713793927.771334,430207,2047,1,BI,1,100,3720
1713793928.371343,430807,2148,1,BI,1,100,600
1713793930.371372,432807,2478,1,BI,1,100,2000
1713793930.890380,433326,2561,1,BI,1,100,520
1713793931.410388,433846,2645,1,BI,1,100,520
1713793932.170399,434606,2783,1,BI,1,100,760
1713793933.304416,435740,2963,1,BI,1,100,1120
1713793934.863439,437299,3216,1,BI,1,100,1560
1713793935.663451,438099,3351,1,BI,1,100,800
1713793936.343461,438779,3472,1,BI,1,100,680
1713793937.183473,439619,3611,1,BI,1,100,840
1713793938.303490,440739,3800,1,BI,1,100,1120
1713793938.663495,441099,3868,1,BI,1,100,360
1713793939.836513,442272,4056,1,BI,1,100,1160
1713793940.636524,443072,4190,1,BI,1,100,800
1713793949.409654,451845,5638,1,BI,1,100,8760
1713793950.928677,453364,5890,1,BI,1,100,1520
1713793952.582701,455018,6184,1,BI,1,100,1640
1713793957.554775,459990,6981,1,BI,1,100,4960
1713793964.967885,467403,8212,1,BI,1,100,7400
1713793971.100976,473536,9242,1,BI,1,100,6120
1713793973.221007,475656,9601,1,BI,1,100,2120
1713793974.860031,477295,9877,1,BI,1,100,1640
1713793976.074049,478509,10079,1,BI,1,100,1200
1713793982.206140,484641,11086,1,BI,1,100,6120
1713793983.446159,485881,11293,1,BI,1,100,1240
1713793984.486174,486921,11481,1,BI,1,100,1040
1713793985.566190,488001,11649,1,BI,1,100,1080
1713793987.686221,490121,11999,1,BI,1,100,2120
1713793995.392336,497827,13294,1,BI,1,100,7680
1713793996.152347,498587,13411,1,BI,1,100,760
1713793996.352350,498787,13447,1,BI,1,100,200
