LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,BV
1713793798.920425,301358.000,47022,1,BV,1,100,3.73
1713793803.919499,306357.000,47840,1,BV,1,100,3.72
1713793808.919573,311357.000,48657,1,BV,1,100,3.72
1713793813.918647,316356.000,49434,1,BV,1,100,3.72
1713793818.918721,321356.000,50232,1,BV,1,100,3.72
1713793823.917795,326355.000,51027,1,BV,1,100,3.72
1713793828.917869,331355.000,51772,1,BV,1,100,3.72
1713793833.916944,336354.000,52583,1,BV,1,100,3.72
1713793838.917017,341354.000,53391,1,BV,1,100,3.72
1713793843.916092,346353.000,54197,1,BV,1,100,3.72
1713793848.916166,351353.000,54990,1,BV,1,100,3.72
1713793853.915240,356352.000,55770,1,BV,1,100,3.72
1713793858.915314,361352.000,56564,1,BV,1,100,3.72
1713793863.914388,366351.000,57312,1,BV,1,100,3.71
1713793868.914462,371351.000,58103,1,BV,1,100,3.72
1713793873.913536,376350.000,58915,1,BV,1,100,3.72
1713793878.913610,381350.000,59726,1,BV,1,100,3.72
1713793883.912684,386349.000,60516,1,BV,1,100,3.72
1713793888.912758,391349.000,61324,1,BV,1,100,3.71
1713793893.911832,396348.000,62115,1,BV,1,100,3.71
1713793898.911906,401348.000,62921,1,BV,1,100,3.72
1713793903.910980,406347.000,63732,1,BV,1,100,3.72
1713793908.911054,411347.000,64543,1,BV,1,100,3.72
1713793913.910129,416346.000,65349,1,BV,1,100,3.72
1713793918.910203,421346.000,621,1,BV,1,100,3.72
1713793923.909277,426345.000,1433,1,BV,1,100,3.71
1713793928.909351,431345.000,2263,1,BV,1,100,3.71
1713793933.908425,436344.000,3081,1,BV,1,100,3.71
1713793938.908499,441344.000,3922,1,BV,1,100,3.72
1713793943.907573,446343.000,4747,1,BV,1,100,3.71
1713793948.907647,451343.000,5587,1,BV,1,100,3.72
1713793953.906721,456342.000,6416,1,BV,1,100,3.71
1713793958.906795,461342.000,7236,1,BV,1,100,3.71
1713793963.905869,466341.000,8063,1,BV,1,100,3.71
1713793968.905943,471341.000,8888,1,BV,1,100,3.71
1713793973.905017,476340.000,9721,1,BV,1,100,3.71
1713793978.905091,481340.000,10571,1,BV,1,100,3.71
1713793983.904165,486339.000,11395,1,BV,1,100,3.71
1713793988.904239,491339.000,12223,1,BV,1,100,3.71
1713793993.903313,496338.000,13053,1,BV,1,100,3.71
