LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PI
1713793801.955470,304393.000,47490,3,PI,1,100,145339
1713793801.995471,304433.000,47506,2,PI,1,100,145353
1713793802.035471,304473.000,47506,2,PI,1,100,145356
1713793802.075472,304513.000,47523,3,PI,1,100,145359
1713793802.115472,304553.000,47523,3,PI,1,100,145365
1713793802.155473,304593.000,47523,3,PI,1,100,145376
1713793802.195474,304633.000,47539,2,PI,1,100,145352
1713793802.235474,304673.000,47539,2,PI,1,100,145357
1713793802.275475,304713.000,47557,3,PI,1,100,145402
1713793802.315475,304753.000,47557,3,PI,1,100,145397
1713793802.355476,304793.000,47557,3,PI,1,100,145415
1713793802.395477,304833.000,47573,2,PI,1,100,145451
1713793802.435477,304873.000,47573,2,PI,1,100,145506
1713793802.475478,304913.000,47590,3,PI,1,100,145551
1713793802.515478,304953.000,47590,3,PI,1,100,145506
1713793802.555479,304993.000,47590,3,PI,1,100,145465
1713793802.595479,305033.000,47607,2,PI,1,100,145441
1713793802.635480,305073.000,47607,2,PI,1,100,145432
1713793802.675481,305113.000,47624,3,PI,1,100,145509
1713793802.715481,305153.000,47624,3,PI,1,100,145525
1713793802.755482,305193.000,47624,3,PI,1,100,145519
1713793802.795482,305233.000,47640,2,PI,1,100,145503
1713793802.835483,305273.000,47640,2,PI,1,100,145456
1713793802.875484,305313.000,47658,3,PI,1,100,145389
1713793802.915484,305353.000,47658,3,PI,1,100,145359
1713793802.955485,305393.000,47658,3,PI,1,100,145382
1713793802.995486,305433.000,47674,2,PI,1,100,145424
1713793803.035486,305473.000,47674,2,PI,1,100,145453
1713793803.075487,305513.000,47691,3,PI,1,100,145470
1713793803.115487,305553.000,47691,3,PI,1,100,145486
1713793803.155488,305593.000,47691,3,PI,1,100,145504
1713793803.195488,305633.000,47707,3,PI,1,100,145562
1713793803.235489,305673.000,47707,3,PI,1,100,145555
1713793803.275490,305713.000,47707,3,PI,1,100,145541
1713793803.315490,305753.000,47725,2,PI,1,100,145529
