LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,T1
1713793810.679599,313117.000,48930,1,T1,1,100,30.849
1713793810.812601,313250.000,48947,1,T1,1,100,30.757
1713793810.946103,313383.500,48965,2,T1,1,100,30.930
1713793811.079605,313517.000,48965,2,T1,1,100,30.899
1713793811.212607,313650.000,48997,1,T1,1,100,30.885
1713793811.346609,313784.000,49014,1,T1,1,100,30.844
1713793811.479611,313917.000,49031,1,T1,1,100,30.862
1713793811.612613,314050.000,49063,1,T1,1,100,30.869
1713793811.746615,314184.000,49079,1,T1,1,100,30.979
1713793811.879617,314317.000,49096,1,T1,1,100,30.884
1713793812.012619,314450.000,49128,1,T1,1,100,30.950
1713793812.145621,314583.000,49144,1,T1,1,100,30.907
1713793812.279623,314717.000,49162,1,T1,1,100,30.854
1713793812.412625,314850.000,49193,1,T1,1,100,30.866
1713793812.545627,314983.000,49209,1,T1,1,100,30.871
1713793812.679629,315117.000,49227,1,T1,1,100,30.944
1713793812.812631,315250.000,49258,1,T1,1,100,30.834
1713793812.945633,315383.000,49275,1,T1,1,100,30.893
1713793813.079635,315517.000,49292,1,T1,1,100,30.918
1713793813.212637,315650.000,49308,1,T1,1,100,30.858
1713793813.345639,315783.000,49325,1,T1,1,100,30.868
1713793813.479641,315917.000,49357,1,T1,1,100,30.872
1713793813.612643,316050.000,49374,1,T1,1,100,30.803
1713793813.745645,316183.000,49391,1,T1,1,100,30.844
1713793813.879647,316317.000,49423,1,T1,1,100,30.861
1713793814.012649,316450.000,49441,1,T1,1,100,30.905
1713793814.145651,316583.000,49458,1,T1,1,100,30.888
1713793814.279653,316717.000,49490,1,T1,1,100,30.845
1713793814.412655,316850.000,49512,2,T1,1,100,30.756
1713793814.545656,316983.000,49512,2,T1,1,100,30.823
1713793814.679658,317117.000,49544,1,T1,1,100,30.924
1713793814.812660,317250.000,49562,1,T1,1,100,30.825
1713793814.945662,317383.000,49580,1,T1,1,100,30.853
1713793815.079664,317517.000,49611,1,T1,1,100,30.901
1713793815.212667,317650.000,49627,1,T1,1,100,30.886
1713793815.345668,317783.000,49645,1,T1,1,100,30.880
1713793815.478670,317916.000,49661,1,T1,1,100,30.913
1713793815.612672,318050.000,49693,1,T1,1,100,30.856
1713793815.745674,318183.000,49710,1,T1,1,100,31.009
1713793815.878676,318316.000,49726,1,T1,1,100,30.933
1713793816.012678,318450.000,49744,1,T1,1,100,30.900
1713793816.145680,318583.000,49775,1,T1,1,100,30.921
1713793816.278682,318716.000,49792,1,T1,1,100,30.930
1713793816.412684,318850.000,49809,1,T1,1,100,30.970
1713793816.545686,318983.000,49843,1,T1,1,100,30.916
1713793816.678688,319116.000,49859,1,T1,1,100,30.928
1713793816.812690,319250.000,49876,1,T1,1,100,30.933
1713793816.945692,319383.000,49908,1,T1,1,100,30.865
1713793817.078694,319516.000,49924,1,T1,1,100,30.977
1713793817.212696,319650.000,49941,1,T1,1,100,30.884
1713793817.345698,319783.000,49973,1,T1,1,100,30.879
1713793817.478700,319916.000,49989,1,T1,1,100,30.806
1713793817.612702,320050.000,50007,1,T1,1,100,30.880
1713793817.745704,320183.000,50023,1,T1,1,100,30.877
1713793817.878706,320316.000,50055,1,T1,1,100,30.982
1713793818.012708,320450.000,50072,1,T1,1,100,30.886
1713793818.145710,320583.000,50088,1,T1,1,100,30.880
1713793818.278712,320716.000,50122,1,T1,1,100,31.019
1713793818.412714,320850.000,50139,1,T1,1,100,30.937
1713793818.545716,320983.000,50155,1,T1,1,100,30.866
1713793818.678718,321116.000,50173,1,T1,1,100,30.907
1713793818.812720,321250.000,50204,1,T1,1,100,30.960
1713793818.945722,321383.000,50221,1,T1,1,100,30.912
1713793819.078724,321516.000,50240,1,T1,1,100,30.926
1713793819.211726,321649.000,50272,1,T1,1,100,30.897
1713793819.345728,321783.000,50288,1,T1,1,100,30.956
1713793819.478730,321916.000,50305,1,T1,1,100,30.945
1713793819.611732,322049.000,50328,1,T1,1,100,30.905
1713793819.745733,322183.000,50344,1,T1,1,100,30.888
1713793819.878736,322316.000,50376,1,T1,1,100,30.987
1713793820.011738,322449.000,50393,1,T1,1,100,30.959
1713793820.145740,322583.000,50409,1,T1,1,100,31.089
1713793820.278741,322716.000,50427,1,T1,1,100,30.967
1713793820.411743,322849.000,50443,1,T1,1,100,30.880
1713793820.545745,322983.000,50474,1,T1,1,100,30.912
1713793820.678747,323116.000,50492,1,T1,1,100,31.033
1713793820.811749,323249.000,50508,1,T1,1,100,30.872
1713793820.945751,323383.000,50540,1,T1,1,100,30.909
1713793821.078753,323516.000,50557,1,T1,1,100,30.819
1713793821.211755,323649.000,50573,1,T1,1,100,30.957
1713793821.345757,323783.000,50605,1,T1,1,100,30.875
1713793821.478759,323916.000,50622,1,T1,1,100,30.840
1713793821.611761,324049.000,50639,1,T1,1,100,30.789
1713793821.745763,324183.000,50670,1,T1,1,100,30.802
1713793821.878765,324316.000,50687,1,T1,1,100,30.844
1713793822.011767,324449.000,50704,1,T1,1,100,30.932
1713793822.144769,324582.000,50735,1,T1,1,100,30.900
1713793822.278771,324716.000,50753,1,T1,1,100,30.921
1713793822.411773,324849.000,50769,1,T1,1,100,31.001
1713793822.544775,324982.000,50786,1,T1,1,100,30.930
1713793822.678777,325116.000,50803,1,T1,1,100,30.899
1713793822.811779,325249.000,50836,1,T1,1,100,30.850
1713793822.944781,325382.000,50854,1,T1,1,100,30.793
1713793823.078783,325516.000,50870,1,T1,1,100,30.946
1713793823.211785,325649.000,50902,1,T1,1,100,31.012
1713793823.344787,325782.000,50919,1,T1,1,100,30.970
1713793823.478789,325916.000,50935,1,T1,1,100,30.845
1713793823.611791,326049.000,50967,1,T1,1,100,30.968
1713793823.744793,326182.000,50984,1,T1,1,100,30.880
1713793823.878795,326316.000,51000,1,T1,1,100,30.948
1713793824.011797,326449.000,51034,1,T1,1,100,30.871
1713793824.144799,326582.000,51051,1,T1,1,100,30.873
1713793824.278801,326716.000,51068,1,T1,1,100,30.910
1713793824.411803,326849.000,51099,1,T1,1,100,30.996
1713793824.544805,326982.000,51117,1,T1,1,100,30.928
1713793824.678807,327116.000,51138,1,T1,1,100,30.898
1713793824.811809,327249.000,51157,1,T1,1,100,30.885
1713793824.944811,327382.000,51174,1,T1,1,100,30.950
1713793825.078813,327516.000,51191,1,T1,1,100,30.978
1713793825.211815,327649.000,51223,1,T1,1,100,30.991
1713793825.344816,327782.000,51239,1,T1,1,100,30.925
1713793825.477818,327915.000,51256,1,T1,1,100,31.003
1713793825.611820,328049.000,51288,1,T1,1,100,31.037
1713793825.744823,328182.000,51304,1,T1,1,100,30.910
1713793825.877824,328315.000,51321,1,T1,1,100,30.996
1713793826.011826,328449.000,51353,1,T1,1,100,31.105
1713793826.144828,328582.000,51369,1,T1,1,100,31.010
1713793826.277830,328715.000,51387,1,T1,1,100,31.040
1713793826.411832,328849.000,51403,1,T1,1,100,31.017
1713793826.544834,328982.000,51434,1,T1,1,100,30.937
1713793826.678336,329115.500,51452,2,T1,1,100,30.866
1713793826.811838,329249.000,51452,2,T1,1,100,30.942
1713793826.944840,329382.000,51469,2,T1,1,100,30.904
1713793827.077842,329515.000,51469,2,T1,1,100,30.958
1713793827.211844,329649.000,51501,1,T1,1,100,30.911
1713793827.344846,329782.000,51518,1,T1,1,100,30.962
1713793827.477848,329915.000,51534,1,T1,1,100,30.948
1713793827.611850,330049.000,51566,1,T1,1,100,30.907
1713793827.744852,330182.000,51583,1,T1,1,100,30.924
1713793827.877854,330315.000,51599,1,T1,1,100,30.861
1713793828.011856,330449.000,51617,1,T1,1,100,30.975
1713793828.144858,330582.000,51648,1,T1,1,100,30.954
1713793828.277860,330715.000,51665,1,T1,1,100,30.909
1713793828.411862,330849.000,51682,1,T1,1,100,30.925
1713793828.544864,330982.000,51714,1,T1,1,100,31.039
1713793828.677866,331115.000,51730,1,T1,1,100,31.017
1713793828.810868,331248.000,51747,1,T1,1,100,31.043
1713793828.944870,331382.000,51781,1,T1,1,100,31.018
1713793829.077872,331515.000,51797,1,T1,1,100,30.937
1713793829.210874,331648.000,51814,1,T1,1,100,31.008
1713793829.344876,331782.000,51846,1,T1,1,100,31.039
1713793829.477878,331915.000,51862,1,T1,1,100,30.946
1713793829.611880,332049.000,51880,1,T1,1,100,30.941
1713793829.744882,332182.000,51896,1,T1,1,100,31.045
1713793829.877884,332315.000,51917,1,T1,1,100,31.055
1713793830.010886,332448.000,51949,1,T1,1,100,30.988
1713793830.144888,332582.000,51965,1,T1,1,100,30.995
1713793830.277889,332715.000,51983,1,T1,1,100,30.891
1713793830.410892,332848.000,52014,1,T1,1,100,30.953
1713793830.544894,332982.000,52030,1,T1,1,100,31.015
1713793830.677896,333115.000,52048,1,T1,1,100,30.936
1713793830.810898,333248.000,52064,1,T1,1,100,30.901
1713793830.944900,333382.000,52096,1,T1,1,100,30.993
1713793831.077901,333515.000,52113,1,T1,1,100,30.997
1713793831.210903,333648.000,52129,1,T1,1,100,30.999
1713793831.344905,333782.000,52161,1,T1,1,100,31.035
1713793831.477907,333915.000,52178,1,T1,1,100,30.944
1713793831.610909,334048.000,52195,1,T1,1,100,31.047
1713793831.744911,334182.000,52226,1,T1,1,100,31.020
1713793831.877913,334315.000,52243,1,T1,1,100,30.938
1713793832.010915,334448.000,52260,1,T1,1,100,31.044
1713793832.143917,334581.000,52293,1,T1,1,100,31.055
1713793832.277919,334715.000,52311,1,T1,1,100,31.059
1713793832.410921,334848.000,52327,1,T1,1,100,31.026
1713793832.543923,334981.000,52359,1,T1,1,100,31.047
1713793832.677925,335115.000,52376,1,T1,1,100,30.949
1713793832.810927,335248.000,52392,1,T1,1,100,30.943
1713793832.943929,335381.000,52424,1,T1,1,100,30.940
1713793833.077931,335515.000,52441,1,T1,1,100,31.009
1713793833.210933,335648.000,52457,1,T1,1,100,30.969
1713793833.343935,335781.000,52475,1,T1,1,100,31.022
1713793833.477937,335915.000,52506,1,T1,1,100,31.009
1713793833.610939,336048.000,52523,1,T1,1,100,30.933
1713793833.743941,336181.000,52540,1,T1,1,100,30.971
1713793833.877943,336315.000,52572,1,T1,1,100,31.023
1713793834.010945,336448.000,52590,1,T1,1,100,31.010
1713793834.143947,336581.000,52607,1,T1,1,100,31.040
1713793834.277949,336715.000,52639,1,T1,1,100,31.124
1713793834.410951,336848.000,52655,1,T1,1,100,30.947
1713793834.543953,336981.000,52672,1,T1,1,100,30.977
1713793834.677955,337115.000,52704,1,T1,1,100,31.061
1713793834.810957,337248.000,52720,1,T1,1,100,30.955
1713793834.943959,337381.000,52743,1,T1,1,100,31.016
1713793835.077961,337515.000,52759,1,T1,1,100,31.042
1713793835.210963,337648.000,52776,1,T1,1,100,31.018
1713793835.343965,337781.000,52808,1,T1,1,100,31.043
1713793835.476967,337914.000,52824,1,T1,1,100,31.019
1713793835.610969,338048.000,52842,1,T1,1,100,30.902
1713793835.743971,338181.000,52873,1,T1,1,100,30.993
1713793835.876972,338314.000,52889,1,T1,1,100,31.032
1713793836.010974,338448.000,52907,1,T1,1,100,31.049
1713793836.143976,338581.000,52938,1,T1,1,100,31.057
1713793836.277978,338715.000,52955,1,T1,1,100,31.060
1713793836.410980,338848.000,52972,1,T1,1,100,31.061
1713793836.543983,338981.000,53004,1,T1,1,100,30.991
1713793836.676984,339114.000,53020,1,T1,1,100,30.996
1713793836.810986,339248.000,53037,1,T1,1,100,30.998
1713793836.943988,339381.000,53053,1,T1,1,100,31.035
1713793837.076990,339514.000,53085,1,T1,1,100,31.086
1713793837.210992,339648.000,53102,1,T1,1,100,31.002
1713793837.343994,339781.000,53119,1,T1,1,100,31.072
1713793837.476996,339914.000,53150,1,T1,1,100,30.996
1713793837.610998,340048.000,53168,1,T1,1,100,30.963
1713793837.744000,340181.000,53184,1,T1,1,100,30.984
1713793837.877002,340314.000,53216,1,T1,1,100,31.064
1713793838.011004,340448.000,53233,1,T1,1,100,31.063
1713793838.144006,340581.000,53249,1,T1,1,100,31.027
1713793838.277008,340714.000,53281,1,T1,1,100,31.083
1713793838.411010,340848.000,53298,1,T1,1,100,30.965
1713793838.544012,340981.000,53314,1,T1,1,100,30.949
1713793838.677014,341114.000,53346,1,T1,1,100,31.049
1713793838.811016,341248.000,53363,1,T1,1,100,31.057
1713793838.944018,341381.000,53380,1,T1,1,100,31.131
1713793839.077020,341514.000,53399,1,T1,1,100,31.092
1713793839.210022,341647.000,53431,1,T1,1,100,31.040
1713793839.344024,341781.000,53447,1,T1,1,100,31.017
1713793839.477026,341914.000,53464,1,T1,1,100,31.149
1713793839.611028,342048.000,53496,1,T1,1,100,31.100
1713793839.744030,342181.000,53512,1,T1,1,100,31.114
1713793839.877032,342314.000,53529,1,T1,1,100,30.943
1713793840.010534,342447.500,53566,2,T1,1,100,31.011
1713793840.144036,342581.000,53566,2,T1,1,100,30.969
1713793840.277038,342714.000,53599,1,T1,1,100,31.058
1713793840.410040,342847.000,53615,1,T1,1,100,31.060
1713793840.544042,342981.000,53632,1,T1,1,100,31.026
1713793840.677044,343114.000,53664,1,T1,1,100,31.011
1713793840.810046,343247.000,53680,1,T1,1,100,31.040
1713793840.944048,343381.000,53698,1,T1,1,100,30.947
1713793841.077049,343514.000,53729,1,T1,1,100,31.012
1713793841.210052,343647.000,53745,1,T1,1,100,30.934
1713793841.344054,343781.000,53763,1,T1,1,100,30.901
1713793841.477056,343914.000,53794,1,T1,1,100,30.957
1713793841.610057,344047.000,53811,1,T1,1,100,31.123
1713793841.744059,344181.000,53828,1,T1,1,100,31.018
1713793841.877061,344314.000,53860,1,T1,1,100,30.972
1713793842.010063,344447.000,53876,1,T1,1,100,31.023
1713793842.144065,344581.000,53893,1,T1,1,100,30.939
