LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PR
1713793798.142414,300580.000,46876,3,PR,1,100,131852
1713793798.142414,300580.000,46876,3,PR,1,100,131859
1713793798.142414,300580.000,46876,3,PR,1,100,131871
1713793798.182414,300620.000,46893,2,PR,1,100,131872
1713793798.222415,300660.000,46893,2,PR,1,100,131875
1713793798.262415,300700.000,46908,3,PR,1,100,131880
1713793798.302416,300740.000,46908,3,PR,1,100,131884
1713793798.342417,300780.000,46908,3,PR,1,100,131882
1713793798.382417,300820.000,46925,3,PR,1,100,131869
1713793798.422418,300860.000,46925,3,PR,1,100,131872
1713793798.462418,300900.000,46925,3,PR,1,100,131889
1713793798.502419,300940.000,46941,2,PR,1,100,131881
1713793798.542419,300980.000,46941,2,PR,1,100,131885
1713793798.582420,301020.000,46959,3,PR,1,100,131883
1713793798.622421,301060.000,46959,3,PR,1,100,131869
1713793798.662421,301100.000,46959,3,PR,1,100,131885
1713793798.702422,301140.000,46973,2,PR,1,100,131881
1713793798.742422,301180.000,46973,2,PR,1,100,131906
1713793798.782423,301220.000,46990,3,PR,1,100,131903
1713793798.822424,301260.000,46990,3,PR,1,100,131911
1713793798.862424,301300.000,46990,3,PR,1,100,131927
1713793798.902425,301340.000,47007,2,PR,1,100,131918
1713793798.942425,301380.000,47007,2,PR,1,100,131920
1713793798.982426,301420.000,47026,3,PR,1,100,131911
1713793799.022427,301460.000,47026,3,PR,1,100,131890
1713793799.062427,301500.000,47026,3,PR,1,100,131907
1713793799.102428,301540.000,47045,3,PR,1,100,131906
1713793799.142428,301580.000,47045,3,PR,1,100,131908
1713793799.182429,301620.000,47045,3,PR,1,100,131912
1713793799.222430,301660.000,47063,3,PR,1,100,131894
1713793799.262430,301700.000,47063,3,PR,1,100,131920
1713793799.302431,301740.000,47063,3,PR,1,100,131917
1713793799.342431,301780.000,47078,2,PR,1,100,131921
1713793799.382432,301820.000,47078,2,PR,1,100,131919
1713793799.422432,301860.000,47095,3,PR,1,100,131923
1713793799.462433,301900.000,47095,3,PR,1,100,131925
1713793799.502434,301940.000,47095,3,PR,1,100,131917
1713793799.542434,301980.000,47112,3,PR,1,100,131906
1713793799.582435,302020.000,47112,3,PR,1,100,131914
1713793799.622436,302060.000,47112,3,PR,1,100,131921
1713793799.662436,302100.000,47129,2,PR,1,100,131938
1713793799.702437,302140.000,47129,2,PR,1,100,131938
1713793799.742437,302180.000,47143,3,PR,1,100,131944
1713793799.782438,302220.000,47143,3,PR,1,100,131936
1713793799.822438,302260.000,47143,3,PR,1,100,131939
1713793799.862439,302300.000,47160,2,PR,1,100,131942
1713793799.902440,302340.000,47160,2,PR,1,100,131937
1713793799.942440,302380.000,47177,3,PR,1,100,131925
1713793799.982441,302420.000,47177,3,PR,1,100,131923
1713793800.022441,302460.000,47177,3,PR,1,100,131909
1713793800.062442,302500.000,47194,2,PR,1,100,131920
1713793800.102443,302540.000,47194,2,PR,1,100,131917
1713793800.142443,302580.000,47208,3,PR,1,100,131923
1713793800.182444,302620.000,47208,3,PR,1,100,131906
1713793800.222444,302660.000,47208,3,PR,1,100,131896
1713793800.262445,302700.000,47226,2,PR,1,100,131919
1713793800.302446,302740.000,47226,2,PR,1,100,131924
1713793800.342446,302780.000,47242,3,PR,1,100,131912
1713793800.382447,302820.000,47242,3,PR,1,100,131896
1713793800.422447,302860.000,47242,3,PR,1,100,131882
1713793800.462448,302900.000,47259,2,PR,1,100,131867
1713793800.502449,302940.000,47259,2,PR,1,100,131874
1713793800.542449,302980.000,47274,3,PR,1,100,131885
1713793800.582450,303020.000,47274,3,PR,1,100,131877
1713793800.622450,303060.000,47274,3,PR,1,100,131875
