LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EL
1713793798.154414,300592.000,46879,2,EL,1,100,26495.000000
1713793798.154414,300592.000,46879,2,EL,1,100,26495.000000
1713793798.220415,300658.000,46896,1,EL,1,100,26495.000000
1713793798.287416,300725.000,46911,2,EL,1,100,26495.000000
1713793798.354417,300792.000,46911,2,EL,1,100,26495.000000
1713793798.420418,300858.000,46928,1,EL,1,100,26495.199219
1713793798.487419,300925.000,46944,2,EL,1,100,26495.199219
1713793798.554420,300992.000,46944,2,EL,1,100,26495.000000
1713793798.620421,301058.000,46962,1,EL,1,100,26495.000000
1713793798.687422,301125.000,46976,2,EL,1,100,26495.000000
1713793798.754423,301192.000,46976,2,EL,1,100,26495.400391
1713793798.820424,301258.000,46993,1,EL,1,100,26495.199219
1713793798.887424,301325.000,47010,2,EL,1,100,26495.000000
1713793798.954426,301392.000,47010,2,EL,1,100,26495.000000
1713793799.020427,301458.000,47029,1,EL,1,100,26495.599609
1713793799.087428,301525.000,47048,2,EL,1,100,26495.199219
1713793799.154428,301592.000,47048,2,EL,1,100,26495.599609
1713793799.220930,301658.500,47066,2,EL,1,100,26495.599609
1713793799.287431,301725.000,47066,2,EL,1,100,26495.800781
1713793799.354431,301792.000,47081,1,EL,1,100,26495.800781
1713793799.420933,301858.500,47098,2,EL,1,100,26495.599609
1713793799.487433,301925.000,47098,2,EL,1,100,26495.400391
1713793799.553934,301991.500,47115,2,EL,1,100,26495.400391
1713793799.620435,302058.000,47115,2,EL,1,100,26495.599609
1713793799.687436,302125.000,47132,1,EL,1,100,26495.599609
1713793799.753937,302191.500,47146,2,EL,1,100,26495.800781
1713793799.820438,302258.000,47146,2,EL,1,100,26495.199219
1713793799.887439,302325.000,47163,1,EL,1,100,26495.599609
1713793799.953940,302391.500,47180,2,EL,1,100,26495.800781
1713793800.020441,302458.000,47180,2,EL,1,100,26495.199219
1713793800.087442,302525.000,47197,1,EL,1,100,26495.000000
1713793800.153943,302591.500,47211,2,EL,1,100,26495.000000
1713793800.220444,302658.000,47211,2,EL,1,100,26495.400391
1713793800.287445,302725.000,47229,1,EL,1,100,26495.199219
1713793800.353946,302791.500,47245,2,EL,1,100,26495.000000
1713793800.420447,302858.000,47245,2,EL,1,100,26495.000000
1713793800.487448,302925.000,47262,1,EL,1,100,26495.000000
