LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,SF
1729244919.514638,294426.000,41849,1,SF,1,100,1.3591
1729244919.847637,294759.000,41898,1,SF,1,100,1.3434
1729244920.180635,295092.000,41946,1,SF,1,100,1.3279
1729244920.580633,295492.000,42013,1,SF,1,100,1.3125
1729244920.847632,295759.000,42064,1,SF,1,100,1.2973
1729244921.247630,296159.000,42111,1,SF,1,100,1.2823
1729244921.513629,296425.000,42164,1,SF,1,100,1.2675
1729244921.847627,296759.000,42212,1,SF,1,100,1.2528
1729244922.247625,297159.000,42279,1,SF,1,100,1.2383
1729244922.513624,297425.000,42328,1,SF,1,100,1.2240
1729244922.847622,297759.000,42377,1,SF,1,100,1.2098
1729244923.180621,298092.000,42429,1,SF,1,100,1.1958
1729244923.580619,298492.000,42496,1,SF,1,100,1.1820
1729244923.846617,298758.000,42544,1,SF,1,100,1.1683
1729244924.180616,299092.000,42593,1,SF,1,100,1.1548
1729244924.513614,299425.000,42650,1,SF,1,100,1.1415
1729244924.846613,299758.000,42699,1,SF,1,100,1.1283
1729244925.180611,300092.000,42749,1,SF,1,100,1.1152
1729244925.580609,300492.000,42816,1,SF,1,100,1.1023
1729244925.846608,300758.000,42864,1,SF,1,100,1.0896
1729244926.179606,301091.000,42916,1,SF,1,100,1.0769
1729244926.579604,301491.000,42981,1,SF,1,100,1.0645
1729244926.913603,301825.000,43030,1,SF,1,100,1.0522
1729244927.179601,302091.000,43081,1,SF,1,100,1.0400
1729244927.513600,302425.000,43129,1,SF,1,100,1.0280
1729244927.913598,302825.000,43195,1,SF,1,100,1.0161
1729244928.179596,303091.000,43245,1,SF,1,100,1.0043
1729244928.513595,303425.000,43297,1,SF,1,100,0.9927
1729244928.846593,303758.000,43346,1,SF,1,100,0.9812
1729244929.246591,304158.000,43413,1,SF,1,100,0.9699
1729244929.512590,304424.000,43452,1,SF,1,100,0.9587
1729244929.912588,304824.000,43517,1,SF,1,100,0.9476
1729244930.179587,305091.000,43569,1,SF,1,100,0.9366
1729244930.512585,305424.000,43618,1,SF,1,100,0.9258
1729244930.846584,305758.000,43666,1,SF,1,100,0.9151
1729244931.246582,306158.000,43733,1,SF,1,100,0.9045
1729244931.512580,306424.000,43784,1,SF,1,100,0.8940
1729244931.846579,306758.000,43832,1,SF,1,100,0.8837
1729244932.246577,307158.000,43899,1,SF,1,100,0.8734
1729244932.512576,307424.000,43948,1,SF,1,100,0.8633
1729244932.845574,307757.000,43999,1,SF,1,100,0.8534
1729244933.179572,308091.000,44049,1,SF,1,100,0.8435
1729244933.579570,308491.000,44116,1,SF,1,100,0.8337
1729244933.845569,308757.000,44164,1,SF,1,100,0.8241
1729244934.179568,309091.000,44215,1,SF,1,100,0.8145
1729244934.645565,309557.000,44285,1,SF,1,100,0.8051
1729244934.845564,309757.000,44317,1,SF,1,100,0.7958
1729244935.245562,310157.000,44384,1,SF,1,100,0.7866
1729244935.512561,310424.000,44434,1,SF,1,100,0.7775
1729244935.845559,310757.000,44485,1,SF,1,100,0.7685
1729244936.178558,311090.000,44533,1,SF,1,100,0.7596
1729244936.578556,311490.000,44598,1,SF,1,100,0.7508
1729244936.845555,311757.000,44651,1,SF,1,100,0.7421
1729244937.178553,312090.000,44699,1,SF,1,100,0.7336
1729244937.578551,312490.000,44764,1,SF,1,100,0.7251
1729244937.845550,312757.000,44815,1,SF,1,100,0.7167
1729244938.178548,313090.000,44865,1,SF,1,100,0.7084
1729244938.512547,313424.000,44916,1,SF,1,100,0.7002
1729244938.912544,313824.000,44983,1,SF,1,100,0.6921
1729244939.178543,314090.000,45033,1,SF,1,100,0.6841
1729244939.511542,314423.000,45083,1,SF,1,100,0.6762
1729244939.845540,314757.000,45137,1,SF,1,100,0.6684
1729244940.178539,315090.000,45188,1,SF,1,100,0.6606
1729244940.578537,315490.000,45254,1,SF,1,100,0.6530
1729244940.911535,315823.000,45303,1,SF,1,100,0.6454
1729244941.178534,316090.000,45352,1,SF,1,100,0.6380
1729244941.511532,316423.000,45402,1,SF,1,100,0.6306
1729244941.911530,316823.000,45467,1,SF,1,100,0.6233
1729244942.178529,317090.000,45520,1,SF,1,100,0.6161
1729244942.511527,317423.000,45568,1,SF,1,100,0.6090
1729244942.911525,317823.000,45633,1,SF,1,100,0.6019
1729244943.244524,318156.000,45686,1,SF,1,100,0.5949
1729244943.511522,318423.000,45736,1,SF,1,100,0.5881
1729244943.844521,318756.000,45785,1,SF,1,100,0.5813
1729244944.244519,319156.000,45852,1,SF,1,100,0.5745
1729244944.511518,319423.000,45900,1,SF,1,100,0.5679
1729244944.911515,319823.000,45955,1,SF,1,100,0.5613
1729244945.178514,320090.000,46005,1,SF,1,100,0.5548
