LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,HR
1729244980.199345,355111,51705,1,HR,1,100,82.32
1729244980.819342,355731,51794,1,HR,1,100,85.53
1729244983.758328,358670,52271,1,HR,1,100,71.08
1729244984.259325,359171,52358,1,HR,1,100,81.95
1729244985.282320,360194,52522,1,HR,1,100,76.81
1729244986.171316,361083,52661,1,HR,1,100,74.89
1729244987.058312,361970,52811,1,HR,1,100,73.23
1729244988.068307,362980,52959,1,HR,1,100,70.29
1729244989.021302,363933,53126,1,HR,1,100,68.71
1729244989.835298,364747,53258,1,HR,1,100,69.90
1729244990.671294,365583,53391,1,HR,1,100,70.24
1729244991.568290,366480,53530,1,HR,1,100,69.61
1729244992.531285,367443,53697,1,HR,1,100,68.03
1729244993.737280,368649,53896,1,HR,1,100,64.02
1729244994.597275,369509,54029,1,HR,1,100,65.30
1729244996.541266,371453,54348,1,HR,1,100,57.66
1729244997.617261,372529,54512,1,HR,1,100,57.31
1729244997.777260,372689,54547,1,HR,1,100,127.91
1729244998.654256,373566,54698,1,HR,1,100,114.81
1729244999.193253,374105,54780,1,HR,1,100,113.99
1729245000.247248,375159,54946,1,HR,1,100,101.36
1729245001.094244,376006,55095,1,HR,1,100,94.52
1729245002.033239,376945,55233,1,HR,1,100,87.85
1729245003.080234,377992,55416,1,HR,1,100,81.03
1729245004.126229,379038,55582,1,HR,1,100,75.84
1729245004.956225,379868,55715,1,HR,1,100,75.05
1729245005.913221,380825,55881,1,HR,1,100,72.41
1729245006.056220,380968,55899,1,HR,1,100,151.56
1729245006.926216,381838,56037,1,HR,1,100,133.20
1729245007.799212,382711,56169,1,HR,1,100,118.93
1729245008.676207,383588,56321,1,HR,1,100,107.83
1729245009.489203,384401,56453,1,HR,1,100,100.32
1729245010.379199,385291,56602,1,HR,1,100,93.01
1729245011.362194,386274,56768,1,HR,1,100,85.95
1729245012.309190,387221,56906,1,HR,1,100,81.03
1729245013.272185,388184,57074,1,HR,1,100,76.91
1729245014.135181,389047,57206,1,HR,1,100,75.33
1729245015.045177,389957,57356,1,HR,1,100,73.24
1729245015.892172,390804,57491,1,HR,1,100,72.84
1729245016.662169,391574,57612,1,HR,1,100,73.97
1729245017.465165,392377,57746,1,HR,1,100,74.20
1729245018.298161,393210,57881,1,HR,1,100,73.77
1729245019.175157,394087,58028,1,HR,1,100,72.53
1729245019.971153,394883,58146,1,HR,1,100,73.29
1729245020.495150,395407,58244,1,HR,1,100,82.64
1729245021.168147,396080,58345,1,HR,1,100,84.18
1729245021.795144,396707,58451,1,HR,1,100,86.64
1729245022.974138,397886,58632,1,HR,1,100,78.78
1729245023.718135,398630,58767,1,HR,1,100,79.29
1729245024.424131,399336,58884,1,HR,1,100,80.45
1729245025.141128,400053,58999,1,HR,1,100,81.35
1729245025.831124,400743,59116,1,HR,1,100,82.60
1729245026.531121,401443,59216,1,HR,1,100,83.29
1729245027.351117,402263,59356,1,HR,1,100,81.04
1729245028.097113,403009,59471,1,HR,1,100,81.05
1729245028.937109,403849,59623,1,HR,1,100,78.91
1729245029.894105,404806,59772,1,HR,1,100,75.41
1729245030.784101,405696,59920,1,HR,1,100,73.63
1729245031.320098,406232,60003,1,HR,1,100,82.43
1729245031.657096,406569,60056,1,HR,1,100,103.33
1729245031.904095,406816,60106,1,HR,1,100,135.92
1729245032.590092,407502,60212,1,HR,1,100,125.04
1729245033.487087,408399,60363,1,HR,1,100,112.23
1729245033.910085,408822,60431,1,HR,1,100,119.04
1729245034.237084,409149,60481,1,HR,1,100,132.99
1729245035.290079,410202,60647,1,HR,1,100,116.14
1729245036.146075,411058,60796,1,HR,1,100,106.01
1729245036.906071,411818,60911,1,HR,1,100,100.00
1729245037.693067,412605,61049,1,HR,1,100,94.87
1729245038.776062,413688,61217,1,HR,1,100,86.13
1729245039.676057,414588,61367,1,HR,1,100,81.81
1729245040.456054,415368,61499,1,HR,1,100,80.72
1729245041.436049,416348,61648,1,HR,1,100,76.53
1729245042.053046,416965,61764,1,HR,1,100,81.03
1729245042.909042,417821,61904,1,HR,1,100,78.71
1729245043.752038,418664,62038,1,HR,1,100,77.09
1729245044.606034,419518,62171,1,HR,1,100,75.65
1729245045.482029,420394,62319,1,HR,1,100,73.99
1729245046.499024,421411,62469,1,HR,1,100,70.75
1729245047.372020,422284,62602,1,HR,1,100,70.35
1729245048.365016,423277,62775,1,HR,1,100,68.19
1729245049.188011,424100,62907,1,HR,1,100,69.29
1729245050.012007,424924,63042,1,HR,1,100,70.15
1729245050.798004,425710,63174,1,HR,1,100,71.66
1729245050.952003,425864,63192,1,HR,1,100,139.07
1729245051.831999,426744,63340,1,HR,1,100,123.49
1729245052.554995,427467,63464,1,HR,1,100,114.57
1729245053.564990,428477,63614,1,HR,1,100,102.31
1729245054.327987,429240,63747,1,HR,1,100,97.12
1729245055.314982,430227,63897,1,HR,1,100,89.00
1729245056.277977,431190,64063,1,HR,1,100,83.11
