LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,AK
1729245016.632169,391544.000,57606,2,AK,1,100,RD
1729245016.637169,391549.000,57609,2,AK,1,100,57607
1729245016.642169,391554.000,57609,2,AK,1,100,RD
1729245019.203656,394115.500,58445,2,AK,1,100,57607
1729245021.765144,396677.000,58445,2,AK,1,100,RD
1729245021.769644,396681.500,58448,2,AK,1,100,58446
1729245021.774144,396686.000,58448,2,AK,1,100,RD
1729245024.336132,399248.000,59283,2,AK,1,100,58446
1729245026.898119,401810.000,59283,2,AK,1,100,RD
1729245026.906619,401818.500,59286,2,AK,1,100,59284
1729245026.915119,401827.000,59286,2,AK,1,100,RD
1729245029.474607,404386.500,60124,2,AK,1,100,59284
1729245032.034094,406946.000,60124,2,AK,1,100,RD
1729245032.040094,406952.000,60127,2,AK,1,100,60125
1729245032.046094,406958.000,60127,2,AK,1,100,RD
1729245034.606582,409518.500,60961,2,AK,1,100,60125
1729245037.167070,412079.000,60961,2,AK,1,100,RD
1729245037.176569,412088.500,60964,2,AK,1,100,60962
1729245037.186069,412098.000,60964,2,AK,1,100,RD
1729245039.741557,414653.500,61799,2,AK,1,100,60962
1729245042.297045,417209.000,61799,2,AK,1,100,RD
1729245042.304545,417216.500,61802,2,AK,1,100,61800
1729245042.312045,417224.000,61802,2,AK,1,100,RD
1729245044.870532,419782.500,62620,2,AK,1,100,61800
1729245047.429020,422341.000,62620,2,AK,1,100,RD
1729245047.434020,422346.000,62623,2,AK,1,100,62621
1729245047.439020,422351.000,62623,2,AK,1,100,RD
1729245050.000508,424912.500,63458,2,AK,1,100,62621
1729245052.561995,427474.000,63458,2,AK,1,100,RD
1729245052.566995,427479.000,63461,2,AK,1,100,63459
1729245052.571995,427484.000,63461,2,AK,1,100,RD
