LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,TL
1713787997.427988,123784.000,18308,1,TL,1,100,2024-04-22_15-13-12-384722
1713787997.441988,123798.000,18311,1,TL,1,100,2024-04-22_15-13-17-437573
1713788002.545054,128901.000,19159,1,TL,1,100,2024-04-22_15-13-17-465808
1713788002.554054,128910.000,19162,1,TL,1,100,2024-04-22_15-13-22-550554
1713788007.653119,134009.000,19991,1,TL,1,100,2024-04-22_15-13-22-637957
1713788007.666120,134022.000,19994,1,TL,1,100,2024-04-22_15-13-27-662253
1713788012.785185,139141.000,20843,1,TL,1,100,2024-04-22_15-13-27-709997
1713788012.798185,139154.000,20846,1,TL,1,100,2024-04-22_15-13-32-794238
1713788017.893251,144249.000,21676,1,TL,1,100,2024-04-22_15-13-32-884228
1713788017.905251,144261.000,21679,1,TL,1,100,2024-04-22_15-13-37-901297
1713788023.004316,149360.000,22507,1,TL,1,100,2024-04-22_15-13-37-959584
1713788023.017317,149373.000,22510,1,TL,1,100,2024-04-22_15-13-43-012437
1713788028.132382,154488.000,23363,1,TL,1,100,2024-04-22_15-13-43-053394
1713788028.149382,154505.000,23366,1,TL,1,100,2024-04-22_15-13-48-142873
1713788033.256448,159612.000,24195,1,TL,1,100,2024-04-22_15-13-48-222831
1713788033.270448,159626.000,24198,1,TL,1,100,2024-04-22_15-13-53-266823
1713788038.363513,164719.000,25027,1,TL,1,100,2024-04-22_15-13-53-342016
1713788038.375514,164731.000,25030,1,TL,1,100,2024-04-22_15-13-58-371089
1713788043.471579,169827.000,25858,1,TL,1,100,2024-04-22_15-13-58-421978
1713788043.484579,169840.000,25861,1,TL,1,100,2024-04-22_15-14-03-480031
1713788048.603645,174959.000,26707,1,TL,1,100,2024-04-22_15-14-03-506936
1713788048.614645,174970.000,26710,1,TL,1,100,2024-04-22_15-14-08-609682
1713788053.711710,180067.000,27550,1,TL,1,100,2024-04-22_15-14-08-691719
1713788053.722710,180078.000,27553,1,TL,1,100,2024-04-22_15-14-13-718463
1713788058.854776,185210.000,28401,1,TL,1,100,2024-04-22_15-14-13-754327
1713788058.868777,185224.000,28404,1,TL,1,100,2024-04-22_15-14-18-864862
1713788063.962842,190318.000,29230,1,TL,1,100,2024-04-22_15-14-18-932879
1713788063.973842,190329.000,29233,1,TL,1,100,2024-04-22_15-14-23-969540
1713788069.070907,195426.000,30061,1,TL,1,100,2024-04-22_15-14-24-005830
1713788069.080908,195436.000,30064,1,TL,1,100,2024-04-22_15-14-29-075633
1713788074.212973,200568.000,30910,1,TL,1,100,2024-04-22_15-14-29-125664
1713788074.225974,200581.000,30913,1,TL,1,100,2024-04-22_15-14-34-219363
1713788079.321039,205676.000,31749,1,TL,1,100,2024-04-22_15-14-34-300395
1713788079.332039,205687.000,31752,1,TL,1,100,2024-04-22_15-14-39-328188
1713788084.460105,210815.000,32600,1,TL,1,100,2024-04-22_15-14-39-370201
1713788084.474105,210829.000,32603,1,TL,1,100,2024-04-22_15-14-44-469892
1713788089.571170,215926.000,33446,1,TL,1,100,2024-04-22_15-14-44-543945
