LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,SR
1713788224.303899,350657,55507,1,SR,1,100,0.133333
1713788225.102909,351456,55675,1,SR,1,100,0.333333
1713788225.569915,351923,55808,1,SR,1,100,0.666667
1713788226.902932,353256,55923,1,SR,1,100,0.066667
1713788228.036947,354390,56129,1,SR,1,100,0.133333
1713788228.836957,355190,56264,1,SR,1,100,0.133333
1713788229.102961,355456,56463,1,SR,1,100,1.066667
1713788230.302976,356656,56499,1,SR,1,100,0.133333
1713788231.502991,357856,56683,1,SR,1,100,0.066667
1713788231.702994,358056,56732,1,SR,1,100,0.133333
1713788232.236001,358589,56819,1,SR,1,100,0.066667
1713788232.436003,358789,56869,1,SR,1,100,0.266667
1713788232.837008,359190,56910,1,SR,1,100,0.066667
1713788233.169013,359522,56961,1,SR,1,100,0.066667
1713788233.369015,359722,57097,1,SR,1,100,0.666667
1713788234.170026,360523,57164,1,SR,1,100,0.266667
1713788234.702032,361055,57214,1,SR,1,100,0.066667
1713788235.170038,361523,57316,1,SR,1,100,0.133333
1713788235.570044,361923,57370,1,SR,1,100,0.066667
1713788236.703058,363056,57718,1,SR,1,100,1.066667
1713788239.236090,365589,58008,1,SR,1,100,0.333333
1713788239.702096,366055,58025,1,SR,1,100,0.066667
1713788240.035101,366388,58092,1,SR,1,100,0.133333
1713788240.302104,366655,58164,1,SR,1,100,0.266667
1713788240.702109,367055,58216,1,SR,1,100,0.133333
1713788241.102114,367455,58268,1,SR,1,100,0.066667
1713788241.435119,367788,58401,1,SR,1,100,0.533333
1713788247.435196,373788,59352,1,SR,1,100,0.333333
1713788247.901202,374254,59387,1,SR,1,100,0.066667
1713788248.368208,374721,59494,1,SR,1,100,0.333333
1713788248.834214,375187,59532,1,SR,1,100,0.066667
1713788249.168218,375521,59664,1,SR,1,100,0.533333
1713788250.101230,376454,59784,1,SR,1,100,0.333333
1713788250.568236,376921,59820,1,SR,1,100,0.066667
1713788250.768239,377121,59855,1,SR,1,100,0.066667
1713788265.633429,391986,62424,1,SR,1,100,0.933333
1713788266.833445,393186,62493,1,SR,1,100,0.133333
1713788270.500492,396853,63097,1,SR,1,100,0.200000
1713788272.099512,398452,63395,1,SR,1,100,0.400000
1713788276.898574,403251,64102,1,SR,1,100,0.066667
1713788277.232578,403585,64169,1,SR,1,100,0.133333
1713788277.765585,404118,64270,1,SR,1,100,0.200000
1713788278.365592,404718,64373,1,SR,1,100,0.200000
1713788278.831599,405184,64447,1,SR,1,100,0.133333
1713788279.498607,405851,64548,1,SR,1,100,0.133333
1713788280.231616,406584,64682,1,SR,1,100,0.200000
1713788280.565621,406918,64749,1,SR,1,100,0.266667
1713788281.231629,407584,64833,1,SR,1,100,0.066667
1713788281.631634,407984,64902,1,SR,1,100,0.133333
1713788284.497671,410850,65476,1,SR,1,100,0.733333
1713788285.365682,411718,90,1,SR,1,100,0.800000
1713788286.431696,412784,158,1,SR,1,100,0.133333
1713788286.831701,413184,209,1,SR,1,100,0.066667
1713788287.031704,413384,242,1,SR,1,100,0.066667
1713788298.763854,425116,2266,1,SR,1,100,0.533333
1713788299.696866,426049,2334,1,SR,1,100,0.066667
1713788300.429876,426782,2470,1,SR,1,100,0.133333
1713788303.096910,429449,2968,1,SR,1,100,0.466667
1713788304.230924,430583,3110,1,SR,1,100,0.133333
1713788304.496928,430849,3145,1,SR,1,100,0.066667
1713788307.496966,433849,3643,1,SR,1,100,0.200000
1713788312.362029,438714,4464,1,SR,1,100,0.333333
1713788312.830035,439182,4516,1,SR,1,100,0.133333
1713788313.496043,439848,4615,1,SR,1,100,0.133333
1713788313.762047,440114,4670,1,SR,1,100,0.133333
1713788315.029063,441381,4922,1,SR,1,100,0.400000
1713788316.495082,442847,5107,1,SR,1,100,0.066667
1713788316.696084,443048,5159,1,SR,1,100,0.133333
1713788317.096089,443448,5260,1,SR,1,100,0.400000
1713788318.162103,444514,5395,1,SR,1,100,0.133333
1713788318.562108,444914,5463,1,SR,1,100,0.066667
1713788318.762111,445114,5497,1,SR,1,100,0.066667
1713788318.962113,445314,5533,1,SR,1,100,0.133333
1713788322.362157,448714,6253,1,SR,1,100,1.133333
1713788324.028178,450380,6388,1,SR,1,100,0.266667
