LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PI
1713787999.364013,125720.000,18631,3,PI,1,100,151458
1713787999.404014,125760.000,18645,2,PI,1,100,151455
1713787999.444014,125800.000,18645,2,PI,1,100,151463
1713787999.484015,125840.000,18662,3,PI,1,100,151451
1713787999.524015,125880.000,18662,3,PI,1,100,151414
1713787999.564016,125920.000,18662,3,PI,1,100,151416
1713787999.604016,125960.000,18679,2,PI,1,100,151381
1713787999.644017,126000.000,18679,2,PI,1,100,151381
1713787999.684017,126040.000,18696,3,PI,1,100,151381
1713787999.724018,126080.000,18696,3,PI,1,100,151366
1713787999.764018,126120.000,18696,3,PI,1,100,151389
1713787999.804019,126160.000,18710,2,PI,1,100,151379
1713787999.844019,126200.000,18710,2,PI,1,100,151351
1713787999.884020,126240.000,18728,3,PI,1,100,151363
1713787999.924020,126280.000,18728,3,PI,1,100,151365
1713787999.964021,126320.000,18728,3,PI,1,100,151395
1713788000.004021,126360.000,18746,3,PI,1,100,151383
1713788000.044022,126400.000,18746,3,PI,1,100,151407
1713788000.084022,126440.000,18746,3,PI,1,100,151427
1713788000.124023,126480.000,18763,2,PI,1,100,151424
1713788000.164023,126520.000,18763,2,PI,1,100,151446
1713788000.204024,126560.000,18779,3,PI,1,100,151452
1713788000.244024,126600.000,18779,3,PI,1,100,151444
1713788000.284025,126640.000,18779,3,PI,1,100,151447
1713788000.324025,126680.000,18797,2,PI,1,100,151432
1713788000.364026,126720.000,18797,2,PI,1,100,151423
1713788000.404027,126760.000,18813,3,PI,1,100,151405
1713788000.444027,126800.000,18813,3,PI,1,100,151391
1713788000.484027,126840.000,18813,3,PI,1,100,151371
1713788000.524028,126880.000,18831,2,PI,1,100,151355
1713788000.564029,126920.000,18831,2,PI,1,100,151362
1713788000.604029,126960.000,18847,3,PI,1,100,151374
1713788000.644030,127000.000,18847,3,PI,1,100,151383
1713788000.684030,127040.000,18847,3,PI,1,100,151397
1713788000.724030,127080.000,18864,2,PI,1,100,151401
1713788000.764031,127120.000,18864,2,PI,1,100,151392
1713788000.804032,127160.000,18880,3,PI,1,100,151421
1713788000.844032,127200.000,18880,3,PI,1,100,151434
1713788000.884032,127240.000,18880,3,PI,1,100,151452
1713788000.924033,127280.000,18898,2,PI,1,100,151479
1713788000.964034,127320.000,18898,2,PI,1,100,151501
1713788001.004034,127360.000,18914,3,PI,1,100,151507
1713788001.044035,127400.000,18914,3,PI,1,100,151492
1713788001.084035,127440.000,18914,3,PI,1,100,151482
1713788001.124036,127480.000,18929,2,PI,1,100,151505
1713788001.164036,127520.000,18929,2,PI,1,100,151484
1713788001.204037,127560.000,18946,3,PI,1,100,151484
1713788001.244037,127600.000,18946,3,PI,1,100,151472
1713788001.284038,127640.000,18946,3,PI,1,100,151448
1713788001.324038,127680.000,18963,2,PI,1,100,151434
1713788001.364039,127720.000,18963,2,PI,1,100,151450
1713788001.404039,127760.000,18979,3,PI,1,100,151441
1713788001.444040,127800.000,18979,3,PI,1,100,151464
1713788001.484040,127840.000,18979,3,PI,1,100,151464
1713788001.524041,127880.000,18995,3,PI,1,100,151446
1713788001.564041,127920.000,18995,3,PI,1,100,151443
1713788001.604042,127960.000,18995,3,PI,1,100,151442
1713788001.644042,128000.000,19011,2,PI,1,100,151451
1713788001.684043,128040.000,19011,2,PI,1,100,151449
1713788001.724043,128080.000,19030,3,PI,1,100,151447
1713788001.764044,128120.000,19030,3,PI,1,100,151456
1713788001.804044,128160.000,19030,3,PI,1,100,151452
1713788001.844045,128200.000,19046,2,PI,1,100,151467
1713788001.884045,128240.000,19046,2,PI,1,100,151473
1713788001.924046,128280.000,19062,3,PI,1,100,151477
1713788001.964046,128320.000,19062,3,PI,1,100,151460
1713788002.004047,128360.000,19062,3,PI,1,100,151471
1713788002.044048,128400.000,19078,2,PI,1,100,151457
1713788002.084048,128440.000,19078,2,PI,1,100,151458
1713788002.124048,128480.000,19095,3,PI,1,100,151452
1713788002.164049,128520.000,19095,3,PI,1,100,151443
1713788002.204050,128560.000,19095,3,PI,1,100,151463
1713788002.244050,128600.000,19112,2,PI,1,100,151458
1713788002.284050,128640.000,19112,2,PI,1,100,151443
1713788002.324051,128680.000,19127,3,PI,1,100,151453
1713788002.364052,128720.000,19127,3,PI,1,100,151470
1713788002.404052,128760.000,19127,3,PI,1,100,151457
1713788002.444053,128800.000,19143,2,PI,1,100,151463
1713788002.484053,128840.000,19143,2,PI,1,100,151454
1713788002.524054,128880.000,19166,3,PI,1,100,151442
1713788002.564054,128920.000,19166,3,PI,1,100,151482
1713788002.604055,128960.000,19166,3,PI,1,100,151476
1713788002.644055,129000.000,19182,2,PI,1,100,151474
1713788002.684056,129040.000,19182,2,PI,1,100,151479
1713788002.724056,129080.000,19198,3,PI,1,100,151505
1713788002.764057,129120.000,19198,3,PI,1,100,151499
1713788002.804057,129160.000,19198,3,PI,1,100,151518
1713788002.844058,129200.000,19213,2,PI,1,100,151514
1713788002.884058,129240.000,19213,2,PI,1,100,151505
1713788002.924059,129280.000,19231,3,PI,1,100,151468
1713788002.964059,129320.000,19231,3,PI,1,100,151488
1713788003.004060,129360.000,19231,3,PI,1,100,151483
1713788003.044060,129400.000,19247,3,PI,1,100,151492
1713788003.084061,129440.000,19247,3,PI,1,100,151501
1713788003.124061,129480.000,19247,3,PI,1,100,151501
1713788003.164062,129520.000,19264,2,PI,1,100,151491
1713788003.204062,129560.000,19264,2,PI,1,100,151497
1713788003.244063,129600.000,19279,3,PI,1,100,151490
1713788003.284063,129640.000,19279,3,PI,1,100,151494
1713788003.324064,129680.000,19279,3,PI,1,100,151504
1713788003.364064,129720.000,19296,2,PI,1,100,151501
1713788003.404065,129760.000,19296,2,PI,1,100,151511
1713788003.444065,129800.000,19314,3,PI,1,100,151517
1713788003.484066,129840.000,19314,3,PI,1,100,151524
1713788003.524066,129880.000,19314,3,PI,1,100,151537
1713788003.564067,129920.000,19332,2,PI,1,100,151542
1713788003.604068,129960.000,19332,2,PI,1,100,151545
1713788003.644068,130000.000,19346,3,PI,1,100,151539
1713788003.684068,130040.000,19346,3,PI,1,100,151537
1713788003.724069,130080.000,19346,3,PI,1,100,151510
1713788003.764070,130120.000,19363,2,PI,1,100,151521
1713788003.804070,130160.000,19363,2,PI,1,100,151525
1713788003.844071,130200.000,19380,3,PI,1,100,151524
1713788003.884071,130240.000,19380,3,PI,1,100,151523
1713788003.924072,130280.000,19380,3,PI,1,100,151520
1713788003.964072,130320.000,19397,2,PI,1,100,151516
1713788004.004073,130360.000,19397,2,PI,1,100,151521
1713788004.044073,130400.000,19411,3,PI,1,100,151535
1713788004.084074,130440.000,19411,3,PI,1,100,151531
1713788004.124074,130480.000,19411,3,PI,1,100,151510
1713788004.164075,130520.000,19428,2,PI,1,100,151530
1713788004.204075,130560.000,19428,2,PI,1,100,151539
1713788004.244076,130600.000,19445,3,PI,1,100,151536
1713788004.284076,130640.000,19445,3,PI,1,100,151543
1713788004.324077,130680.000,19445,3,PI,1,100,151558
1713788004.364077,130720.000,19462,2,PI,1,100,151566
1713788004.404078,130760.000,19462,2,PI,1,100,151577
1713788004.444078,130800.000,19476,3,PI,1,100,151583
1713788004.484079,130840.000,19476,3,PI,1,100,151597
1713788004.524079,130880.000,19476,3,PI,1,100,151573
1713788004.564080,130920.000,19494,3,PI,1,100,151575
1713788004.604080,130960.000,19494,3,PI,1,100,151576
1713788004.644081,131000.000,19494,3,PI,1,100,151573
1713788004.684081,131040.000,19512,2,PI,1,100,151582
1713788004.724082,131080.000,19512,2,PI,1,100,151577
1713788004.764082,131120.000,19529,3,PI,1,100,151603
1713788004.804083,131160.000,19529,3,PI,1,100,151598
1713788004.844083,131200.000,19529,3,PI,1,100,151593
1713788004.890584,131246.500,19544,2,PI,1,100,151577
1713788004.937085,131293.000,19544,2,PI,1,100,151584
1713788004.977085,131333.000,19561,2,PI,1,100,151598
1713788005.017086,131373.000,19561,2,PI,1,100,151597
1713788005.057086,131413.000,19577,3,PI,1,100,151583
1713788005.097087,131453.000,19577,3,PI,1,100,151587
1713788005.137087,131493.000,19577,3,PI,1,100,151595
1713788005.177088,131533.000,19594,2,PI,1,100,151588
1713788005.217088,131573.000,19594,2,PI,1,100,151593
1713788005.257089,131613.000,19612,3,PI,1,100,151614
1713788005.297089,131653.000,19612,3,PI,1,100,151619
1713788005.337090,131693.000,19612,3,PI,1,100,151610
