LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EM
1729244893.104266,268015.500,37568,4,EM,1,100,RB
1729244893.154516,268065.750,37568,4,EM,1,100,2024-10-18_12-48-08-471817.csv
1729244893.204766,268116.000,37568,4,EM,1,100,PS
1729244893.255015,268166.250,37604,4,EM,1,100,RS
1729244893.305265,268216.500,37604,4,EM,1,100,RB
1729244893.355515,268266.750,37604,4,EM,1,100,2024-10-18_12-48-08-471817.csv
1729244893.405765,268317.000,37604,4,EM,1,100,PS
1729244893.471264,268382.500,37641,4,EM,1,100,RS
1729244893.536764,268448.000,37641,4,EM,1,100,RB
1729244893.602264,268513.500,37641,4,EM,1,100,2024-10-18_12-48-08-471817.csv
1729244893.667763,268579.000,37641,4,EM,1,100,PS
1729244893.718013,268629.250,37672,4,EM,1,100,RS
1729244893.768263,268679.500,37672,4,EM,1,100,RB
1729244893.818513,268729.750,37672,4,EM,1,100,2024-10-18_12-48-08-471817.csv
1729244893.868762,268780.000,37672,4,EM,1,100,PS
1729244893.919012,268830.250,37708,4,EM,1,100,RS
1729244893.969262,268880.500,37708,4,EM,1,100,RB
1729244894.019512,268930.750,37708,4,EM,1,100,2024-10-18_12-48-08-471817.csv
1729244894.069761,268981.000,37708,4,EM,1,100,PS
1729244894.120011,269031.250,37740,4,EM,1,100,RS
1729244894.170261,269081.500,37740,4,EM,1,100,RB
1729244894.220511,269131.750,37740,4,EM,1,100,2024-10-18_12-48-08-471817.csv
1729244894.270760,269182.000,37740,4,EM,1,100,PS
1729244894.321010,269232.250,37773,4,EM,1,100,RS
1729244894.371260,269282.500,37773,4,EM,1,100,RB
1729244894.421510,269332.750,37773,4,EM,1,100,2024-10-18_12-48-08-471817.csv
1729244894.471759,269383.000,37773,4,EM,1,100,PS
1729244894.522009,269433.250,37805,4,EM,1,100,RS
1729244894.572259,269483.500,37805,4,EM,1,100,RB
1729244894.622509,269533.750,37805,4,EM,1,100,2024-10-18_12-48-08-471817.csv
1729244894.672759,269584.000,37805,4,EM,1,100,PS
1729244894.723008,269634.250,37838,4,EM,1,100,RS
1729244894.773258,269684.500,37838,4,EM,1,100,RB
1729244894.823508,269734.750,37838,4,EM,1,100,2024-10-18_12-48-08-471817.csv
1729244894.873758,269785.000,37838,4,EM,1,100,PS
