LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PR
1729244889.858115,264769.333,37022,9,PR,1,100,150682
1729244889.868448,264779.667,37022,9,PR,1,100,150654
1729244889.878782,264790.000,37022,9,PR,1,100,150649
1729244889.888509,264799.727,37041,11,PR,1,100,150634
1729244889.898236,264809.455,37041,11,PR,1,100,150670
1729244889.907963,264819.182,37041,11,PR,1,100,150676
1729244889.917691,264828.909,37041,11,PR,1,100,150657
1729244889.927418,264838.636,37041,11,PR,1,100,150651
1729244889.937145,264848.364,37041,11,PR,1,100,150670
1729244889.946872,264858.091,37041,11,PR,1,100,150640
1729244889.956599,264867.818,37041,11,PR,1,100,150669
1729244889.966327,264877.545,37041,11,PR,1,100,150653
1729244889.976054,264887.273,37041,11,PR,1,100,150688
1729244889.985781,264897.000,37041,11,PR,1,100,150648
1729244889.996381,264907.600,37057,10,PR,1,100,150671
1729244890.006981,264918.200,37057,10,PR,1,100,150650
1729244890.017581,264928.800,37057,10,PR,1,100,150678
1729244890.028181,264939.400,37057,10,PR,1,100,150686
1729244890.038781,264950.000,37057,10,PR,1,100,150665
1729244890.049381,264960.600,37057,10,PR,1,100,150700
1729244890.059981,264971.200,37057,10,PR,1,100,150677
1729244890.070581,264981.800,37057,10,PR,1,100,150693
1729244890.081181,264992.400,37057,10,PR,1,100,150691
1729244890.091781,265003.000,37057,10,PR,1,100,150649
1729244890.101181,265012.400,37073,10,PR,1,100,150675
1729244890.110580,265021.800,37073,10,PR,1,100,150679
1729244890.119981,265031.200,37073,10,PR,1,100,150715
1729244890.129380,265040.600,37073,10,PR,1,100,150755
1729244890.138780,265050.000,37073,10,PR,1,100,150737
1729244890.148180,265059.400,37073,10,PR,1,100,150733
1729244890.157580,265068.800,37073,10,PR,1,100,150719
1729244890.166980,265078.200,37073,10,PR,1,100,150721
1729244890.176380,265087.600,37073,10,PR,1,100,150703
1729244890.185780,265097.000,37073,10,PR,1,100,150725
1729244890.196380,265107.600,37089,10,PR,1,100,150725
1729244890.206980,265118.200,37089,10,PR,1,100,150740
1729244890.217580,265128.800,37089,10,PR,1,100,150765
1729244890.228180,265139.400,37089,10,PR,1,100,150729
1729244890.238780,265150.000,37089,10,PR,1,100,150752
1729244890.249380,265160.600,37089,10,PR,1,100,150746
1729244890.259980,265171.200,37089,10,PR,1,100,150743
1729244890.270580,265181.800,37089,10,PR,1,100,150742
1729244890.281180,265192.400,37089,10,PR,1,100,150747
1729244890.291780,265203.000,37089,10,PR,1,100,150749
1729244890.301180,265212.400,37106,10,PR,1,100,150745
1729244890.310580,265221.800,37106,10,PR,1,100,150725
1729244890.319979,265231.200,37106,10,PR,1,100,150752
1729244890.329380,265240.600,37106,10,PR,1,100,150746
1729244890.338779,265250.000,37106,10,PR,1,100,150758
1729244890.348179,265259.400,37106,10,PR,1,100,150780
1729244890.357579,265268.800,37106,10,PR,1,100,150762
1729244890.366979,265278.200,37106,10,PR,1,100,150771
1729244890.376379,265287.600,37106,10,PR,1,100,150749
1729244890.385779,265297.000,37106,10,PR,1,100,150738
1729244890.396379,265307.600,37122,10,PR,1,100,150788
1729244890.406979,265318.200,37122,10,PR,1,100,150776
1729244890.417579,265328.800,37122,10,PR,1,100,150775
1729244890.428179,265339.400,37122,10,PR,1,100,150765
1729244890.438779,265350.000,37122,10,PR,1,100,150772
1729244890.449379,265360.600,37122,10,PR,1,100,150780
1729244890.459979,265371.200,37122,10,PR,1,100,150782
1729244890.470579,265381.800,37122,10,PR,1,100,150806
1729244890.481179,265392.400,37122,10,PR,1,100,150795
1729244890.491779,265403.000,37122,10,PR,1,100,150801
1729244890.501506,265412.727,37138,11,PR,1,100,150781
1729244890.511233,265422.455,37138,11,PR,1,100,150809
1729244890.520960,265432.182,37138,11,PR,1,100,150808
1729244890.530688,265441.909,37138,11,PR,1,100,150837
1729244890.540415,265451.636,37138,11,PR,1,100,150813
1729244890.550142,265461.364,37138,11,PR,1,100,150823
1729244890.559869,265471.091,37138,11,PR,1,100,150802
1729244890.569597,265480.818,37138,11,PR,1,100,150808
1729244890.579324,265490.545,37138,11,PR,1,100,150807
1729244890.589051,265500.273,37138,11,PR,1,100,150775
1729244890.598778,265510.000,37138,11,PR,1,100,150779
1729244890.609112,265520.333,37154,9,PR,1,100,150746
1729244890.619445,265530.667,37154,9,PR,1,100,150763
1729244890.629778,265541.000,37154,9,PR,1,100,150730
1729244890.640111,265551.333,37154,9,PR,1,100,150756
1729244890.650445,265561.667,37154,9,PR,1,100,150748
1729244890.660778,265572.000,37154,9,PR,1,100,150741
1729244890.671111,265582.333,37154,9,PR,1,100,150748
1729244890.681444,265592.667,37154,9,PR,1,100,150737
1729244890.691778,265603.000,37154,9,PR,1,100,150739
1729244890.701505,265612.727,37171,11,PR,1,100,150755
1729244890.711232,265622.455,37171,11,PR,1,100,150742
1729244890.720959,265632.182,37171,11,PR,1,100,150746
1729244890.730687,265641.909,37171,11,PR,1,100,150762
1729244890.740414,265651.636,37171,11,PR,1,100,150727
1729244890.750141,265661.364,37171,11,PR,1,100,150750
1729244890.759868,265671.091,37171,11,PR,1,100,150747
1729244890.769596,265680.818,37171,11,PR,1,100,150739
1729244890.779323,265690.545,37171,11,PR,1,100,150735
1729244890.789050,265700.273,37171,11,PR,1,100,150756
1729244890.798777,265710.000,37171,11,PR,1,100,150739
1729244890.809110,265720.333,37188,9,PR,1,100,150736
1729244890.819444,265730.667,37188,9,PR,1,100,150734
1729244890.829777,265741.000,37188,9,PR,1,100,150721
1729244890.840110,265751.333,37188,9,PR,1,100,150736
1729244890.850444,265761.667,37188,9,PR,1,100,150744
1729244890.860777,265772.000,37188,9,PR,1,100,150715
1729244890.871110,265782.333,37188,9,PR,1,100,150736
1729244890.881444,265792.667,37188,9,PR,1,100,150728
1729244890.891777,265803.000,37188,9,PR,1,100,150737
1729244890.901504,265812.727,37203,11,PR,1,100,150741
1729244890.911231,265822.455,37203,11,PR,1,100,150702
1729244890.920959,265832.182,37203,11,PR,1,100,150741
1729244890.930686,265841.909,37203,11,PR,1,100,150733
1729244890.940413,265851.636,37203,11,PR,1,100,150691
1729244890.950140,265861.364,37203,11,PR,1,100,150718
1729244890.959867,265871.091,37203,11,PR,1,100,150755
1729244890.969594,265880.818,37203,11,PR,1,100,150730
1729244890.979322,265890.545,37203,11,PR,1,100,150729
1729244890.989049,265900.273,37203,11,PR,1,100,150724
1729244890.998776,265910.000,37203,11,PR,1,100,150728
1729244891.009376,265920.600,37219,10,PR,1,100,150728
1729244891.019976,265931.200,37219,10,PR,1,100,150729
1729244891.030576,265941.800,37219,10,PR,1,100,150710
1729244891.041176,265952.400,37219,10,PR,1,100,150727
1729244891.051776,265963.000,37219,10,PR,1,100,150736
1729244891.062376,265973.600,37219,10,PR,1,100,150746
1729244891.072976,265984.200,37219,10,PR,1,100,150767
1729244891.083576,265994.800,37219,10,PR,1,100,150723
1729244891.094176,266005.400,37219,10,PR,1,100,150743
1729244891.104776,266016.000,37219,10,PR,1,100,150756
1729244891.114176,266025.400,37239,10,PR,1,100,150746
1729244891.123576,266034.800,37239,10,PR,1,100,150762
1729244891.132976,266044.200,37239,10,PR,1,100,150752
1729244891.142375,266053.600,37239,10,PR,1,100,150746
1729244891.151776,266063.000,37239,10,PR,1,100,150739
1729244891.161175,266072.400,37239,10,PR,1,100,150771
1729244891.170575,266081.800,37239,10,PR,1,100,150780
1729244891.179975,266091.200,37239,10,PR,1,100,150735
1729244891.189375,266100.600,37239,10,PR,1,100,150746
1729244891.198775,266110.000,37239,10,PR,1,100,150750
1729244891.209375,266120.600,37255,10,PR,1,100,150760
1729244891.219975,266131.200,37255,10,PR,1,100,150783
1729244891.230575,266141.800,37255,10,PR,1,100,150772
1729244891.241175,266152.400,37255,10,PR,1,100,150777
1729244891.251775,266163.000,37255,10,PR,1,100,150771
1729244891.262375,266173.600,37255,10,PR,1,100,150757
1729244891.272975,266184.200,37255,10,PR,1,100,150773
1729244891.283575,266194.800,37255,10,PR,1,100,150758
1729244891.294175,266205.400,37255,10,PR,1,100,150770
1729244891.304775,266216.000,37255,10,PR,1,100,150804
1729244891.314175,266225.400,37270,10,PR,1,100,150758
1729244891.323575,266234.800,37270,10,PR,1,100,150802
1729244891.332975,266244.200,37270,10,PR,1,100,150778
1729244891.342375,266253.600,37270,10,PR,1,100,150769
1729244891.351774,266263.000,37270,10,PR,1,100,150808
1729244891.361175,266272.400,37270,10,PR,1,100,150827
1729244891.370574,266281.800,37270,10,PR,1,100,150804
1729244891.379974,266291.200,37270,10,PR,1,100,150791
1729244891.389374,266300.600,37270,10,PR,1,100,150815
1729244891.398774,266310.000,37270,10,PR,1,100,150792
1729244891.409374,266320.600,37286,10,PR,1,100,150811
1729244891.419974,266331.200,37286,10,PR,1,100,150820
1729244891.430574,266341.800,37286,10,PR,1,100,150786
1729244891.441174,266352.400,37286,10,PR,1,100,150803
1729244891.451774,266363.000,37286,10,PR,1,100,150821
1729244891.462374,266373.600,37286,10,PR,1,100,150814
1729244891.472974,266384.200,37286,10,PR,1,100,150822
1729244891.483574,266394.800,37286,10,PR,1,100,150831
1729244891.494174,266405.400,37286,10,PR,1,100,150832
1729244891.504774,266416.000,37286,10,PR,1,100,150840
1729244891.514501,266425.727,37304,11,PR,1,100,150839
1729244891.524228,266435.455,37304,11,PR,1,100,150859
1729244891.533956,266445.182,37304,11,PR,1,100,150833
1729244891.543683,266454.909,37304,11,PR,1,100,150828
1729244891.553410,266464.636,37304,11,PR,1,100,150824
1729244891.563137,266474.364,37304,11,PR,1,100,150846
1729244891.572864,266484.091,37304,11,PR,1,100,150826
1729244891.582592,266493.818,37304,11,PR,1,100,150798
1729244891.592319,266503.545,37304,11,PR,1,100,150799
1729244891.602046,266513.273,37304,11,PR,1,100,150795
1729244891.611773,266523.000,37304,11,PR,1,100,150777
1729244891.622107,266533.333,37320,9,PR,1,100,150788
1729244891.632440,266543.667,37320,9,PR,1,100,150789
