LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,SA
1713787994.656953,121013,18140,1,SA,1,100,0.004347
1713787997.389988,123746,18330,1,SA,1,100,0.000079
1713787997.989995,124346,18430,1,SA,1,100,0.000060
1713788001.723043,128079,19312,1,SA,1,100,0.004794
1713788003.657068,130013,19510,1,SA,1,100,0.010330
1713788007.656120,134012,20177,1,SA,1,100,0.010785
1713788015.189216,141545,21296,1,SA,1,100,0.000372
1713788017.588247,143944,21749,1,SA,1,100,0.001162
1713788023.055317,149411,22631,1,SA,1,100,0.000318
1713788023.721326,150077,22666,1,SA,1,100,0.000063
1713788035.319474,161675,24714,1,SA,1,100,0.002240
1713788045.185601,171541,26229,1,SA,1,100,0.000280
1713788049.785660,176141,26947,1,SA,1,100,0.000161
1713788050.051663,176407,26982,1,SA,1,100,0.000097
1713788050.451669,176807,27034,1,SA,1,100,0.000047
1713788050.785673,177141,27251,1,SA,1,100,0.001232
1713788054.651722,181007,27754,1,SA,1,100,0.000055
1713788057.918764,184274,28351,1,SA,1,100,0.000697
1713788063.517836,189873,29334,1,SA,1,100,0.002213
1713788069.383911,195739,30149,1,SA,1,100,0.000140
1713788069.649915,196005,30184,1,SA,1,100,0.000064
1713788073.783968,200139,30965,1,SA,1,100,0.000700
1713788074.716980,201072,31017,1,SA,1,100,0.000043
1713788078.450028,204805,31680,1,SA,1,100,0.000153
1713788079.249038,205604,31785,1,SA,1,100,0.000064
1713788083.249089,209604,32532,1,SA,1,100,0.000846
1713788084.182101,210537,32584,1,SA,1,100,0.000219
1713788084.849110,211204,32688,1,SA,1,100,0.000017
1713788085.049112,211404,32741,1,SA,1,100,0.000238
1713788085.382117,211737,32794,1,SA,1,100,0.000117
1713788086.182127,212537,32929,1,SA,1,100,0.000100
1713788086.715134,213070,33015,1,SA,1,100,0.000118
1713788086.983137,213338,33131,1,SA,1,100,0.000595
1713788088.248153,214603,33265,1,SA,1,100,0.000070
1713788091.715198,218070,33880,1,SA,1,100,0.000339
1713788092.315206,218670,33931,1,SA,1,100,0.000062
1713788092.581209,218936,34147,1,SA,1,100,0.002045
1713788094.581235,220936,34286,1,SA,1,100,0.000224
1713788095.248243,221603,34586,1,SA,1,100,0.008531
1713788105.247371,231602,36044,1,SA,1,100,0.000119
1713788105.647377,232002,36094,1,SA,1,100,0.000073
1713788107.980407,234335,36572,1,SA,1,100,0.000944
1713788109.313424,235668,36674,1,SA,1,100,0.000102
1713788110.313437,236668,36850,1,SA,1,100,0.000086
1713788110.647441,237002,36902,1,SA,1,100,0.000016
1713788110.980445,237335,37036,1,SA,1,100,0.000346
1713788111.913457,238268,37104,1,SA,1,100,0.000051
1713788112.113460,238468,37139,1,SA,1,100,0.000067
1713788112.313462,238668,37390,1,SA,1,100,0.002339
1713788115.712506,242067,37730,1,SA,1,100,0.000090
1713788116.846520,243201,38343,1,SA,1,100,0.006684
1713788125.978637,252333,39484,1,SA,1,100,0.000867
1713788126.978650,253333,39771,1,SA,1,100,0.007816
1713788131.911714,258266,40410,1,SA,1,100,0.000391
1713788137.110780,263465,41236,1,SA,1,100,0.000150
1713788142.843854,269198,42401,1,SA,1,100,0.001826
1713788145.710891,272065,42921,1,SA,1,100,0.003593
1713788149.510939,275865,43401,1,SA,1,100,0.001688
1713788153.575992,279930,44057,1,SA,1,100,0.001417
1713788156.377028,282731,44464,1,SA,1,100,0.000710
1713788157.110037,283464,44497,1,SA,1,100,0.000058
1713788157.710045,284064,44616,1,SA,1,100,0.000237
1713788158.576056,284930,44768,1,SA,1,100,0.000179
1713788159.176063,285530,44836,1,SA,1,100,0.000038
1713788159.509068,285863,44903,1,SA,1,100,0.000180
1713788160.176076,286530,45075,1,SA,1,100,0.000328
1713788160.709083,287063,45110,1,SA,1,100,0.000147
1713788160.976086,287330,45216,1,SA,1,100,0.000520
1713788161.575094,287929,45252,1,SA,1,100,0.000064
1713788162.175102,288529,45353,1,SA,1,100,0.000170
1713788162.442105,288796,45388,1,SA,1,100,0.000064
1713788162.909111,289263,45490,1,SA,1,100,0.000103
1713788163.443118,289797,45639,1,SA,1,100,0.000446
1713788164.375130,290729,45958,1,SA,1,100,0.002144
1713788166.108152,292462,45991,1,SA,1,100,0.000124
1713788169.908201,296262,46795,1,SA,1,100,0.002330
1713788173.508247,299862,47298,1,SA,1,100,0.001739
1713788174.308258,300662,47334,1,SA,1,100,0.000227
1713788178.241308,304595,48006,1,SA,1,100,0.000367
1713788178.707314,305061,48142,1,SA,1,100,0.000829
1713788182.707365,309061,48760,1,SA,1,100,0.000200
1713788183.240372,309594,48811,1,SA,1,100,0.000138
1713788183.707378,310061,48862,1,SA,1,100,0.000067
1713788184.573389,310927,49211,1,SA,1,100,0.002130
1713788187.640429,313994,49665,1,SA,1,100,0.001398
1713788189.107447,315461,49768,1,SA,1,100,0.000316
1713788194.040511,320394,50648,1,SA,1,100,0.000714
1713788195.905535,322259,50867,1,SA,1,100,0.000040
1713788196.573543,322927,51000,1,SA,1,100,0.000141
1713788197.372553,323726,51106,1,SA,1,100,0.000035
1713788199.505581,325859,51454,1,SA,1,100,0.000041
1713788199.705583,326059,51488,1,SA,1,100,0.000117
1713788199.905586,326259,51507,1,SA,1,100,0.000005
1713788200.105588,326459,51576,1,SA,1,100,0.000188
1713788200.638595,326992,51675,1,SA,1,100,0.000357
1713788201.105601,327459,51776,1,SA,1,100,0.000523
