LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,BV
1713788000.222024,126578.000,18794,1,BV,1,100,3.91
1713788005.222088,131578.000,19609,1,BV,1,100,3.90
1713788010.221152,136577.000,20426,1,BV,1,100,3.90
1713788015.221216,141577.000,21260,1,BV,1,100,3.90
1713788020.221281,146577.000,22081,1,BV,1,100,3.90
1713788025.220345,151576.000,22897,1,BV,1,100,3.90
1713788030.219409,156575.000,23715,1,BV,1,100,3.90
1713788035.219473,161575.000,24529,1,BV,1,100,3.90
1713788040.218537,166574.000,25344,1,BV,1,100,3.90
1713788045.218601,171574.000,26178,1,BV,1,100,3.90
1713788050.217665,176573.000,26999,1,BV,1,100,3.90
1713788055.217730,181573.000,27821,1,BV,1,100,3.90
1713788060.216794,186572.000,28637,1,BV,1,100,3.89
1713788065.216858,191572.000,29467,1,BV,1,100,3.90
1713788070.215922,196571.000,30269,1,BV,1,100,3.90
1713788075.215986,201571.000,31101,1,BV,1,100,3.90
1713788080.215050,206570.000,31918,1,BV,1,100,3.90
1713788085.215115,211570.000,32737,1,BV,1,100,3.90
1713788090.214179,216569.000,33565,1,BV,1,100,3.90
1713788095.214243,221569.000,34386,1,BV,1,100,3.89
1713788100.213307,226568.000,35188,1,BV,1,100,3.90
1713788105.213371,231568.000,35991,1,BV,1,100,3.90
1713788110.212435,236567.000,36813,1,BV,1,100,3.89
1713788115.212499,241567.000,37646,1,BV,1,100,3.89
1713788120.211564,246566.000,38460,1,BV,1,100,3.89
1713788125.211628,251566.000,39280,1,BV,1,100,3.89
1713788130.210692,256565.000,40104,1,BV,1,100,3.89
1713788135.210756,261565.000,40927,1,BV,1,100,3.89
1713788140.209820,266564.000,41734,1,BV,1,100,3.89
1713788145.209884,271564.000,42550,1,BV,1,100,3.90
1713788150.208948,276563.000,43365,1,BV,1,100,3.89
1713788155.209013,281563.000,44192,1,BV,1,100,3.89
1713788160.209077,286563.000,45005,1,BV,1,100,3.89
1713788165.208141,291562.000,45840,1,BV,1,100,3.89
1713788170.207205,296561.000,46659,1,BV,1,100,3.89
1713788175.207269,301561.000,47468,1,BV,1,100,3.89
1713788180.206333,306560.000,48291,1,BV,1,100,3.89
1713788185.206397,311560.000,49109,1,BV,1,100,3.89
1713788190.205462,316559.000,49935,1,BV,1,100,3.89
1713788195.205526,321559.000,50731,1,BV,1,100,3.89
1713788200.204590,326558.000,51557,1,BV,1,100,3.89
1713788205.204654,331558.000,52366,1,BV,1,100,3.90
1713788210.203718,336557.000,53196,1,BV,1,100,3.89
1713788215.203782,341557.000,54013,1,BV,1,100,3.89
1713788220.202846,346556.000,54821,1,BV,1,100,3.89
1713788225.202910,351556.000,55637,1,BV,1,100,3.89
1713788230.201975,356555.000,56460,1,BV,1,100,3.88
1713788235.202039,361555.000,57297,1,BV,1,100,3.89
1713788240.201103,366554.000,58110,1,BV,1,100,3.88
1713788245.201167,371554.000,58935,1,BV,1,100,3.89
1713788250.200231,376553.000,59748,1,BV,1,100,3.89
1713788255.200295,381553.000,60571,1,BV,1,100,3.88
1713788260.199359,386552.000,61387,1,BV,1,100,3.88
1713788265.199424,391552.000,62204,1,BV,1,100,3.88
1713788270.198488,396551.000,63026,1,BV,1,100,3.89
1713788275.198552,401551.000,63816,1,BV,1,100,3.89
1713788280.197616,406550.000,64646,1,BV,1,100,3.88
1713788285.197680,411550.000,65472,1,BV,1,100,3.88
1713788290.196744,416549.000,760,1,BV,1,100,3.88
1713788295.196809,421549.000,1596,1,BV,1,100,3.89
1713788300.195873,426548.000,2416,1,BV,1,100,3.88
1713788305.195937,431548.000,3245,1,BV,1,100,3.88
1713788310.195001,436547.000,4063,1,BV,1,100,3.88
1713788315.195065,441547.000,4888,1,BV,1,100,3.88
1713788320.194129,446546.000,5721,1,BV,1,100,3.88
1713788325.194193,451546.000,6557,1,BV,1,100,3.88
