LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,AK
1713787997.430988,123787.000,18309,2,AK,1,100,17497
1713787997.430988,123787.000,18309,2,AK,1,100,RD
1713787997.438488,123794.500,18312,2,AK,1,100,18310
1713787997.445988,123802.000,18312,2,AK,1,100,RD
1713787999.996021,126352.000,19160,2,AK,1,100,18310
1713788002.546054,128902.000,19160,2,AK,1,100,RD
1713788002.551054,128907.000,19163,2,AK,1,100,19161
1713788002.556054,128912.000,19163,2,AK,1,100,RD
1713788005.105087,131461.000,19992,2,AK,1,100,19161
1713788007.654119,134010.000,19992,2,AK,1,100,RD
1713788007.660619,134016.500,19995,2,AK,1,100,19993
1713788007.667120,134023.000,19995,2,AK,1,100,RD
1713788010.226652,136582.500,20844,2,AK,1,100,19993
1713788012.786185,139142.000,20844,2,AK,1,100,RD
1713788012.792685,139148.500,20847,2,AK,1,100,20845
1713788012.799186,139155.000,20847,2,AK,1,100,RD
1713788015.348218,141704.000,21677,2,AK,1,100,20845
1713788017.897251,144253.000,21677,2,AK,1,100,RD
1713788017.901751,144257.500,21680,2,AK,1,100,21678
1713788017.906251,144262.000,21680,2,AK,1,100,RD
1713788020.455784,146811.500,22508,2,AK,1,100,21678
1713788023.005316,149361.000,22508,2,AK,1,100,RD
1713788023.011817,149367.500,22511,2,AK,1,100,22509
1713788023.018317,149374.000,22511,2,AK,1,100,RD
1713788025.577849,151933.500,23364,2,AK,1,100,22509
1713788028.137382,154493.000,23364,2,AK,1,100,RD
1713788028.143882,154499.500,23367,2,AK,1,100,23365
1713788028.150383,154506.000,23367,2,AK,1,100,RD
1713788030.703915,157059.500,24196,2,AK,1,100,23365
1713788033.257448,159613.000,24196,2,AK,1,100,RD
1713788033.264448,159620.000,24199,2,AK,1,100,24197
1713788033.271448,159627.000,24199,2,AK,1,100,RD
1713788035.817981,162173.500,25028,2,AK,1,100,24197
1713788038.364513,164720.000,25028,2,AK,1,100,RD
1713788038.370513,164726.000,25031,2,AK,1,100,25029
1713788038.376514,164732.000,25031,2,AK,1,100,RD
1713788040.924546,167280.000,25859,2,AK,1,100,25029
1713788043.472579,169828.000,25859,2,AK,1,100,RD
1713788043.479079,169834.500,25862,2,AK,1,100,25860
1713788043.485579,169841.000,25862,2,AK,1,100,RD
1713788046.045112,172400.500,26708,2,AK,1,100,25860
1713788048.604645,174960.000,26708,2,AK,1,100,RD
1713788048.610145,174965.500,26711,2,AK,1,100,26709
1713788048.615645,174971.000,26711,2,AK,1,100,RD
1713788051.164178,177519.500,27551,2,AK,1,100,26709
1713788053.712710,180068.000,27551,2,AK,1,100,RD
1713788053.718210,180073.500,27554,2,AK,1,100,27552
1713788053.723711,180079.000,27554,2,AK,1,100,RD
1713788056.289743,182645.000,28402,2,AK,1,100,27552
1713788058.855776,185211.000,28402,2,AK,1,100,RD
1713788058.862777,185218.000,28405,2,AK,1,100,28403
1713788058.869776,185225.000,28405,2,AK,1,100,RD
1713788061.417309,187772.500,29231,2,AK,1,100,28403
1713788063.964842,190320.000,29231,2,AK,1,100,RD
1713788063.969842,190325.000,29234,2,AK,1,100,29232
1713788063.974842,190330.000,29234,2,AK,1,100,RD
1713788066.523375,192878.500,30062,2,AK,1,100,29232
1713788069.071908,195427.000,30062,2,AK,1,100,RD
1713788069.076907,195432.000,30065,2,AK,1,100,30063
1713788069.081908,195437.000,30065,2,AK,1,100,RD
1713788071.648440,198003.500,30911,2,AK,1,100,30063
1713788074.214973,200570.000,30911,2,AK,1,100,RD
1713788074.220973,200576.000,30914,2,AK,1,100,30912
1713788074.226974,200582.000,30914,2,AK,1,100,RD
1713788076.774506,203129.500,31750,2,AK,1,100,30912
1713788079.322039,205677.000,31750,2,AK,1,100,RD
1713788079.327539,205682.500,31753,2,AK,1,100,31751
1713788079.333039,205688.000,31753,2,AK,1,100,RD
1713788081.899072,208254.000,32601,2,AK,1,100,31751
1713788084.465105,210820.000,32601,2,AK,1,100,RD
1713788084.471605,210826.500,32604,2,AK,1,100,32602
1713788084.478105,210833.000,32604,2,AK,1,100,RD
1713788087.025138,213380.000,33447,2,AK,1,100,32602
1713788089.572170,215927.000,33447,2,AK,1,100,RD
1713788089.578171,215933.000,33450,2,AK,1,100,33448
1713788089.584171,215939.000,33450,2,AK,1,100,RD
1713788092.131703,218486.500,34281,2,AK,1,100,33448
