LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,B%
1713788000.222024,126578.000,18795,1,B%,1,100,77
1713788005.222088,131578.000,19610,1,B%,1,100,77
1713788010.221152,136577.000,20427,1,B%,1,100,77
1713788015.221216,141577.000,21261,1,B%,1,100,77
1713788020.221281,146577.000,22082,1,B%,1,100,76
1713788025.220345,151576.000,22898,1,B%,1,100,77
1713788030.219409,156575.000,23716,1,B%,1,100,77
1713788035.219473,161575.000,24530,1,B%,1,100,76
1713788040.218537,166574.000,25345,1,B%,1,100,77
1713788045.218601,171574.000,26179,1,B%,1,100,77
1713788050.217665,176573.000,27000,1,B%,1,100,76
1713788055.217730,181573.000,27822,1,B%,1,100,76
1713788060.216794,186572.000,28638,1,B%,1,100,75
1713788065.216858,191572.000,29468,1,B%,1,100,77
1713788070.215922,196571.000,30270,1,B%,1,100,76
1713788075.215986,201571.000,31102,1,B%,1,100,76
1713788080.215050,206570.000,31919,1,B%,1,100,77
1713788085.215115,211570.000,32738,1,B%,1,100,76
1713788090.214179,216569.000,33566,1,B%,1,100,76
1713788095.214243,221569.000,34387,1,B%,1,100,76
1713788100.213307,226568.000,35189,1,B%,1,100,76
1713788105.213371,231568.000,35992,1,B%,1,100,76
1713788110.212435,236567.000,36814,1,B%,1,100,75
1713788115.212499,241567.000,37647,1,B%,1,100,75
1713788120.211564,246566.000,38461,1,B%,1,100,75
1713788125.211628,251566.000,39281,1,B%,1,100,76
1713788130.210692,256565.000,40105,1,B%,1,100,75
1713788135.210756,261565.000,40928,1,B%,1,100,76
1713788140.209820,266564.000,41735,1,B%,1,100,76
1713788145.209884,271564.000,42551,1,B%,1,100,76
1713788150.208948,276563.000,43366,1,B%,1,100,76
1713788155.209013,281563.000,44193,1,B%,1,100,75
1713788160.209077,286563.000,45006,1,B%,1,100,75
1713788165.208141,291562.000,45841,1,B%,1,100,76
1713788170.207205,296561.000,46660,1,B%,1,100,76
1713788175.207269,301561.000,47469,1,B%,1,100,75
1713788180.206333,306560.000,48292,1,B%,1,100,76
1713788185.206397,311560.000,49110,1,B%,1,100,75
1713788190.205462,316559.000,49936,1,B%,1,100,74
1713788195.205526,321559.000,50732,1,B%,1,100,75
1713788200.204590,326558.000,51558,1,B%,1,100,75
1713788205.204654,331558.000,52367,1,B%,1,100,76
1713788210.203718,336557.000,53197,1,B%,1,100,75
1713788215.203782,341557.000,54014,1,B%,1,100,75
1713788220.202846,346556.000,54822,1,B%,1,100,75
1713788225.202910,351556.000,55638,1,B%,1,100,75
1713788230.201975,356555.000,56461,1,B%,1,100,74
1713788235.202039,361555.000,57298,1,B%,1,100,75
1713788240.201103,366554.000,58111,1,B%,1,100,74
1713788245.201167,371554.000,58936,1,B%,1,100,75
1713788250.200231,376553.000,59749,1,B%,1,100,74
1713788255.200295,381553.000,60572,1,B%,1,100,74
1713788260.199359,386552.000,61388,1,B%,1,100,74
1713788265.199424,391552.000,62205,1,B%,1,100,74
1713788270.198488,396551.000,63027,1,B%,1,100,74
1713788275.198552,401551.000,63817,1,B%,1,100,74
1713788280.197616,406550.000,64647,1,B%,1,100,74
1713788285.197680,411550.000,65473,1,B%,1,100,74
1713788290.196744,416549.000,761,1,B%,1,100,74
1713788295.196809,421549.000,1597,1,B%,1,100,74
1713788300.195873,426548.000,2417,1,B%,1,100,74
1713788305.195937,431548.000,3246,1,B%,1,100,74
1713788310.195001,436547.000,4064,1,B%,1,100,73
1713788315.195065,441547.000,4889,1,B%,1,100,73
1713788320.194129,446546.000,5722,1,B%,1,100,74
1713788325.194193,451546.000,6558,1,B%,1,100,74
