LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,AY
1713787999.350013,125706.000,18637,2,AY,1,100,0.008
1713787999.390013,125746.000,18653,3,AY,1,100,0.007
1713787999.430014,125786.000,18653,3,AY,1,100,0.008
1713787999.470015,125826.000,18653,3,AY,1,100,0.010
1713787999.510015,125866.000,18670,2,AY,1,100,0.009
1713787999.550015,125906.000,18670,2,AY,1,100,0.011
1713787999.590016,125946.000,18687,3,AY,1,100,0.014
1713787999.630017,125986.000,18687,3,AY,1,100,0.010
1713787999.670017,126026.000,18687,3,AY,1,100,0.007
1713787999.710017,126066.000,18702,2,AY,1,100,0.006
1713787999.750018,126106.000,18702,2,AY,1,100,0.011
1713787999.790019,126146.000,18718,3,AY,1,100,0.011
1713787999.830019,126186.000,18718,3,AY,1,100,0.012
1713787999.870020,126226.000,18718,3,AY,1,100,0.006
1713787999.910020,126266.000,18736,2,AY,1,100,0.007
1713787999.950021,126306.000,18736,2,AY,1,100,0.009
1713787999.990021,126346.000,18754,3,AY,1,100,0.008
1713788000.030022,126386.000,18754,3,AY,1,100,0.004
1713788000.070022,126426.000,18754,3,AY,1,100,0.010
1713788000.110023,126466.000,18770,2,AY,1,100,0.010
1713788000.150023,126506.000,18770,2,AY,1,100,0.007
1713788000.190024,126546.000,18786,3,AY,1,100,0.000
1713788000.230024,126586.000,18786,3,AY,1,100,0.010
1713788000.270025,126626.000,18786,3,AY,1,100,0.011
1713788000.310025,126666.000,18805,3,AY,1,100,0.009
1713788000.350026,126706.000,18805,3,AY,1,100,0.008
1713788000.390026,126746.000,18805,3,AY,1,100,0.009
1713788000.430027,126786.000,18821,2,AY,1,100,0.015
1713788000.470027,126826.000,18821,2,AY,1,100,0.014
1713788000.517028,126873.000,18839,2,AY,1,100,0.015
1713788000.564029,126920.000,18839,2,AY,1,100,0.005
1713788000.604029,126960.000,18853,3,AY,1,100,0.007
1713788000.644030,127000.000,18853,3,AY,1,100,0.011
1713788000.684030,127040.000,18853,3,AY,1,100,0.014
1713788000.724030,127080.000,18872,2,AY,1,100,0.001
1713788000.764031,127120.000,18872,2,AY,1,100,0.005
1713788000.804032,127160.000,18888,3,AY,1,100,0.002
1713788000.844032,127200.000,18888,3,AY,1,100,0.004
1713788000.884032,127240.000,18888,3,AY,1,100,0.000
1713788000.924033,127280.000,18906,2,AY,1,100,0.002
1713788000.964034,127320.000,18906,2,AY,1,100,0.010
1713788001.004034,127360.000,18920,3,AY,1,100,0.010
1713788001.044035,127400.000,18920,3,AY,1,100,0.009
1713788001.084035,127440.000,18920,3,AY,1,100,0.005
1713788001.124036,127480.000,18937,2,AY,1,100,0.013
1713788001.164036,127520.000,18937,2,AY,1,100,0.010
1713788001.204037,127560.000,18954,3,AY,1,100,0.014
1713788001.244037,127600.000,18954,3,AY,1,100,0.008
1713788001.284038,127640.000,18954,3,AY,1,100,0.003
1713788001.324038,127680.000,18971,2,AY,1,100,0.000
1713788001.364039,127720.000,18971,2,AY,1,100,0.006
1713788001.404039,127760.000,18985,3,AY,1,100,0.009
1713788001.444040,127800.000,18985,3,AY,1,100,0.009
1713788001.484040,127840.000,18985,3,AY,1,100,0.011
1713788001.524041,127880.000,19003,3,AY,1,100,0.012
1713788001.564041,127920.000,19003,3,AY,1,100,0.008
1713788001.604042,127960.000,19003,3,AY,1,100,0.009
1713788001.644042,128000.000,19019,2,AY,1,100,0.007
1713788001.684043,128040.000,19019,2,AY,1,100,0.008
1713788001.724043,128080.000,19038,3,AY,1,100,0.007
1713788001.764044,128120.000,19038,3,AY,1,100,0.005
1713788001.804044,128160.000,19038,3,AY,1,100,0.010
1713788001.844045,128200.000,19052,2,AY,1,100,0.007
1713788001.884045,128240.000,19052,2,AY,1,100,0.008
1713788001.924046,128280.000,19070,3,AY,1,100,0.009
1713788001.964046,128320.000,19070,3,AY,1,100,0.011
1713788002.004047,128360.000,19070,3,AY,1,100,0.009
1713788002.044048,128400.000,19086,2,AY,1,100,0.007
1713788002.084048,128440.000,19086,2,AY,1,100,0.008
1713788002.124048,128480.000,19103,3,AY,1,100,0.007
1713788002.164049,128520.000,19103,3,AY,1,100,0.008
1713788002.204050,128560.000,19103,3,AY,1,100,0.007
1713788002.244050,128600.000,19118,2,AY,1,100,0.010
1713788002.284050,128640.000,19118,2,AY,1,100,0.008
1713788002.324051,128680.000,19135,3,AY,1,100,0.008
1713788002.364052,128720.000,19135,3,AY,1,100,0.013
1713788002.404052,128760.000,19135,3,AY,1,100,0.010
1713788002.444053,128800.000,19151,2,AY,1,100,0.009
1713788002.484053,128840.000,19151,2,AY,1,100,0.008
1713788002.524054,128880.000,19174,3,AY,1,100,0.009
1713788002.564054,128920.000,19174,3,AY,1,100,0.007
1713788002.604055,128960.000,19174,3,AY,1,100,0.008
1713788002.650555,129006.500,19189,2,AY,1,100,0.008
1713788002.697056,129053.000,19189,2,AY,1,100,0.007
1713788002.737056,129093.000,19205,3,AY,1,100,0.005
1713788002.777057,129133.000,19205,3,AY,1,100,0.009
1713788002.817057,129173.000,19205,3,AY,1,100,0.008
1713788002.857058,129213.000,19221,2,AY,1,100,0.006
1713788002.897058,129253.000,19221,2,AY,1,100,0.010
1713788002.937059,129293.000,19239,3,AY,1,100,0.005
1713788002.977059,129333.000,19239,3,AY,1,100,0.006
1713788003.017060,129373.000,19239,3,AY,1,100,0.007
1713788003.057060,129413.000,19255,2,AY,1,100,0.007
