LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,SF
1713787995.589965,121946.000,18024,1,SF,1,100,29.9992
1713787995.922969,122279.000,18072,1,SF,1,100,29.6521
1713787996.256973,122613.000,18123,1,SF,1,100,29.3091
1713787996.589978,122946.000,18175,1,SF,1,100,31.0523
1713787996.922982,123279.000,18226,1,SF,1,100,30.6931
1713787997.322987,123679.000,18291,1,SF,1,100,30.3380
1713787997.589990,123946.000,18348,1,SF,1,100,32.0693
1713787997.922995,124279.000,18397,1,SF,1,100,31.6984
1713787998.255999,124612.000,18447,1,SF,1,100,33.4139
1713787998.656004,125012.000,18512,1,SF,1,100,33.0274
1713787998.923007,125279.000,18565,1,SF,1,100,32.6453
1713787999.256012,125612.000,18613,1,SF,1,100,32.2677
1713787999.656017,126012.000,18678,1,SF,1,100,31.8944
1713787999.923020,126279.000,18727,1,SF,1,100,31.5254
1713788000.256025,126612.000,18778,1,SF,1,100,31.1608
1713788000.590029,126946.000,18830,1,SF,1,100,30.8003
1713788000.990034,127346.000,18897,1,SF,1,100,30.4440
1713788001.256037,127612.000,18945,1,SF,1,100,30.0918
1713788001.589042,127945.000,18994,1,SF,1,100,29.7437
1713788001.989047,128345.000,19061,1,SF,1,100,29.3996
1713788002.256050,128612.000,19111,1,SF,1,100,29.0595
1713788002.589055,128945.000,19165,1,SF,1,100,28.7234
1713788002.989060,129345.000,19230,1,SF,1,100,28.3911
1713788003.323064,129679.000,19278,1,SF,1,100,28.0627
1713788003.589067,129945.000,19331,1,SF,1,100,29.8203
1713788003.923072,130279.000,19379,1,SF,1,100,29.4753
1713788004.323077,130679.000,19444,1,SF,1,100,29.1343
1713788004.589080,130945.000,19493,1,SF,1,100,28.7973
1713788004.922084,131278.000,19543,1,SF,1,100,30.5464
1713788005.322089,131678.000,19611,1,SF,1,100,30.1931
1713788005.656094,132012.000,19661,1,SF,1,100,29.8438
1713788005.922097,132278.000,19709,1,SF,1,100,29.4986
1713788006.256102,132612.000,19760,1,SF,1,100,29.1573
1713788006.656107,133012.000,19825,1,SF,1,100,28.8200
1713788006.922110,133278.000,19875,1,SF,1,100,28.4866
1713788007.256114,133612.000,19926,1,SF,1,100,28.1571
1713788007.656120,134012.000,19996,1,SF,1,100,27.8314
