LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,RD
1716209447.328982,460093.000,8686,2,RD,1,100,TL
1716209449.902012,462666.000,8686,2,RD,1,100,TU
1716209452.454042,465218.000,9528,2,RD,1,100,TL
1716209455.006072,467770.000,9528,2,RD,1,100,TU
1716209457.560601,470324.500,10377,2,RD,1,100,TL
1716209460.115131,472879.000,10377,2,RD,1,100,TU
1716209462.691661,475455.500,11242,2,RD,1,100,TL
1716209465.268191,478032.000,11242,2,RD,1,100,TU
1716209467.822221,480586.000,12062,2,RD,1,100,TL
1716209470.376251,483140.000,12062,2,RD,1,100,TU
1716209472.930781,485694.500,12896,2,RD,1,100,TL
1716209475.485311,488249.000,12896,2,RD,1,100,TU
1716209478.039340,490803.000,13730,2,RD,1,100,TL
1716209480.593370,493357.000,13730,2,RD,1,100,TU
1716209483.148900,495912.500,14565,2,RD,1,100,TL
1716209485.704430,498468.000,14565,2,RD,1,100,TU
1716209488.278460,501042.000,15422,2,RD,1,100,TL
1716209490.852490,503616.000,15422,2,RD,1,100,TU
1716209493.405520,506169.000,16271,2,RD,1,100,TL
1716209495.958550,508722.000,16271,2,RD,1,100,TU
1716209498.513080,511276.500,17117,2,RD,1,100,TL
1716209501.067610,513831.000,17117,2,RD,1,100,TU
1716209503.621140,516384.500,17963,2,RD,1,100,TL
1716209506.174669,518938.000,17963,2,RD,1,100,TU
1716209508.728699,521492.000,18807,2,RD,1,100,TL
1716209511.282729,524046.000,18807,2,RD,1,100,TU
1716209513.862259,526625.500,19666,2,RD,1,100,TL
1716209516.441789,529205.000,19666,2,RD,1,100,TU
1716209518.995819,531759.000,20513,2,RD,1,100,TL
1716209521.549849,534313.000,20513,2,RD,1,100,TU
1716209524.105379,536868.500,21359,2,RD,1,100,TL
1716209526.660909,539424.000,21359,2,RD,1,100,TU
1716209529.215438,541978.500,22198,2,RD,1,100,TL
1716209531.769968,544533.000,22198,2,RD,1,100,TU
1716209534.324498,547087.500,23044,2,RD,1,100,TL
1716209536.879028,549642.000,23044,2,RD,1,100,TU
1716209539.446058,552209.000,23914,2,RD,1,100,TL
1716209542.013088,554776.000,23914,2,RD,1,100,TU
1716209544.568618,557331.500,24773,2,RD,1,100,TL
1716209547.124148,559887.000,24773,2,RD,1,100,TU
1716209549.698178,562461.000,25633,2,RD,1,100,TL
1716209552.272208,565035.000,25633,2,RD,1,100,TU
1716209554.826238,567589.000,26475,2,RD,1,100,TL
1716209557.380267,570143.000,26475,2,RD,1,100,TU
