LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,HR
1716209195.854044,208621,32424,1,HR,1,100,50.97
1716209196.781055,209548,32578,1,HR,1,100,53.98
1716209199.054081,211821,32953,1,HR,1,100,47.89
1716209200.891103,213658,33253,1,HR,1,100,44.57
1716209201.728113,214495,33408,1,HR,1,100,50.54
1716209202.294119,215061,33493,1,HR,1,100,63.12
1716209203.830137,216597,33748,1,HR,1,100,57.81
1716209208.487192,221254,34516,1,HR,1,100,47.84
1716209209.223200,221990,34624,1,HR,1,100,55.23
1716209224.568379,237335,37135,1,HR,1,100,43.83
1716209231.878465,244645,38350,1,HR,1,100,35.92
1716209232.338470,245105,38417,1,HR,1,100,56.92
1716209234.671498,247438,38794,1,HR,1,100,50.02
1716209238.410541,251177,39415,1,HR,1,100,42.49
1716209240.310563,253077,39727,1,HR,1,100,40.10
1716209243.123596,255890,40197,1,HR,1,100,35.95
1716209244.223609,256990,40387,1,HR,1,100,40.20
1716209246.716638,259483,40780,1,HR,1,100,36.64
1716209247.943653,260710,40984,1,HR,1,100,39.43
1716209248.533659,261300,41086,1,HR,1,100,53.26
1716209250.326680,263093,41382,1,HR,1,100,48.92
1716209252.662708,265429,41766,1,HR,1,100,43.77
1716209253.072712,265839,41835,1,HR,1,100,66.56
1716209255.409740,268176,42228,1,HR,1,100,57.52
1716209256.988758,269755,42484,1,HR,1,100,53.23
1716209263.405833,276172,43544,1,HR,1,100,43.49
1716209263.625836,276392,43580,1,HR,1,100,94.43
1716209263.861839,276628,43635,1,HR,1,100,131.42
1716209265.498858,278265,43895,1,HR,1,100,110.39
1716209269.511904,282278,44568,1,HR,1,100,89.20
1716209269.930909,282697,44639,1,HR,1,100,101.13
1716209273.967957,286734,45304,1,HR,1,100,81.97
1716209275.783978,288550,45582,1,HR,1,100,71.16
1716209276.310984,289077,45669,1,HR,1,100,80.51
1716209278.737012,291503,46072,1,HR,1,100,68.15
1716209279.510021,292276,46210,1,HR,1,100,70.32
1716209280.197029,292963,46332,1,HR,1,100,74.30
1716209282.340055,295106,46670,1,HR,1,100,64.02
1716209286.587104,299353,47368,1,HR,1,100,52.95
1716209290.966155,303732,48119,1,HR,1,100,44.24
1716209294.703199,307469,48726,1,HR,1,100,37.99
1716209299.398254,312164,49495,1,HR,1,100,32.41
1716209301.645280,314411,49857,1,HR,1,100,31.18
1716209303.001296,315767,50098,1,HR,1,100,34.13
1716209303.398300,316164,50149,1,HR,1,100,59.88
1716209306.975342,319741,50748,1,HR,1,100,50.32
1716209308.038355,320804,50920,1,HR,1,100,51.84
1716209309.004366,321770,51090,1,HR,1,100,54.06
1716209310.974389,323740,51410,1,HR,1,100,48.85
1716209313.300416,326066,51786,1,HR,1,100,43.77
1716209314.994436,327760,52075,1,HR,1,100,41.98
1716209317.000459,329766,52403,1,HR,1,100,39.32
1716209318.997483,331763,52743,1,HR,1,100,37.28
1716209320.496500,333262,52998,1,HR,1,100,37.94
1716209321.340510,334106,53134,1,HR,1,100,45.38
1716209322.246521,335012,53276,1,HR,1,100,50.11
1716209323.673537,336439,53511,1,HR,1,100,48.37
1716209325.439558,338205,53819,1,HR,1,100,45.19
1716209326.333568,339099,53956,1,HR,1,100,50.13
1716209327.316580,340082,54110,1,HR,1,100,52.74
1716209327.993588,340759,54234,1,HR,1,100,60.63
1716209328.872598,341638,54389,1,HR,1,100,62.48
1716209329.829609,342595,54540,1,HR,1,100,62.63
1716209330.719620,343485,54693,1,HR,1,100,63.69
1716209331.625630,344391,54845,1,HR,1,100,64.35
1716209332.609642,345375,55003,1,HR,1,100,63.66
1716209333.442652,346208,55138,1,HR,1,100,65.58
1716209335.142671,347908,55425,1,HR,1,100,58.89
1716209335.585676,348351,55497,1,HR,1,100,76.11
1716209337.648700,350414,55842,1,HR,1,100,65.70
1716209340.518734,353284,56314,1,HR,1,100,55.76
1716209341.131741,353897,56415,1,HR,1,100,65.23
1716209342.854761,355620,56693,1,HR,1,100,58.53
1716209343.701771,356467,56830,1,HR,1,100,61.21
1716209344.644782,357410,57002,1,HR,1,100,61.94
1716209347.481815,360247,57463,1,HR,1,100,52.89
1716209348.464827,361230,57631,1,HR,1,100,54.74
1716209349.317837,362083,57772,1,HR,1,100,58.45
1716209350.157847,362923,57922,1,HR,1,100,61.33
1716209351.160858,363926,58092,1,HR,1,100,61.04
1716209351.620864,364386,58162,1,HR,1,100,76.46
1716209352.663876,365429,58337,1,HR,1,100,72.41
1716209353.163882,365929,58423,1,HR,1,100,82.99
1716209357.086928,369852,59064,1,HR,1,100,67.96
1716209358.123940,370889,59240,1,HR,1,100,65.80
1716209358.649946,371415,59326,1,HR,1,100,76.82
1716209361.079974,373845,59729,1,HR,1,100,65.26
1716209361.799983,374565,59847,1,HR,1,100,69.54
1716209364.213011,376978,60258,1,HR,1,100,59.62
1716209364.790018,377555,60341,1,HR,1,100,69.76
1716209365.696028,378461,60495,1,HR,1,100,69.07
1716209366.529038,379294,60631,1,HR,1,100,69.79
1716209367.410048,380175,60783,1,HR,1,100,69.43
1716209370.166080,382931,61231,1,HR,1,100,58.87
1716209370.702087,383467,61303,1,HR,1,100,70.94
1716209371.019090,383784,61354,1,HR,1,100,96.85
1716209371.569097,384334,61459,1,HR,1,100,100.02
1716209372.596109,385361,61627,1,HR,1,100,90.73
1716209373.112115,385877,61700,1,HR,1,100,96.72
1716209378.569179,391334,62585,1,HR,1,100,77.68
1716209379.382188,392147,62720,1,HR,1,100,76.88
1716209379.708192,392473,62775,1,HR,1,100,101.46
1716209380.775204,393540,62943,1,HR,1,100,91.49
1716209383.424235,396189,63287,1,HR,1,100,76.21
1716209386.544272,399309,63815,1,HR,1,100,63.58
1716209388.418294,401183,64119,1,HR,1,100,56.58
1716209388.924299,401689,64214,1,HR,1,100,70.67
1716209389.777309,402542,64348,1,HR,1,100,70.65
1716209392.207338,404972,64752,1,HR,1,100,60.46
1716209393.030348,405795,64890,1,HR,1,100,63.29
1716209393.567354,406332,64973,1,HR,1,100,74.38
1716209397.593401,410358,121,1,HR,1,100,61.18
1716209399.229420,411994,395,1,HR,1,100,55.81
1716209400.790438,413555,645,1,HR,1,100,51.96
1716209403.249467,416014,1029,1,HR,1,100,45.87
1716209405.576494,418341,1405,1,HR,1,100,41.43
1716209406.286502,419051,1525,1,HR,1,100,51.00
1716209407.142512,419907,1676,1,HR,1,100,55.35
1716209410.015546,422780,2132,1,HR,1,100,47.71
1716209410.715554,423480,2247,1,HR,1,100,56.44
1716209418.588646,431353,3478,1,HR,1,100,45.59
1716209422.837696,435602,4188,1,HR,1,100,38.62
1716209426.100734,438865,4735,1,HR,1,100,34.14
1716209427.907755,440672,5039,1,HR,1,100,33.96
1716209429.923779,442688,5365,1,HR,1,100,33.08
1716209431.060792,443825,5553,1,HR,1,100,37.53
1716209433.626822,446391,5974,1,HR,1,100,34.40
1716209435.319842,448084,6266,1,HR,1,100,34.69
1716209436.429855,449194,6449,1,HR,1,100,38.99
1716209440.082897,452847,7046,1,HR,1,100,34.00
1716209446.185968,458950,8059,1,HR,1,100,28.64
1716209447.571985,460336,8299,1,HR,1,100,31.94
1716209448.448995,461213,8448,1,HR,1,100,40.17
1716209451.185027,463949,8907,1,HR,1,100,36.13
1716209455.892082,468656,9683,1,HR,1,100,30.95
1716209458.405111,471169,10105,1,HR,1,100,29.40
1716209460.241133,473005,10413,1,HR,1,100,30.15
1716209463.851175,476615,11004,1,HR,1,100,27.17
1716209464.214179,476978,11072,1,HR,1,100,58.17
1716209464.791186,477555,11156,1,HR,1,100,68.63
1716209468.237226,481001,11708,1,HR,1,100,57.27
1716209472.273273,485037,12381,1,HR,1,100,47.86
1716209473.603289,486367,12595,1,HR,1,100,47.32
1716209474.796303,487560,12794,1,HR,1,100,48.01
1716209476.916327,489680,13130,1,HR,1,100,43.66
1716209479.049352,491813,13479,1,HR,1,100,40.25
1716209479.863362,492627,13611,1,HR,1,100,47.77
1716209480.359368,493123,13695,1,HR,1,100,64.36
1716209482.872397,495636,14111,1,HR,1,100,55.39
1716209483.305402,496069,14178,1,HR,1,100,74.09
1716209483.675406,496439,14245,1,HR,1,100,93.66
1716209484.539417,497303,14379,1,HR,1,100,88.35
1716209485.952433,498716,14620,1,HR,1,100,78.18
1716209488.135458,500899,14972,1,HR,1,100,66.95
1716209488.771466,501535,15088,1,HR,1,100,73.23
1716209489.479474,502243,15205,1,HR,1,100,75.74
1716209490.182482,502946,15306,1,HR,1,100,77.96
1716209491.291495,504055,15493,1,HR,1,100,72.75
1716209491.928503,504692,15614,1,HR,1,100,77.75
1716209492.921515,505685,15764,1,HR,1,100,73.94
1716209493.524522,506288,15862,1,HR,1,100,79.73
1716209494.358531,507122,15997,1,HR,1,100,78.08
1716209495.278542,508042,16148,1,HR,1,100,75.22
1716209495.534545,508298,16201,1,HR,1,100,111.84
1716209496.597557,509361,16376,1,HR,1,100,99.56
1716209497.621569,510385,16546,1,HR,1,100,90.51
1716209499.661593,512425,16882,1,HR,1,100,76.96
1716209501.564615,514328,17206,1,HR,1,100,66.92
1716209502.577627,515341,17378,1,HR,1,100,65.25
1716209504.467649,517231,17674,1,HR,1,100,57.84
1716209505.650663,518414,17878,1,HR,1,100,56.29
1716209507.127681,519891,18116,1,HR,1,100,52.91
1716209509.200705,521964,18466,1,HR,1,100,47.59
1716209511.649733,524413,18878,1,HR,1,100,42.50
1716209512.492743,525256,19012,1,HR,1,100,48.93
1716209514.319764,527083,19315,1,HR,1,100,45.38
1716209517.479801,530243,19838,1,HR,1,100,39.54
1716209519.445824,532209,20180,1,HR,1,100,37.56
1716209521.725851,534489,20551,1,HR,1,100,35.09
1716209523.698874,536462,20869,1,HR,1,100,34.09
1716209527.241915,540005,21462,1,HR,1,100,30.29
1716209527.961924,540725,21580,1,HR,1,100,42.34
1716209532.301975,545065,22285,1,HR,1,100,36.02
1716209534.170996,546934,22604,1,HR,1,100,35.18
1716209538.671049,551434,23353,1,HR,1,100,30.34
1716209540.318068,553081,23626,1,HR,1,100,31.73
1716209541.207078,553970,23777,1,HR,1,100,39.83
1716209541.501082,554264,23827,1,HR,1,100,76.96
1716209542.144089,554907,23935,1,HR,1,100,80.69
1716209542.581095,555344,24021,1,HR,1,100,93.06
1716209544.384116,557147,24313,1,HR,1,100,79.83
1716209544.840121,557603,24397,1,HR,1,100,91.72
1716209545.377127,558140,24485,1,HR,1,100,96.03
1716209546.774144,559537,24722,1,HR,1,100,84.28
1716209549.106171,561869,25114,1,HR,1,100,71.30
1716209552.186207,564949,25613,1,HR,1,100,59.81
1716209554.766237,567529,26049,1,HR,1,100,51.71
1716209555.343244,568106,26134,1,HR,1,100,63.61
1716209557.409268,570172,26495,1,HR,1,100,55.95
1716209559.446292,572209,26835,1,HR,1,100,50.08
