LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EA
1716209195.047035,207814.000,32294,2,EA,1,100,0.062319
1716209195.047035,207814.000,32294,2,EA,1,100,0.062315
1716209195.113035,207880.000,32311,1,EA,1,100,0.062321
1716209195.180036,207947.000,32328,2,EA,1,100,0.062332
1716209195.247037,208014.000,32328,2,EA,1,100,0.062340
1716209195.313038,208080.000,32345,1,EA,1,100,0.062342
1716209195.380038,208147.000,32359,2,EA,1,100,0.062345
1716209195.447039,208214.000,32359,2,EA,1,100,0.062351
1716209195.513040,208280.000,32377,1,EA,1,100,0.062364
1716209195.580041,208347.000,32393,2,EA,1,100,0.062377
1716209195.647042,208414.000,32393,2,EA,1,100,0.062383
1716209195.713042,208480.000,32412,1,EA,1,100,0.062376
1716209195.779543,208546.500,32429,2,EA,1,100,0.062386
1716209195.846044,208613.000,32429,2,EA,1,100,0.062393
1716209195.913045,208680.000,32446,1,EA,1,100,0.062401
1716209195.980046,208747.000,32462,2,EA,1,100,0.062419
1716209196.047046,208814.000,32462,2,EA,1,100,0.062432
1716209196.113047,208880.000,32479,1,EA,1,100,0.062441
1716209196.179548,208946.500,32495,2,EA,1,100,0.062450
1716209196.246049,209013.000,32495,2,EA,1,100,0.062458
1716209196.313049,209080.000,32513,2,EA,1,100,0.062461
1716209196.380050,209147.000,32513,2,EA,1,100,0.062469
1716209196.446051,209213.000,32529,1,EA,1,100,0.062482
1716209196.513052,209280.000,32549,2,EA,1,100,0.062486
1716209196.580053,209347.000,32549,2,EA,1,100,0.062491
1716209196.646053,209413.000,32565,1,EA,1,100,0.062495
1716209196.713054,209480.000,32582,2,EA,1,100,0.062504
1716209196.780055,209547.000,32582,2,EA,1,100,0.062512
1716209196.846056,209613.000,32599,1,EA,1,100,0.062518
1716209196.913056,209680.000,32616,2,EA,1,100,0.062528
1716209196.980057,209747.000,32616,2,EA,1,100,0.062539
1716209197.046058,209813.000,32632,1,EA,1,100,0.062548
1716209197.113059,209880.000,32648,2,EA,1,100,0.062561
1716209197.180059,209947.000,32648,2,EA,1,100,0.062572
1716209197.246060,210013.000,32664,1,EA,1,100,0.062580
1716209197.313061,210080.000,32681,2,EA,1,100,0.062588
1716209197.380062,210147.000,32681,2,EA,1,100,0.062602
1716209197.446063,210213.000,32697,1,EA,1,100,0.062610
1716209197.513063,210280.000,32715,2,EA,1,100,0.062618
1716209197.580064,210347.000,32715,2,EA,1,100,0.062622
1716209197.646065,210413.000,32731,1,EA,1,100,0.062624
1716209197.713066,210480.000,32748,2,EA,1,100,0.062630
1716209197.780066,210547.000,32748,2,EA,1,100,0.062634
1716209197.846067,210613.000,32765,1,EA,1,100,0.062640
1716209197.913068,210680.000,32781,2,EA,1,100,0.062645
1716209197.980069,210747.000,32781,2,EA,1,100,0.062656
1716209198.046070,210813.000,32796,1,EA,1,100,0.062668
1716209198.113070,210880.000,32814,2,EA,1,100,0.062673
1716209198.180071,210947.000,32814,2,EA,1,100,0.062680
1716209198.246572,211013.500,32830,2,EA,1,100,0.062691
1716209198.313073,211080.000,32830,2,EA,1,100,0.062698
