LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,T1
1716209194.973034,207740.000,32296,1,T1,1,100,34.235
1716209195.106035,207873.000,32313,1,T1,1,100,34.350
1716209195.240037,208007.000,32330,1,T1,1,100,34.364
1716209195.373039,208140.000,32361,1,T1,1,100,34.299
1716209195.506040,208273.000,32379,1,T1,1,100,34.307
1716209195.640042,208407.000,32395,1,T1,1,100,34.204
1716209195.773043,208540.000,32431,1,T1,1,100,34.301
1716209195.906045,208673.000,32448,1,T1,1,100,34.272
1716209196.040046,208807.000,32464,1,T1,1,100,34.189
1716209196.173048,208940.000,32481,1,T1,1,100,34.223
1716209196.306049,209073.000,32515,1,T1,1,100,34.274
1716209196.440051,209207.000,32531,1,T1,1,100,34.260
1716209196.573052,209340.000,32551,1,T1,1,100,34.361
1716209196.706054,209473.000,32584,1,T1,1,100,34.298
1716209196.840055,209607.000,32601,1,T1,1,100,34.235
1716209196.973057,209740.000,32618,1,T1,1,100,34.244
1716209197.106059,209873.000,32650,1,T1,1,100,34.283
1716209197.239060,210006.000,32666,1,T1,1,100,34.229
1716209197.373062,210140.000,32683,1,T1,1,100,34.347
1716209197.506063,210273.000,32717,1,T1,1,100,34.398
1716209197.639065,210406.000,32733,1,T1,1,100,34.314
1716209197.773067,210540.000,32750,1,T1,1,100,34.278
1716209197.906068,210673.000,32767,1,T1,1,100,34.333
1716209198.039070,210806.000,32798,1,T1,1,100,34.357
1716209198.173071,210940.000,32816,1,T1,1,100,34.332
1716209198.306073,211073.000,32832,1,T1,1,100,34.250
1716209198.439074,211206.000,32866,1,T1,1,100,34.250
1716209198.573076,211340.000,32883,1,T1,1,100,34.321
1716209198.706077,211473.000,32904,1,T1,1,100,34.174
1716209198.839079,211606.000,32924,1,T1,1,100,34.253
1716209198.973080,211740.000,32959,1,T1,1,100,34.287
1716209199.106082,211873.000,32975,1,T1,1,100,34.372
1716209199.239084,212006.000,32993,1,T1,1,100,34.338
1716209199.373085,212140.000,33009,1,T1,1,100,34.395
1716209199.506087,212273.000,33043,1,T1,1,100,34.313
1716209199.639088,212406.000,33060,1,T1,1,100,34.313
1716209199.773090,212540.000,33076,1,T1,1,100,34.277
1716209199.906091,212673.000,33108,1,T1,1,100,34.333
1716209200.039093,212806.000,33127,1,T1,1,100,34.321
1716209200.172095,212939.000,33144,1,T1,1,100,34.281
1716209200.306096,213073.000,33175,1,T1,1,100,34.334
1716209200.439098,213206.000,33192,1,T1,1,100,34.393
1716209200.573099,213340.000,33209,1,T1,1,100,34.347
1716209200.706101,213473.000,33240,1,T1,1,100,34.398
1716209200.839102,213606.000,33262,1,T1,1,100,34.279
1716209200.972104,213739.000,33278,1,T1,1,100,34.192
1716209201.106105,213873.000,33312,1,T1,1,100,34.225
1716209201.239107,214006.000,33329,1,T1,1,100,34.239
1716209201.372108,214139.000,33347,1,T1,1,100,34.245
1716209201.506110,214273.000,33364,1,T1,1,100,34.319
1716209201.639112,214406.000,33396,1,T1,1,100,34.315
1716209201.772113,214539.000,33414,1,T1,1,100,34.314
1716209201.906115,214673.000,33432,1,T1,1,100,34.313
1716209202.039116,214806.000,33463,1,T1,1,100,34.206
1716209202.172118,214939.000,33480,1,T1,1,100,34.267
1716209202.306119,215073.000,33501,1,T1,1,100,34.293
1716209202.439121,215206.000,33533,1,T1,1,100,34.304
1716209202.572123,215339.000,33549,1,T1,1,100,34.309
1716209202.706124,215473.000,33566,1,T1,1,100,34.275
1716209202.839126,215606.000,33598,1,T1,1,100,34.332
1716209202.972127,215739.000,33614,1,T1,1,100,34.427
1716209203.106129,215873.000,33633,1,T1,1,100,34.327
1716209203.239130,216006.000,33650,1,T1,1,100,34.390
1716209203.372132,216139.000,33681,1,T1,1,100,34.452
1716209203.505133,216272.000,33699,1,T1,1,100,34.444
1716209203.639135,216406.000,33715,1,T1,1,100,34.334
1716209203.772637,216539.500,33755,2,T1,1,100,34.286
1716209203.906138,216673.000,33755,2,T1,1,100,34.372
1716209204.039140,216806.000,33791,1,T1,1,100,34.480
1716209204.172141,216939.000,33808,1,T1,1,100,34.350
1716209204.306143,217073.000,33825,1,T1,1,100,34.293
1716209204.439144,217206.000,33857,1,T1,1,100,34.269
1716209204.572146,217339.000,33873,1,T1,1,100,34.294
1716209204.705148,217472.000,33890,1,T1,1,100,34.269
