LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,BI
1716209195.854044,208621,32423,1,BI,1,100,1580
1716209196.781055,209548,32577,1,BI,1,100,930
1716209199.054081,211821,32952,1,BI,1,100,2260
1716209200.891103,213658,33252,1,BI,1,100,1820
1716209201.728113,214495,33407,1,BI,1,100,840
1716209202.294119,215061,33492,1,BI,1,100,560
1716209203.830137,216597,33747,1,BI,1,100,1530
1716209208.487192,221254,34515,1,BI,1,100,4630
1716209209.223200,221990,34623,1,BI,1,100,740
1716209224.568379,237335,37134,1,BI,1,100,15260
1716209231.878465,244645,38349,1,BI,1,100,7280
1716209232.338470,245105,38416,1,BI,1,100,460
1716209234.671498,247438,38793,1,BI,1,100,2320
1716209238.410541,251177,39414,1,BI,1,100,3720
1716209240.310563,253077,39726,1,BI,1,100,1890
1716209243.123596,255890,40196,1,BI,1,100,2800
1716209244.223609,256990,40386,1,BI,1,100,1090
1716209246.716638,259483,40779,1,BI,1,100,2480
1716209247.943653,260710,40983,1,BI,1,100,1220
1716209248.533659,261300,41085,1,BI,1,100,590
1716209250.326680,263093,41381,1,BI,1,100,1780
1716209252.662708,265429,41765,1,BI,1,100,2330
1716209253.072712,265839,41834,1,BI,1,100,410
1716209255.409740,268176,42227,1,BI,1,100,2320
1716209256.988758,269755,42483,1,BI,1,100,1570
1716209263.405833,276172,43543,1,BI,1,100,6390
1716209263.625836,276392,43579,1,BI,1,100,220
1716209263.861839,276628,43634,1,BI,1,100,230
1716209265.498858,278265,43894,1,BI,1,100,1630
1716209269.511904,282278,44567,1,BI,1,100,3990
1716209269.930909,282697,44638,1,BI,1,100,420
1716209273.967957,286734,45303,1,BI,1,100,4020
1716209275.783978,288550,45581,1,BI,1,100,1800
1716209276.310984,289077,45668,1,BI,1,100,530
1716209278.737012,291503,46071,1,BI,1,100,2410
1716209279.510021,292276,46209,1,BI,1,100,770
1716209280.197029,292963,46331,1,BI,1,100,680
1716209282.340055,295106,46669,1,BI,1,100,2140
1716209286.587104,299353,47367,1,BI,1,100,4220
1716209290.966155,303732,48118,1,BI,1,100,4360
1716209294.703199,307469,48725,1,BI,1,100,3720
1716209299.398254,312164,49494,1,BI,1,100,4670
1716209301.645280,314411,49856,1,BI,1,100,2230
1716209303.001296,315767,50097,1,BI,1,100,1350
1716209303.398300,316164,50148,1,BI,1,100,400
1716209306.975342,319741,50747,1,BI,1,100,3560
1716209308.038355,320804,50919,1,BI,1,100,1050
1716209309.004366,321770,51089,1,BI,1,100,970
1716209310.974389,323740,51409,1,BI,1,100,1960
1716209313.300416,326066,51785,1,BI,1,100,2310
1716209314.994436,327760,52074,1,BI,1,100,1680
1716209317.000459,329766,52402,1,BI,1,100,2000
1716209318.997483,331763,52742,1,BI,1,100,1990
1716209320.496500,333262,52997,1,BI,1,100,1490
1716209321.340510,334106,53133,1,BI,1,100,840
1716209322.246521,335012,53275,1,BI,1,100,900
1716209323.673537,336439,53510,1,BI,1,100,1420
1716209325.439558,338205,53818,1,BI,1,100,1760
1716209326.333568,339099,53955,1,BI,1,100,890
1716209327.316580,340082,54109,1,BI,1,100,970
1716209327.993588,340759,54233,1,BI,1,100,680
1716209328.872598,341638,54388,1,BI,1,100,870
1716209329.829609,342595,54539,1,BI,1,100,950
1716209330.719620,343485,54692,1,BI,1,100,890
1716209331.625630,344391,54844,1,BI,1,100,900
1716209332.609642,345375,55002,1,BI,1,100,980
1716209333.442652,346208,55137,1,BI,1,100,830
1716209335.142671,347908,55424,1,BI,1,100,1690
1716209335.585676,348351,55496,1,BI,1,100,440
1716209337.648700,350414,55841,1,BI,1,100,2050
1716209340.518734,353284,56313,1,BI,1,100,2860
1716209341.131741,353897,56414,1,BI,1,100,610
1716209342.854761,355620,56692,1,BI,1,100,1710
1716209343.701771,356467,56829,1,BI,1,100,850
1716209344.644782,357410,57001,1,BI,1,100,930
1716209347.481815,360247,57462,1,BI,1,100,2830
1716209348.464827,361230,57630,1,BI,1,100,980
1716209349.317837,362083,57771,1,BI,1,100,840
1716209350.157847,362923,57921,1,BI,1,100,840
1716209351.160858,363926,58091,1,BI,1,100,1000
1716209351.620864,364386,58161,1,BI,1,100,460
1716209352.663876,365429,58336,1,BI,1,100,1030
1716209353.163882,365929,58422,1,BI,1,100,500
1716209357.086928,369852,59063,1,BI,1,100,3910
1716209358.123940,370889,59239,1,BI,1,100,1030
1716209358.649946,371415,59325,1,BI,1,100,520
1716209361.079974,373845,59728,1,BI,1,100,2420
1716209361.799983,374565,59846,1,BI,1,100,710
1716209364.213011,376978,60257,1,BI,1,100,2410
1716209364.790018,377555,60340,1,BI,1,100,570
1716209365.696028,378461,60494,1,BI,1,100,900
1716209366.529038,379294,60630,1,BI,1,100,830
1716209367.410048,380175,60782,1,BI,1,100,880
1716209370.166080,382931,61230,1,BI,1,100,2740
1716209370.702087,383467,61302,1,BI,1,100,530
1716209371.019090,383784,61353,1,BI,1,100,320
1716209371.569097,384334,61458,1,BI,1,100,540
1716209372.596109,385361,61626,1,BI,1,100,1030
1716209373.112115,385877,61699,1,BI,1,100,510
1716209378.569179,391334,62584,1,BI,1,100,5430
1716209379.382188,392147,62719,1,BI,1,100,810
1716209379.708192,392473,62774,1,BI,1,100,320
1716209380.775204,393540,62942,1,BI,1,100,1060
1716209383.424235,396189,63286,1,BI,1,100,2640
1716209386.544272,399309,63814,1,BI,1,100,3100
1716209388.418294,401183,64118,1,BI,1,100,1870
1716209388.924299,401689,64213,1,BI,1,100,500
1716209389.777309,402542,64347,1,BI,1,100,850
1716209392.207338,404972,64751,1,BI,1,100,2420
1716209393.030348,405795,64889,1,BI,1,100,820
1716209393.567354,406332,64972,1,BI,1,100,530
1716209397.593401,410358,120,1,BI,1,100,4010
1716209399.229420,411994,394,1,BI,1,100,1620
1716209400.790438,413555,644,1,BI,1,100,1560
1716209403.249467,416014,1028,1,BI,1,100,2440
1716209405.576494,418341,1404,1,BI,1,100,2320
1716209406.286502,419051,1524,1,BI,1,100,710
1716209407.142512,419907,1675,1,BI,1,100,850
1716209410.015546,422780,2131,1,BI,1,100,2860
1716209410.715554,423480,2246,1,BI,1,100,690
1716209418.588646,431353,3477,1,BI,1,100,7840
1716209422.837696,435602,4187,1,BI,1,100,4220
1716209426.100734,438865,4734,1,BI,1,100,3250
1716209427.907755,440672,5038,1,BI,1,100,1800
1716209429.923779,442688,5364,1,BI,1,100,2000
1716209431.060792,443825,5552,1,BI,1,100,1130
1716209433.626822,446391,5973,1,BI,1,100,2560
1716209435.319842,448084,6265,1,BI,1,100,1680
1716209436.429855,449194,6448,1,BI,1,100,1110
1716209440.082897,452847,7045,1,BI,1,100,3630
1716209446.185968,458950,8058,1,BI,1,100,6070
1716209447.571985,460336,8298,1,BI,1,100,1380
1716209448.448995,461213,8447,1,BI,1,100,870
1716209451.185027,463949,8906,1,BI,1,100,2730
1716209455.892082,468656,9682,1,BI,1,100,4680
1716209458.405111,471169,10104,1,BI,1,100,2500
1716209460.241133,473005,10412,1,BI,1,100,1830
1716209463.851175,476615,11003,1,BI,1,100,3590
1716209464.214179,476978,11071,1,BI,1,100,360
1716209464.791186,477555,11155,1,BI,1,100,570
1716209468.237226,481001,11707,1,BI,1,100,3430
1716209472.273273,485037,12380,1,BI,1,100,4020
1716209473.603289,486367,12594,1,BI,1,100,1320
