LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,SA
1716209195.581041,208348,32407,1,SA,1,100,0.000006
1716209195.913045,208680,32508,1,SA,1,100,0.000057
1716209196.380050,209147,32543,1,SA,1,100,0.000013
1716209196.846056,209613,32710,1,SA,1,100,0.000100
1716209198.180071,210947,32858,1,SA,1,100,0.000027
1716209198.513075,211280,32916,1,SA,1,100,0.000036
1716209199.246084,212013,33035,1,SA,1,100,0.000025
1716209199.713089,212480,33120,1,SA,1,100,0.000048
1716209200.513098,213280,33254,1,SA,1,100,0.000035
1716209200.913103,213680,33290,1,SA,1,100,0.000010
1716209201.113106,213880,33340,1,SA,1,100,0.000023
1716209201.446109,214213,33494,1,SA,1,100,0.000096
1716209202.713124,215480,33626,1,SA,1,100,0.000043
1716209203.512134,216279,33768,1,SA,1,100,0.000051
1716209204.579146,217346,33917,1,SA,1,100,0.000038
1716209205.646158,218413,34099,1,SA,1,100,0.000049
1716209206.046163,218813,34198,1,SA,1,100,0.000079
1716209206.646170,219413,34265,1,SA,1,100,0.000042
1716209207.045175,219812,34301,1,SA,1,100,0.000021
1716209209.645205,222412,34772,1,SA,1,100,0.000217
1716209210.712218,223479,34953,1,SA,1,100,0.000084
1716209211.778230,224545,35069,1,SA,1,100,0.000006
1716209212.245235,225012,35300,1,SA,1,100,0.000142
1716209213.579251,226346,35426,1,SA,1,100,0.000081
1716209214.311260,227078,35478,1,SA,1,100,0.000020
1716209214.711264,227478,35528,1,SA,1,100,0.000008
1716209214.911267,227678,35579,1,SA,1,100,0.000020
1716209215.445273,228212,35663,1,SA,1,100,0.000018
1716209215.779277,228546,35747,1,SA,1,100,0.000048
1716209216.244282,229011,35815,1,SA,1,100,0.000049
1716209216.778289,229545,35882,1,SA,1,100,0.000011
1716209217.112292,229879,35981,1,SA,1,100,0.000056
1716209217.644299,230411,36032,1,SA,1,100,0.000022
1716209217.912302,230679,36083,1,SA,1,100,0.000019
1716209218.312306,231079,36133,1,SA,1,100,0.000011
1716209218.511309,231278,36220,1,SA,1,100,0.000061
1716209219.711323,232478,36359,1,SA,1,100,0.000008
1716209219.911325,232678,36427,1,SA,1,100,0.000048
1716209220.711334,233478,36542,1,SA,1,100,0.000036
1716209221.311342,234078,36643,1,SA,1,100,0.000027
1716209222.045350,234812,36759,1,SA,1,100,0.000023
1716209222.444355,235211,36891,1,SA,1,100,0.000096
1716209223.444366,236211,36975,1,SA,1,100,0.000008
1716209223.778370,236545,37075,1,SA,1,100,0.000048
1716209224.377377,237144,37169,1,SA,1,100,0.000052
1716209224.977384,237744,37251,1,SA,1,100,0.000034
1716209225.843394,238610,37369,1,SA,1,100,0.000028
1716209226.377401,239144,37468,1,SA,1,100,0.000020
1716209226.643404,239410,37503,1,SA,1,100,0.000013
1716209226.977408,239744,37587,1,SA,1,100,0.000038
1716209227.378412,240145,37620,1,SA,1,100,0.000009
1716209227.710416,240477,37688,1,SA,1,100,0.000027
1716209227.977419,240744,37723,1,SA,1,100,0.000009
1716209228.177422,240944,37757,1,SA,1,100,0.000016
1716209228.377424,241144,37824,1,SA,1,100,0.000040
1716209228.777429,241544,37893,1,SA,1,100,0.000064
1716209229.643439,242410,37999,1,SA,1,100,0.000021
1716209229.910442,242677,38035,1,SA,1,100,0.000009
1716209230.777452,243544,38233,1,SA,1,100,0.000053
1716209231.310458,244077,38418,1,SA,1,100,0.000187
1716209233.376482,246143,38616,1,SA,1,100,0.000015
1716209233.576485,246343,38669,1,SA,1,100,0.000031
1716209234.309493,247076,38768,1,SA,1,100,0.000010
1716209234.509496,247276,38795,1,SA,1,100,0.000009
1716209234.976501,247743,38878,1,SA,1,100,0.000024
1716209235.643509,248410,39076,1,SA,1,100,0.000090
1716209236.376518,249143,39112,1,SA,1,100,0.000026
1716209236.642521,249409,39146,1,SA,1,100,0.000015
1716209237.243528,250010,39263,1,SA,1,100,0.000014
1716209237.643532,250410,39331,1,SA,1,100,0.000030
1716209238.109538,250876,39431,1,SA,1,100,0.000034
1716209238.643544,251410,39517,1,SA,1,100,0.000047
1716209239.376553,252143,39640,1,SA,1,100,0.000037
1716209239.775557,252542,39659,1,SA,1,100,0.000007
1716209240.109561,252876,39728,1,SA,1,100,0.000012
1716209240.709568,253476,39826,1,SA,1,100,0.000023
1716209241.043572,253810,39879,1,SA,1,100,0.000007
1716209241.243574,254010,39929,1,SA,1,100,0.000014
1716209241.643579,254410,39980,1,SA,1,100,0.000008
1716209242.242586,255009,40146,1,SA,1,100,0.000098
1716209243.042595,255809,40216,1,SA,1,100,0.000024
1716209243.308599,256075,40299,1,SA,1,100,0.000043
1716209244.042607,256809,40388,1,SA,1,100,0.000018
1716209244.576613,257343,40510,1,SA,1,100,0.000069
1716209245.108619,257875,40544,1,SA,1,100,0.000010
1716209245.708627,258475,40645,1,SA,1,100,0.000023
1716209246.242633,259009,40729,1,SA,1,100,0.000016
1716209246.442635,259209,40798,1,SA,1,100,0.000044
1716209247.175644,259942,40882,1,SA,1,100,0.000003
1716209247.375646,260142,40964,1,SA,1,100,0.000042
1716209247.975653,260742,41050,1,SA,1,100,0.000037
1716209248.641661,261408,41155,1,SA,1,100,0.000031
1716209249.175667,261942,41222,1,SA,1,100,0.000011
1716209249.375669,262142,41255,1,SA,1,100,0.000008
1716209249.574672,262341,41328,1,SA,1,100,0.000055
1716209250.041677,262808,41361,1,SA,1,100,0.000009
1716209250.508682,263275,41448,1,SA,1,100,0.000021
1716209251.308692,264075,41628,1,SA,1,100,0.000055
1716209251.908699,264675,41698,1,SA,1,100,0.000042
1716209252.441705,265208,41782,1,SA,1,100,0.000026
1716209252.841710,265608,41836,1,SA,1,100,0.000015
1716209253.241714,266008,41986,1,SA,1,100,0.000080
1716209254.508729,267275,42134,1,SA,1,100,0.000030
1716209254.907734,267674,42210,1,SA,1,100,0.000040
1716209255.507741,268274,42295,1,SA,1,100,0.000024
1716209255.908746,268675,42329,1,SA,1,100,0.000010
1716209256.240750,269007,42413,1,SA,1,100,0.000031
1716209256.574753,269341,42447,1,SA,1,100,0.000009
1716209256.774756,269541,42516,1,SA,1,100,0.000043
1716209257.308762,270075,42617,1,SA,1,100,0.000058
1716209257.907769,270674,42684,1,SA,1,100,0.000038
1716209258.641778,271408,42785,1,SA,1,100,0.000009
1716209259.107783,271874,42920,1,SA,1,100,0.000043
1716209260.040794,272807,43023,1,SA,1,100,0.000008
1716209260.240796,273007,43075,1,SA,1,100,0.000034
1716209261.041806,273808,43224,1,SA,1,100,0.000036
1716209261.641813,274408,43291,1,SA,1,100,0.000011
1716209262.041817,274808,43359,1,SA,1,100,0.000009
1716209262.307820,275074,43409,1,SA,1,100,0.000023
1716209263.174830,275941,43527,1,SA,1,100,0.000007
1716209263.374833,276141,43612,1,SA,1,100,0.000040
1716209263.840838,276607,43652,1,SA,1,100,0.000012
1716209264.040841,276807,43719,1,SA,1,100,0.000035
1716209264.440845,277207,43770,1,SA,1,100,0.000024
1716209265.040852,277807,43876,1,SA,1,100,0.000020
1716209265.373856,278140,43914,1,SA,1,100,0.000025
1716209265.640859,278407,43947,1,SA,1,100,0.000007
1716209266.106865,278873,44048,1,SA,1,100,0.000025
1716209266.439869,279206,44115,1,SA,1,100,0.000045
1716209267.106876,279873,44199,1,SA,1,100,0.000019
1716209267.639883,280406,44298,1,SA,1,100,0.000028
1716209268.307890,281074,44430,1,SA,1,100,0.000053
